trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20110126,36370.135,35948.452,36660.042,35671.723,716238,0.0,0.0,0.0,0.0,0.0
20110127,35592.657,35289.573,35777.143,35012.843,708102,0.0,2.13,-1.83,-658.879,0.0
20110128,35342.283,37938.267,38412.66,35236.862,1382960,0.0,9.0,7.51,2648.694,0.0
20110131,37846.024,37424.341,38755.278,37121.257,1793945,0.0,4.31,-1.35,-513.926,0.0
20110201,36607.331,35289.573,36699.574,35065.554,1188635,0.0,4.37,-5.7,-2134.768,0.0
20110202,35539.947,35434.526,35658.545,35039.199,958661,0.0,1.76,0.41,144.953,0.0
20110203,35671.723,35302.75,36528.266,35105.087,1185643,0.0,4.02,-0.37,-131.776,0.0
20110204,35315.928,34670.226,35566.302,34591.161,1087859,0.0,2.76,-1.79,-632.524,0.0
20110207,34433.03,34182.656,34577.983,33616.019,853820,0.0,2.77,-1.41,-487.57,0.0
20110208,34156.3,33392.0,34327.609,33392.0,746446,0.0,2.74,-2.31,-790.656,0.0
20110209,33721.44,33629.197,33998.169,33365.645,804211,0.0,1.89,0.71,237.197,0.0
20110210,34327.609,33471.066,34459.385,33392.0,943433,0.0,3.17,-0.47,-158.131,0.0
20110211,33813.683,32812.187,33919.104,32733.121,859301,0.0,3.54,-1.97,-658.879,0.0
20110214,32825.364,32548.635,32878.075,32443.214,244868,0.0,1.33,-0.8,-263.552,0.0
20110325,34472.562,34604.338,34683.404,33866.394,862551,0.0,2.51,6.32,2055.703,0.0
20110328,34129.945,35131.442,35184.152,34090.412,522451,0.0,3.16,1.52,527.104,0.0
20110329,35381.816,34156.3,35684.9,34129.945,1045940,0.0,4.43,-2.78,-975.142,0.0
20110330,33589.664,33602.842,34090.412,33457.888,660758,0.0,1.85,-1.62,-553.458,0.0
20110331,33774.15,33471.066,33945.459,33365.645,631952,0.0,1.73,-0.39,-131.776,0.0
20110401,32917.607,33431.533,33708.262,32640.878,757436,0.0,3.19,-0.12,-39.533,0.0
20110404,33115.271,33734.618,34169.478,33036.206,635450,0.0,3.39,0.91,303.085,0.0
20110405,33945.459,33984.992,34209.011,33352.468,645656,0.0,2.54,0.74,250.374,0.0
20110406,33247.047,33813.683,34340.787,32930.785,994311,0.0,4.15,-0.5,-171.309,0.0
