trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20220502,72.186,77.706,77.706,70.868,24727,735992.0,9.47,7.65,5.52,0.0
20220503,77.622,77.206,82.779,75.421,167491,5296706.0,9.47,-0.64,-0.5,0.0
20220504,77.458,85.091,86.533,69.625,172210,5350668.0,21.9,10.21,7.885,0.0
20220505,80.616,69.65,80.633,67.735,184123,5316755.0,15.16,-18.15,-15.441,0.0
20220506,67.312,63.634,68.842,58.858,224651,5781089.0,14.33,-8.64,-6.016,0.0
20220509,59.529,51.1,61.643,50.229,177826,3911267.0,17.94,-19.7,-12.534,0.0
20220510,55.426,51.123,58.584,46.251,308088,6232950.0,24.14,0.05,0.023,0.0
20220511,46.45,41.004,50.876,40.084,436032,8074547.0,21.11,-19.79,-10.119,0.0
20220512,38.915,45.579,48.911,36.728,362716,6243390.0,29.71,11.16,4.575,0.0
20220513,50.03,55.65,57.092,49.981,402979,8762304.0,15.6,22.1,10.071,0.0
20220516,54.506,49.135,56.719,49.123,601833,12745660.0,13.65,-11.71,-6.515,0.0
20220517,53.164,54.457,55.153,48.349,579287,12197190.0,13.85,10.83,5.322,0.0
20220518,50.752,49.732,55.831,48.911,596949,12301992.0,12.71,-8.68,-4.725,0.0
20220519,50.229,53.139,56.421,48.489,359433,7778077.0,15.95,6.85,3.407,0.0
20220520,56.744,52.517,57.515,46.251,589671,12031714.0,21.2,-1.17,-0.622,0.0
20220523,53.064,51.672,53.288,48.315,743569,15219074.0,9.47,-1.61,-0.845,0.0
20220524,49.011,44.759,49.065,43.143,793036,14541621.0,11.46,-13.38,-6.913,0.0
20220525,44.809,48.439,49.568,44.411,662476,12595285.0,11.52,8.22,3.68,0.0
20220526,48.029,52.567,53.288,47.245,587289,12147435.0,12.48,8.52,4.128,0.0
20220527,54.307,59.181,59.405,53.586,730403,16760854.0,11.07,12.58,6.614,0.0
20220531,59.803,55.576,60.648,53.487,836367,19161629.0,12.1,-6.09,-3.605,0.0
20220601,56.272,51.448,58.152,49.931,717422,15365382.0,14.79,-7.43,-4.128,0.0
20220602,52.045,59.082,60.524,51.0,912628,20870171.0,18.51,14.84,7.634,0.0
20220603,55.327,52.766,57.192,52.194,805192,17450302.0,8.46,-10.69,-6.316,0.0
20220606,56.048,53.711,57.142,51.724,570565,12482551.0,10.27,1.79,0.945,0.0
20220607,51.448,56.943,57.043,50.379,394436,8679984.0,12.41,6.02,3.232,0.0
20220608,56.471,59.852,62.414,56.449,550322,13378605.0,10.48,5.11,2.909,0.0
20220609,59.057,52.219,60.424,52.219,593553,13326172.0,13.71,-12.75,-7.633,0.0
20220610,48.688,45.306,50.672,44.51,1052561,19648033.0,11.8,-13.24,-6.913,0.0
20220613,39.96,37.075,41.278,36.454,1246743,19001131.0,10.65,-18.17,-8.231,0.0
20220614,38.294,37.97,39.04,35.434,877200,13223694.0,9.73,2.41,0.895,0.0
20220615,38.94,42.695,44.259,38.517,1829170,30734060.0,15.12,12.44,4.725,0.0
20220616,38.791,37.921,39.91,36.576,1121699,17057781.0,7.81,-11.18,-4.774,0.0
20220617,38.343,41.054,42.173,38.343,1270573,20698748.0,10.1,8.26,3.133,0.0
20220621,43.764,44.883,47.842,43.516,1093162,20238756.0,10.54,9.33,3.829,0.0
20220622,43.018,46.201,48.364,42.297,1094133,20471385.0,13.52,2.94,1.318,0.0
20220623,47.196,52.791,53.188,45.741,1285647,25708920.0,16.12,14.26,6.59,0.0
20220624,54.457,57.043,57.54,52.691,1515398,33864439.0,9.19,8.05,4.252,0.0
20220627,57.217,54.581,57.963,51.522,1087590,23742570.0,11.29,-4.32,-2.462,0.0
20220628,54.68,48.29,55.824,47.942,1002240,20423586.0,14.44,-11.53,-6.291,0.0
20220629,47.743,46.748,48.311,44.82,2019592,38009021.0,7.23,-3.19,-1.542,0.0
20220630,44.784,43.292,45.576,41.278,1308876,22774469.0,9.19,-7.39,-3.456,0.0
20220701,44.087,45.654,46.997,43.326,1423044,25692276.0,8.48,5.46,2.362,0.0
20220705,44.436,54.133,54.133,42.819,1429211,28511514.0,24.78,18.57,8.479,0.0
20220706,54.059,51.92,56.57,50.727,1519809,32577917.0,10.79,-4.09,-2.213,0.0
20220707,52.243,58.286,58.584,51.373,2006128,45453356.0,13.89,12.26,6.366,0.0
20220708,55.725,58.41,61.63,54.78,3127344,73399262.0,11.75,0.21,0.124,0.0
20220711,57.067,50.403,57.59,50.18,1524801,32151504.0,12.69,-13.71,-8.007,0.0
20220712,51.597,51.696,54.208,48.24,1763962,36316171.0,11.84,2.57,1.293,0.0
20220713,47.991,51.224,53.923,47.324,2527415,52402118.0,12.77,-0.91,-0.472,0.0
20220714,50.13,49.185,51.1,47.245,1784147,35208628.0,7.53,-3.98,-2.039,0.0
20220715,50.553,51.721,51.721,47.071,1578407,31610306.0,9.45,5.16,2.536,0.0
20220718,54.208,50.876,56.272,50.478,2150048,46537203.0,11.2,-1.63,-0.845,0.0
20220719,52.84,55.378,55.464,49.909,1939839,41243809.0,10.92,8.85,4.502,0.0
20220720,56.57,60.847,63.135,56.003,2964880,71881625.0,12.88,9.88,5.469,0.0
20220721,60.151,62.936,63.806,59.131,1371907,34187391.0,7.68,3.43,2.089,0.0
20220722,63.06,55.949,63.98,54.755,1929044,45434429.0,14.66,-11.1,-6.987,0.0
20220725,55.401,54.452,55.849,52.293,703044,15382034.0,6.36,-2.68,-1.497,0.0
20220726,52.268,49.384,52.268,49.21,1404084,28330746.0,5.62,-9.31,-5.068,0.0
20220727,51.821,55.998,56.52,50.403,1264940,27223542.0,12.39,13.39,6.614,0.0
20220728,55.004,55.302,57.192,50.503,1251560,27154124.0,11.95,-1.24,-0.696,0.0
20220729,52.194,52.815,53.31,50.282,1178583,24596754.0,5.48,-4.5,-2.487,0.0
20220801,51.423,54.108,56.322,50.354,1341559,29200244.0,11.3,2.45,1.293,0.0
20220802,52.219,57.192,58.98,52.219,1495109,34200741.0,12.5,5.7,3.084,0.0
20220803,59.554,63.955,64.701,59.492,1357929,34116652.0,9.11,11.83,6.763,0.0
20220804,64.701,65.0,67.536,62.066,1005837,26073795.0,8.55,1.63,1.045,0.0
20220805,60.971,64.676,66.666,59.549,1216830,31649748.0,10.95,-0.5,-0.324,0.0
20220808,66.591,66.691,70.893,65.497,1032472,28368905.0,8.34,3.12,2.015,0.0
20220809,64.204,59.629,64.652,57.736,1310989,31890607.0,10.37,-10.59,-7.062,0.0
20220810,65.025,67.984,68.257,61.982,1548818,40494664.0,10.52,14.01,8.355,0.0
