trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20211231,19.992,19.862,20.196,19.862,138252,2777822.0,0.0,0.0,0.0,0.0
20220103,19.912,19.774,19.912,19.613,53252,1058238.0,1.51,-0.44,-0.088,0.0
20220104,19.912,19.544,19.912,19.365,21216,416894.0,2.77,-1.16,-0.23,0.0
20220105,19.514,18.807,19.594,18.807,10034,194862.0,4.03,-3.77,-0.737,0.0
20220106,19.912,18.815,19.912,18.558,24949,474300.0,7.2,0.04,0.008,0.0
20220107,19.006,18.706,19.066,18.688,18402,347868.0,2.01,-0.58,-0.109,0.0
20220110,19.833,18.638,19.833,18.12,163409,3006449.0,9.16,-0.36,-0.068,0.0
20220111,18.827,18.936,19.105,18.578,165799,3136634.0,2.83,1.6,0.298,0.0
20220112,19.245,18.757,19.245,18.677,273836,5195977.0,3.0,-0.95,-0.179,0.0
20220113,18.966,18.334,18.966,18.299,112144,2098939.0,3.56,-2.26,-0.423,0.0
20220114,18.319,18.259,18.508,17.926,174039,3173021.0,3.17,-0.41,-0.075,0.0
20220118,18.897,17.792,18.927,17.762,115919,2114667.0,6.38,-2.56,-0.467,0.0
20220119,18.05,17.622,18.05,17.622,37737,676517.0,2.41,-0.96,-0.17,0.0
20220120,17.811,17.383,18.08,17.373,42342,757151.0,4.01,-1.36,-0.239,0.0
20220121,17.344,16.945,17.533,16.945,145269,2505251.0,3.38,-2.52,-0.438,0.0
20220124,17.174,17.373,17.373,16.338,138919,2354815.0,6.11,2.53,0.428,0.0
20220125,17.224,16.846,17.224,16.756,51386,876584.0,2.69,-3.03,-0.527,0.0
20220126,17.294,16.632,17.294,16.567,29181,500993.0,4.32,-1.27,-0.214,0.0
20220127,16.975,16.577,17.015,16.457,30731,516322.0,3.35,-0.33,-0.055,0.0
20220128,16.607,16.903,16.905,16.335,44275,738396.0,3.44,1.97,0.326,0.0
20220131,16.965,17.642,17.642,16.965,51774,904348.0,4.01,4.37,0.739,0.0
20220201,17.772,17.838,17.841,17.463,53849,958139.0,2.14,1.11,0.196,0.0
20220202,18.011,17.663,18.011,17.573,32934,585212.0,2.46,-0.98,-0.175,0.0
20220203,17.363,17.224,17.493,17.204,61487,1070660.0,1.64,-2.49,-0.439,0.0
20220204,17.124,17.468,17.592,17.124,19075,332664.0,2.72,1.42,0.244,0.0
20220207,17.662,17.482,17.702,17.443,28550,503668.0,1.48,0.08,0.014,0.0
20220208,17.523,17.807,17.811,17.473,8753,155504.0,1.93,1.86,0.325,0.0
20220209,17.891,18.263,18.319,17.891,32635,596987.0,2.4,2.56,0.456,0.0
20220210,18.269,17.989,18.409,17.891,33878,618361.0,2.84,-1.5,-0.274,0.0
20220211,18.1,17.664,18.14,17.544,17397,311463.0,3.31,-1.81,-0.325,0.0
20220214,17.503,17.687,17.881,17.423,14320,253726.0,2.59,0.13,0.023,0.0
20220215,18.269,18.21,18.269,17.672,17227,313102.0,3.38,2.96,0.523,0.0
20220216,18.15,18.068,18.15,17.806,94447,1705174.0,1.89,-0.78,-0.142,0.0
20220217,18.07,17.692,18.07,17.577,149203,2676105.0,2.73,-2.08,-0.376,0.0
20220218,18.06,17.672,18.06,17.373,212378,3759911.0,3.88,-0.11,-0.02,0.0
20220222,17.732,16.923,17.732,16.826,89660,1553851.0,5.13,-4.24,-0.749,0.0
20220223,17.224,16.537,17.224,16.497,66314,1116180.0,4.3,-2.28,-0.386,0.0
20220224,16.338,17.144,17.163,15.93,58359,971182.0,7.46,3.67,0.607,0.0
20220225,17.274,17.378,17.393,16.965,41124,708456.0,2.5,1.36,0.234,0.0
20220228,17.344,17.455,17.543,17.184,42153,736723.0,2.07,0.44,0.077,0.0
20220301,17.304,17.174,17.513,17.055,61259,1062352.0,2.62,-1.61,-0.281,0.0
20220302,17.324,17.411,17.458,17.045,23240,404162.0,2.4,1.38,0.237,0.0
20220303,17.602,17.049,17.602,16.978,28884,497244.0,3.58,-2.08,-0.362,0.0
20220304,17.035,16.721,17.035,16.577,24786,416797.0,2.69,-1.92,-0.328,0.0
20220307,16.866,16.069,16.866,15.98,53373,871299.0,5.3,-3.9,-0.652,0.0
20220308,16.159,16.119,16.507,15.94,45455,735215.0,3.53,0.31,0.05,0.0
20220309,16.577,16.676,16.726,16.442,33333,556009.0,1.76,3.46,0.557,0.0
20220310,16.477,16.477,16.517,16.199,32957,542924.0,1.91,-1.19,-0.199,0.0
20220311,16.666,16.049,16.666,16.039,14544,237208.0,3.81,-2.6,-0.428,0.0
20220314,15.94,15.651,16.527,15.541,51610,820860.0,6.14,-2.48,-0.398,0.0
20220315,15.83,16.009,16.019,15.631,13777,219244.0,2.48,2.29,0.358,0.0
20220316,16.039,16.617,16.617,16.039,28057,462372.0,3.61,3.8,0.608,0.0
20220317,16.428,17.015,17.015,16.338,15845,266021.0,4.07,2.4,0.398,0.0
20220318,17.005,17.423,17.423,16.959,23949,414222.0,2.73,2.4,0.408,0.0
20220321,17.214,17.363,17.423,17.115,21265,367820.0,1.77,-0.34,-0.06,0.0
20220322,17.423,17.553,17.573,17.333,19533,343286.0,1.38,1.09,0.19,0.0
20220323,17.533,17.25,17.538,17.25,9671,168701.0,1.64,-1.73,-0.303,0.0
20220324,17.254,17.45,17.453,17.124,30382,530116.0,1.91,1.16,0.2,0.0
20220325,17.423,17.324,17.573,17.174,13663,237524.0,2.29,-0.72,-0.126,0.0
20220328,17.433,17.484,17.484,17.184,11190,195100.0,1.73,0.92,0.16,0.0
20220329,17.861,17.969,18.011,17.742,25669,461074.0,1.54,2.77,0.485,0.0
20220330,17.871,17.622,17.916,17.592,18728,333591.0,1.8,-1.93,-0.347,0.0
20220331,17.592,17.393,17.637,17.383,7342,129223.0,1.44,-1.3,-0.229,0.0
20220401,17.533,17.513,17.563,17.357,14701,257561.0,1.18,0.69,0.12,0.0
20220404,17.662,17.712,17.762,17.573,24018,425962.0,1.08,1.14,0.199,0.0
20220405,17.921,17.353,17.961,17.333,24407,430308.0,3.55,-2.03,-0.359,0.0
20220406,17.314,16.96,17.314,16.786,27427,468410.0,3.04,-2.26,-0.393,0.0
20220407,16.985,16.968,17.045,16.358,26607,445593.0,4.05,0.05,0.008,0.0
20220408,16.985,16.806,17.055,16.806,8119,138065.0,1.47,-0.95,-0.162,0.0
20220411,16.816,16.719,16.905,16.607,7870,132551.0,1.77,-0.52,-0.087,0.0
20220412,16.915,16.617,17.085,16.587,7740,130813.0,2.98,-0.61,-0.102,0.0
20220413,16.726,17.015,17.033,16.572,13425,228230.0,2.77,2.4,0.398,0.0
20220414,17.065,16.726,17.105,16.726,10598,179179.0,2.23,-1.7,-0.289,0.0
20220418,16.716,16.435,16.716,16.348,13959,231067.0,2.2,-1.74,-0.291,0.0
20220419,16.428,16.922,16.975,16.428,7244,122581.0,3.33,2.96,0.487,0.0
20220420,16.914,16.778,16.925,16.778,3705,62703.0,0.87,-0.85,-0.144,0.0
20220421,16.925,16.325,16.985,16.308,6408,106682.0,4.04,-2.7,-0.453,0.0
20220422,16.418,16.119,16.428,16.039,18578,303568.0,2.38,-1.26,-0.206,0.0
20220425,16.029,16.099,16.104,15.79,31375,502961.0,1.95,-0.12,-0.02,0.0
20220426,15.95,15.575,15.95,15.575,22215,351592.0,2.33,-3.25,-0.524,0.0
20220427,15.581,15.504,15.73,15.491,9205,143918.0,1.53,-0.46,-0.071,0.0
20220428,15.741,15.825,15.9,15.332,13565,210814.0,3.66,2.07,0.321,0.0
20220429,15.641,15.283,15.88,15.263,5754,89762.0,3.9,-3.42,-0.542,0.0
20220502,15.412,15.594,15.594,15.193,9673,149585.0,2.62,2.03,0.311,0.0
20220503,15.502,15.543,15.631,15.467,8835,137926.0,1.05,-0.33,-0.051,0.0
20220504,15.492,15.967,15.995,15.273,7422,117178.0,4.65,2.73,0.424,0.0
20220505,15.701,15.113,15.701,14.984,27127,413257.0,4.49,-5.35,-0.854,0.0
20220506,14.934,14.755,14.954,14.546,19064,283357.0,2.7,-2.37,-0.358,0.0
20220509,14.446,14.001,14.571,13.949,35804,512688.0,4.22,-5.11,-0.754,0.0
20220510,14.337,13.929,14.337,13.58,25068,347812.0,5.41,-0.51,-0.072,0.0
20220511,13.819,13.59,14.197,13.58,8819,122881.0,4.43,-2.43,-0.339,0.0
20220512,13.54,13.839,14.028,13.421,18226,251188.0,4.47,1.83,0.249,0.0
20220513,14.148,14.466,14.536,14.133,18658,270390.0,2.91,4.53,0.627,0.0
20220516,14.416,14.262,14.487,14.262,5512,79740.0,1.56,-1.41,-0.204,0.0
20220517,14.506,14.643,14.655,14.337,16225,237374.0,2.23,2.67,0.381,0.0
20220518,14.506,14.035,14.506,13.998,13787,196441.0,3.47,-4.15,-0.608,0.0
20220519,13.919,14.22,14.387,13.899,27211,387288.0,3.48,1.32,0.185,0.0
20220520,14.466,14.128,14.466,13.739,16184,228155.0,5.11,-0.65,-0.092,0.0
20220523,14.227,14.243,14.307,14.028,12344,176197.0,1.97,0.81,0.115,0.0
20220524,13.978,13.806,13.978,13.68,11352,157301.0,2.09,-3.07,-0.437,0.0
20220525,13.829,14.128,14.138,13.829,7023,99321.0,2.24,2.33,0.322,0.0
20220526,14.138,14.544,14.586,14.138,22953,333721.0,3.17,2.94,0.416,0.0
20220527,14.785,15.004,15.004,14.745,7558,112696.0,1.78,3.16,0.46,0.0
20220531,15.004,14.774,15.004,14.755,5505,82232.0,1.66,-1.53,-0.23,0.0
20220601,14.879,14.584,14.879,14.446,4678,68452.0,2.93,-1.29,-0.19,0.0
20220602,14.556,15.083,15.093,14.556,9307,140060.0,3.68,3.42,0.499,0.0
20220603,14.854,14.815,14.924,14.815,5382,80246.0,0.72,-1.78,-0.268,0.0
20220606,14.974,14.897,15.123,14.815,16610,249740.0,2.08,0.55,0.082,0.0
20220607,14.675,15.086,15.086,14.675,6997,104864.0,2.76,1.27,0.189,0.0
20220608,14.954,14.815,15.133,14.815,9276,139780.0,2.11,-1.8,-0.271,0.0
20220609,14.815,14.592,14.835,14.592,5542,82152.0,1.64,-1.51,-0.223,0.0
20220610,14.337,14.138,14.337,14.084,9865,140216.0,1.73,-3.11,-0.454,0.0
20220613,13.62,13.392,13.759,13.341,23639,321144.0,2.96,-5.28,-0.746,0.0
20220614,13.431,13.293,13.471,13.266,12413,166699.0,1.53,-0.74,-0.099,0.0
20220615,13.371,13.679,13.679,13.371,10959,149720.0,2.32,2.9,0.386,0.0
20220616,13.371,13.051,13.371,13.003,17074,224123.0,2.69,-4.59,-0.628,0.0
20220617,13.052,13.342,13.411,13.052,13253,177354.0,2.75,2.23,0.291,0.0
20220621,13.59,13.481,13.739,13.481,10423,142870.0,1.93,1.04,0.139,0.0
20220622,13.351,13.634,13.685,13.351,2576,35179.0,2.48,1.13,0.153,0.0
20220623,13.67,13.982,13.988,13.67,9318,129322.0,2.33,2.55,0.348,0.0
20220624,14.207,14.486,14.486,14.207,14543,209826.0,2.0,3.6,0.504,0.0
20220627,14.596,14.405,14.596,14.405,10307,149522.0,1.32,-0.56,-0.081,0.0
20220628,14.426,13.998,14.531,13.998,3616,51605.0,3.7,-2.83,-0.407,0.0
20220629,13.998,13.939,13.998,13.829,4178,58328.0,1.21,-0.42,-0.059,0.0
20220630,13.5,13.649,13.779,13.471,7907,108307.0,2.21,-2.08,-0.29,0.0
20220701,13.854,13.948,13.948,13.699,2569,35603.0,1.82,2.19,0.299,0.0
20220705,13.7,14.251,14.251,13.7,4907,69638.0,3.95,2.17,0.303,0.0
20220706,14.217,14.163,14.267,14.038,5091,72529.0,1.61,-0.62,-0.088,0.0
20220707,14.227,14.56,14.56,14.227,4610,66947.0,2.35,2.8,0.397,0.0
20220708,14.451,14.509,14.635,14.446,6626,96786.0,1.3,-0.35,-0.051,0.0
20220711,14.426,14.192,14.426,14.192,1471,21072.0,1.61,-2.18,-0.317,0.0
20220712,14.158,14.066,14.242,13.988,3021,42880.0,1.79,-0.89,-0.126,0.0
20220713,13.859,14.045,14.128,13.859,2912,40998.0,1.91,-0.15,-0.021,0.0
20220714,13.919,13.805,13.919,13.654,8126,111927.0,1.89,-1.71,-0.24,0.0
20220715,14.058,14.13,14.13,14.058,1815,25643.0,0.52,2.35,0.325,0.0
