trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230125,21.461,21.466,21.466,21.461,2322400,58129672.0,0.0,0.0,0.0,0.0
20230126,21.466,21.466,21.466,21.466,1,25.0,0.0,0.0,0.0,0.0
20230127,21.466,21.466,21.466,21.466,2,50.0,0.0,0.0,0.0,0.0
20230130,21.469,21.297,21.469,21.297,126,3154.0,0.8,-0.79,-0.169,0.0
20230131,21.692,21.714,21.714,21.692,201,5085.0,0.1,1.96,0.417,0.0
20230201,21.676,21.676,21.676,21.676,3,75.0,0.0,-0.18,-0.038,0.0
20230202,21.733,21.733,21.733,21.733,1,25.0,0.0,0.26,0.057,0.0
20230203,21.65,21.654,21.654,21.65,211,5327.0,0.02,-0.36,-0.079,0.0
20230206,21.601,21.601,21.601,21.601,4,100.0,0.0,-0.24,-0.053,0.0
20230207,21.609,21.609,21.609,21.609,1,25.0,0.0,0.04,0.008,0.0
20230209,21.509,21.509,21.509,21.509,1,25.0,0.0,-0.46,-0.1,0.0
20230210,21.476,21.494,21.494,21.476,243,6084.0,0.08,-0.07,-0.015,0.0
20230213,21.481,21.481,21.481,21.481,2,50.0,0.0,-0.06,-0.013,0.0
20230215,21.543,21.531,21.543,21.531,108,2712.0,0.06,0.23,0.05,0.0
20230217,21.628,21.596,21.638,21.596,893,22524.0,0.2,0.3,0.065,0.0
20230221,21.574,21.574,21.574,21.574,82,2062.0,0.0,-0.1,-0.022,0.0
20230222,21.61,21.61,21.61,21.61,3,75.0,0.0,0.17,0.036,0.0
20230223,21.661,21.66,21.68,21.66,920,23247.0,0.09,0.23,0.05,0.0
20230224,21.686,21.686,21.686,21.686,21,530.0,0.0,0.12,0.026,0.0
20230227,21.699,21.699,21.699,21.699,13,328.0,0.0,0.06,0.013,0.0
20230228,21.716,21.688,21.716,21.688,429,10862.0,0.13,-0.05,-0.011,0.0
20230301,21.69,21.713,21.741,21.686,3689,93305.0,0.25,0.12,0.025,0.0
20230302,21.686,21.686,21.686,21.686,1,25.0,0.0,-0.12,-0.027,0.0
20230303,21.656,21.643,21.656,21.643,82591,2085422.0,0.06,-0.2,-0.043,0.0
20230306,21.613,21.544,21.613,21.544,820,20664.0,0.32,-0.46,-0.099,0.0
20230307,21.569,21.568,21.569,21.568,784,19716.0,0.0,0.11,0.024,0.0
20230308,21.604,21.604,21.604,21.604,2,50.0,0.0,0.17,0.036,0.0
20230309,21.553,21.553,21.553,21.553,2,50.0,0.0,-0.24,-0.051,0.0
20230310,21.475,21.537,21.537,21.475,190,4746.0,0.29,-0.07,-0.016,0.0
20230313,21.501,21.501,21.501,21.501,59,1475.0,0.0,-0.17,-0.036,0.0
20230314,21.534,21.534,21.534,21.534,46,1152.0,0.0,0.15,0.033,0.0
20230315,21.586,21.615,21.615,21.586,1979,49692.0,0.13,0.38,0.081,0.0
20230316,21.642,21.642,21.642,21.642,15,377.0,0.0,0.12,0.027,0.0
20230320,21.582,21.582,21.582,21.582,1,25.0,0.0,-0.28,-0.06,0.0
20230321,21.509,21.531,21.531,21.509,378,9457.0,0.1,-0.24,-0.051,0.0
20230322,21.511,21.511,21.511,21.511,6,150.0,0.0,-0.09,-0.02,0.0
20230323,21.504,21.458,21.504,21.458,285,7129.0,0.21,-0.25,-0.053,0.0
20230324,21.522,21.522,21.522,21.522,3,75.0,0.0,0.3,0.064,0.0
20230328,21.505,21.505,21.505,21.505,2,50.0,0.0,-0.08,-0.017,0.0
20230329,21.492,21.503,21.503,21.492,111,2775.0,0.05,-0.01,-0.002,0.0
20230330,21.479,21.479,21.479,21.479,2,49.0,0.0,-0.11,-0.024,0.0
20230331,21.432,21.393,21.432,21.337,85703,2127730.0,0.44,-0.4,-0.086,0.0
20230403,21.355,21.355,21.355,21.355,8,198.0,0.0,-0.18,-0.038,0.0
20230404,21.284,21.284,21.284,21.284,26,643.0,0.0,-0.33,-0.071,0.0
20230405,21.286,21.316,21.316,21.286,108,2674.0,0.14,0.15,0.032,0.0
20230406,21.346,21.358,21.359,21.346,235,5836.0,0.06,0.2,0.042,0.0
20230410,21.393,21.393,21.393,21.393,3,74.0,0.0,0.16,0.035,0.0
20230411,21.425,21.425,21.425,21.425,1,24.0,0.0,0.15,0.032,0.0
20230412,21.4,21.4,21.4,21.4,3,74.0,0.0,-0.12,-0.025,0.0
20230413,21.39,21.376,21.421,21.376,1145,28375.0,0.21,-0.11,-0.024,0.0
20230414,21.377,21.341,21.377,21.341,265,6558.0,0.17,-0.16,-0.035,0.0
20230417,21.326,21.327,21.327,21.326,501,12369.0,0.0,-0.07,-0.014,0.0
20230418,21.264,21.264,21.264,21.264,82,2018.0,0.0,-0.3,-0.063,0.0
20230419,21.32,21.32,21.32,21.32,1,24.0,0.0,0.26,0.056,0.0
20230420,21.326,21.287,21.326,21.287,127,3135.0,0.18,-0.15,-0.033,0.0
20230421,21.175,21.175,21.175,21.175,4,98.0,0.0,-0.53,-0.112,0.0
20230425,21.101,21.107,21.107,21.101,143,3493.0,0.03,-0.32,-0.068,0.0
20230426,21.213,21.251,21.251,21.213,136,3340.0,0.18,0.68,0.144,0.0
20230427,21.273,21.273,21.273,21.273,10,246.0,0.0,0.1,0.022,0.0
20230428,21.213,21.244,21.244,21.213,227,5575.0,0.15,-0.14,-0.029,0.0
20230501,21.158,21.158,21.158,21.158,7,171.0,0.0,-0.4,-0.086,0.0
20230502,21.101,21.106,21.106,21.101,298,7280.0,0.02,-0.25,-0.052,0.0
20230503,21.187,21.123,21.187,21.118,10776,263775.0,0.33,0.08,0.017,0.0
20230504,21.239,21.154,21.239,21.144,744,18248.0,0.45,0.15,0.031,0.0
20230505,21.196,21.223,21.238,21.196,401,9845.0,0.2,0.33,0.069,0.0
20230508,21.3,21.243,21.3,21.209,4902,120638.0,0.43,0.09,0.02,0.0
20230509,21.231,21.243,21.256,21.213,3420,84070.0,0.2,0.0,0.0,0.0
20230510,21.259,21.268,21.276,21.24,6805,166944.0,0.17,0.12,0.025,0.0
20230511,21.268,21.292,21.32,21.242,26101,641069.0,0.37,0.11,0.024,0.0
20230512,21.207,21.248,21.276,21.207,6515,159792.0,0.32,-0.21,-0.044,0.0
20230515,21.267,21.246,21.276,21.172,9041,221062.0,0.49,-0.01,-0.002,0.0
20230516,21.272,21.255,21.294,21.242,1461,35844.0,0.24,0.04,0.009,0.0
20230517,21.181,21.268,21.309,21.181,3420,83854.0,0.6,0.06,0.013,0.0
20230518,21.333,21.333,21.333,21.333,1378,33919.0,0.0,0.31,0.065,0.0
20230519,21.251,21.222,21.275,21.198,1972,48311.0,0.36,-0.52,-0.111,0.0
20230522,21.268,21.268,21.268,21.268,366,8982.0,0.0,0.22,0.046,0.0
20230523,21.385,21.394,21.394,21.346,525,12943.0,0.23,0.59,0.126,0.0
20230524,21.406,21.453,21.453,21.406,402,9929.0,0.22,0.28,0.059,0.0
20230525,21.471,21.471,21.471,21.471,2,49.0,0.0,0.08,0.018,0.0
20230526,21.432,21.53,21.53,21.432,1429,35459.0,0.46,0.27,0.059,0.0
20230530,21.545,21.539,21.569,21.502,14336,356213.0,0.31,0.04,0.009,0.0
20230531,21.51,21.471,21.517,21.471,2768,68676.0,0.21,-0.32,-0.068,0.0
20230601,21.406,21.414,21.458,21.389,7406,183013.0,0.32,-0.27,-0.057,0.0
20230602,21.328,21.445,21.445,21.328,3678,90850.0,0.55,0.14,0.031,0.0
20230605,21.424,21.432,21.484,21.398,137613,3398277.0,0.4,-0.06,-0.013,0.0
20230606,21.424,21.445,21.445,21.424,715,17682.0,0.1,0.06,0.013,0.0
20230607,21.528,21.497,21.528,21.493,623,15469.0,0.16,0.24,0.052,0.0
20230608,21.532,21.532,21.532,21.532,10,248.0,0.0,0.16,0.035,0.0
20230609,21.496,21.496,21.496,21.496,121,2981.0,0.0,-0.17,-0.036,0.0
20230612,21.471,21.458,21.471,21.445,304,7478.0,0.12,-0.18,-0.038,0.0
20230613,21.375,21.402,21.402,21.375,264,6468.0,0.13,-0.26,-0.056,0.0
20230614,21.432,21.432,21.432,21.432,9,221.0,0.0,0.14,0.03,0.0
20230615,21.367,21.396,21.396,21.367,1133,27747.0,0.14,-0.17,-0.036,0.0
20230616,21.384,21.392,21.392,21.384,339,8308.0,0.04,-0.02,-0.004,0.0
20230620,21.402,21.402,21.402,21.402,89,2183.0,0.0,0.05,0.01,0.0
20230621,21.375,21.356,21.375,21.356,296,7252.0,0.09,-0.21,-0.046,0.0
20230622,21.335,21.335,21.335,21.335,218,5331.0,0.0,-0.1,-0.021,0.0
20230623,21.292,21.292,21.292,21.292,226,5515.0,0.0,-0.2,-0.043,0.0
20230627,21.384,21.384,21.402,21.384,843,20666.0,0.08,0.43,0.092,0.0
20230628,21.324,21.324,21.324,21.324,15,366.0,0.0,-0.28,-0.06,0.0
20230629,21.245,21.248,21.248,21.245,134,3262.0,0.01,-0.36,-0.076,0.0
20230630,21.229,21.229,21.229,21.229,91,2214.0,0.0,-0.09,-0.019,0.0
20230703,21.332,21.332,21.332,21.332,120,2934.0,0.0,0.49,0.103,0.0
20230705,21.363,21.393,21.393,21.363,515,12621.0,0.14,0.29,0.061,0.0
20230706,21.375,21.358,21.375,21.341,833,20396.0,0.16,-0.16,-0.035,0.0
20230707,21.387,21.396,21.396,21.387,922,22604.0,0.04,0.18,0.038,0.0
20230710,21.339,21.316,21.339,21.316,200,4870.0,0.11,-0.37,-0.08,0.0
20230711,21.345,21.345,21.345,21.345,370,9013.0,0.0,0.14,0.029,0.0
20230712,21.424,21.446,21.446,21.424,693,16943.0,0.1,0.47,0.101,0.0
20230713,21.547,21.547,21.547,21.547,21,516.0,0.0,0.47,0.101,0.0
20230714,21.472,21.472,21.472,21.472,2,49.0,0.0,-0.35,-0.075,0.0
20230717,21.498,21.498,21.498,21.498,35,858.0,0.0,0.12,0.026,0.0
20230718,21.507,21.507,21.507,21.507,20,490.0,0.0,0.04,0.009,0.0
