trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20241216,46.61,51.24,51.25,45.627,5574201,273088944.0,0.0,0.0,0.0,0.0
20241217,54.06,54.99,55.86,50.04,7136194,382000192.0,11.36,7.32,3.75,0.0
20241218,51.87,45.93,56.9,42.811,7606009,386626176.0,25.62,-16.48,-9.06,0.0
20241219,48.35,44.94,49.21,41.46,9066085,410425056.0,16.87,-2.16,-0.99,0.0
20241220,42.65,41.71,47.118,41.06,4883989,216255599.0,13.48,-7.19,-3.23,0.0
20241223,43.76,43.76,44.41,40.63,3538543,153413827.0,9.06,4.91,2.05,0.0
20241224,44.72,50.06,50.06,44.55,3812471,182231913.0,12.59,14.4,6.3,0.0
20241226,50.57,48.3,50.63,47.55,3507634,170903680.0,6.15,-3.52,-1.76,0.0
20241227,47.15,43.48,47.26,42.373,3035561,134446270.0,10.12,-9.98,-4.82,0.0
20241230,40.9,40.56,42.41,40.19,3355003,138372274.0,5.11,-6.72,-2.92,0.0
20241231,41.8,37.88,42.53,37.61,3390583,134361245.0,12.13,-6.61,-2.68,0.0
20250102,35.34,33.24,35.73,32.07,5315696,178645000.0,9.66,-12.25,-4.64,0.0
20250103,33.63,38.67,38.93,33.26,3170642,114451693.0,17.06,16.34,5.43,0.0
20250106,41.03,38.81,41.684,37.0,4310040,167874757.0,12.11,0.36,0.14,0.0
20250107,37.68,35.61,39.28,34.74,2724003,98817730.0,11.7,-8.25,-3.2,0.0
20250108,35.3,35.61,36.976,34.299,2245987,80417200.0,7.52,0.0,0.0,0.0
20250110,34.94,35.56,36.34,33.67,2810167,98819213.0,7.5,-0.14,-0.05,0.0
20250113,33.41,37.02,37.11,32.9,2047681,71318817.0,11.84,4.11,1.46,0.0
20250114,39.11,35.8,40.56,35.43,2965832,113285514.0,13.86,-3.3,-1.22,0.0
20250115,38.14,41.5,41.77,37.445,2701730,107888269.0,12.08,15.92,5.7,0.0
20250116,40.49,38.63,40.57,37.804,1983754,77076311.0,6.67,-6.92,-2.87,0.0
20250117,40.23,40.96,43.49,39.85,4011844,169358431.0,9.42,6.03,2.33,0.0
20250121,42.3,40.52,42.3,37.15,3047848,118155826.0,12.57,-1.07,-0.44,0.0
20250122,39.08,38.75,41.2,38.68,2709428,107623028.0,6.22,-4.37,-1.77,0.0
20250123,38.97,38.21,39.77,37.61,2306087,88259564.0,5.57,-1.39,-0.54,0.0
20250124,38.66,37.15,39.25,36.991,2357795,89734845.0,5.91,-2.77,-1.06,0.0
20250127,34.87,35.4,37.1,33.91,2774761,98928350.0,8.59,-4.71,-1.75,0.0
20250128,35.34,35.58,35.97,33.48,1351692,46755780.0,7.03,0.51,0.18,0.0
20250129,35.0,33.8,35.61,33.11,2040568,69818991.0,7.03,-5.0,-1.78,0.0
20250130,37.6,35.89,37.95,33.09,4158325,146914769.0,14.38,6.18,2.09,0.0
20250131,35.99,36.55,39.35,35.99,3189052,121213511.0,9.36,1.84,0.66,0.0
20250203,33.31,32.85,33.75,31.1,3563376,116025360.0,7.25,-10.12,-3.7,0.0
20250204,32.61,34.22,34.51,32.37,1915880,63752256.0,6.51,4.17,1.37,0.0
20250205,33.42,31.77,33.53,31.3,2084605,67404696.0,6.52,-7.16,-2.45,0.0
20250206,30.93,31.01,31.197,29.241,2334373,70203614.0,6.16,-2.39,-0.76,0.0
20250207,30.39,28.96,32.07,28.755,2089856,62953111.0,10.69,-6.61,-2.05,0.0
20250210,28.08,27.21,29.09,27.16,2612055,73411310.0,6.66,-6.04,-1.75,0.0
20250211,26.44,24.28,26.96,23.23,3898140,96994320.0,13.71,-10.77,-2.93,0.0
20250212,23.95,24.91,26.288,23.83,4257689,107404125.0,10.12,2.59,0.63,0.0
20250213,26.48,27.58,28.13,25.82,3424930,93017933.0,9.27,10.72,2.67,0.0
20250214,28.39,27.64,28.62,26.4,2352190,64158889.0,8.05,0.22,0.06,0.0
20250218,27.6,27.36,28.16,26.772,1561304,42908703.0,5.02,-1.01,-0.28,0.0
