trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20100211,3.074,3.073,3.074,3.073,8100,0.0,0.0,0.0,0.0,0.0
20100212,3.062,3.063,3.066,3.032,17400,0.0,1.11,-0.33,-0.01,0.0
20100216,3.219,3.268,3.268,3.202,12600,0.0,2.15,6.69,0.205,0.0
20100217,3.329,3.339,3.346,3.319,51900,0.0,0.83,2.17,0.071,0.0
20100218,3.352,3.425,3.436,3.349,40500,0.0,2.61,2.58,0.086,0.0
20100219,3.405,3.437,3.47,3.381,81600,0.0,2.6,0.35,0.012,0.0
20100222,3.472,3.416,3.472,3.411,68400,0.0,1.77,-0.61,-0.021,0.0
20100223,3.399,3.335,3.441,3.32,40200,0.0,3.54,-2.37,-0.081,0.0
20100224,3.366,3.412,3.422,3.345,56400,0.0,2.31,2.31,0.077,0.0
20100225,3.263,3.357,3.365,3.229,124200,0.0,3.99,-1.61,-0.055,0.0
20100226,3.37,3.373,3.388,3.315,106200,0.0,2.17,0.48,0.016,0.0
20100301,3.401,3.436,3.45,3.392,67200,0.0,1.72,1.87,0.063,0.0
20100302,3.475,3.436,3.491,3.432,55200,0.0,1.72,0.0,0.0,0.0
20100303,3.459,3.432,3.507,3.423,71100,0.0,2.44,-0.12,-0.004,0.0
20100304,3.461,3.485,3.485,3.449,61800,0.0,1.05,1.54,0.053,0.0
20100305,3.54,3.604,3.604,3.521,38700,0.0,2.38,3.41,0.119,0.0
20100308,3.604,3.589,3.62,3.583,38400,0.0,1.03,-0.42,-0.015,0.0
20100309,3.603,3.603,3.652,3.584,50400,0.0,1.89,0.39,0.014,0.0
20100310,3.62,3.609,3.642,3.584,65700,0.0,1.61,0.17,0.006,0.0
20100311,3.595,3.657,3.657,3.559,29100,0.0,2.72,1.33,0.048,0.0
20100312,3.698,3.669,3.698,3.653,32700,0.0,1.23,0.33,0.012,0.0
20100315,3.662,3.689,3.689,3.632,15600,0.0,1.55,0.55,0.02,0.0
20100316,3.712,3.743,3.746,3.673,24000,0.0,1.98,1.46,0.054,0.0
20100317,3.767,3.777,3.818,3.767,21300,0.0,1.36,0.91,0.034,0.0
20100318,3.798,3.834,3.84,3.79,30300,0.0,1.32,1.51,0.057,0.0
20100319,3.79,3.79,3.873,3.751,60300,0.0,3.18,-1.15,-0.044,0.0
20100322,3.748,3.839,3.864,3.748,72000,0.0,3.06,1.29,0.049,0.0
