trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20050103,36.881,36.266,36.917,36.266,14700,0.0,1.8,0.25,0.089,0.0
20050104,36.442,35.981,36.442,35.915,7400,0.0,1.45,-0.79,-0.285,0.0
20050105,35.915,35.923,36.106,35.908,16600,0.0,0.55,-0.16,-0.058,0.0
20050106,35.974,36.186,36.259,35.967,7800,0.0,0.81,0.73,0.263,0.0
20050107,36.215,36.164,36.252,36.069,9900,0.0,0.51,-0.06,-0.022,0.0
20050110,36.164,36.354,36.53,36.164,27800,0.0,1.01,0.53,0.19,0.0
20050111,36.318,36.215,36.318,36.098,20600,0.0,0.61,-0.38,-0.139,0.0
20050112,36.369,36.34,36.383,36.098,4800,0.0,0.79,0.35,0.125,0.0
20050113,36.332,35.879,36.332,35.857,10900,0.0,1.31,-1.27,-0.461,0.0
20050114,36.01,36.084,36.084,35.835,26800,0.0,0.69,0.57,0.205,0.0
20050118,36.018,36.237,36.318,35.908,7600,0.0,1.14,0.42,0.153,0.0
20050119,36.42,36.135,36.42,36.076,7000,0.0,0.95,-0.28,-0.102,0.0
20050120,36.135,35.967,36.164,35.901,19700,0.0,0.73,-0.46,-0.168,0.0
20050121,35.967,35.703,36.032,35.674,20300,0.0,1.0,-0.73,-0.264,0.0
20050124,35.784,35.382,35.784,35.382,24400,0.0,1.13,-0.9,-0.321,0.0
20050125,35.579,35.55,35.776,35.55,12600,0.0,0.64,0.47,0.168,0.0
20050126,35.835,35.85,35.952,35.776,11900,0.0,0.5,0.84,0.3,0.0
20050127,35.711,35.806,35.93,35.696,8000,0.0,0.65,-0.12,-0.044,0.0
20050128,35.835,35.477,35.864,35.403,9500,0.0,1.29,-0.92,-0.329,0.0
20050131,35.601,35.564,35.667,35.455,7700,0.0,0.6,0.25,0.087,0.0
20050201,35.645,35.93,35.93,35.645,24500,0.0,0.8,1.03,0.366,0.0
20050202,35.937,36.062,36.084,35.93,10400,0.0,0.43,0.37,0.132,0.0
20050203,36.062,35.85,36.062,35.842,6000,0.0,0.61,-0.59,-0.212,0.0
20050204,35.901,36.266,36.303,35.901,17600,0.0,1.12,1.16,0.416,0.0
20050207,36.303,36.325,36.471,36.303,13100,0.0,0.46,0.16,0.059,0.0
20050208,36.383,36.383,36.493,36.31,3900,0.0,0.5,0.16,0.058,0.0
20050209,36.478,36.018,36.544,35.996,8000,0.0,1.51,-1.0,-0.365,0.0
20050210,36.164,36.076,36.164,35.813,19400,0.0,0.97,0.16,0.058,0.0
20050211,36.201,36.457,36.53,36.091,29000,0.0,1.22,1.06,0.381,0.0
20050214,36.457,36.457,36.486,36.266,25000,0.0,0.6,0.0,0.0,0.0
20050215,36.332,36.493,36.596,36.332,15400,0.0,0.72,0.1,0.036,0.0
20050216,36.442,36.332,36.442,36.201,17300,0.0,0.66,-0.44,-0.161,0.0
20050217,36.442,36.318,36.464,36.23,6300,0.0,0.64,-0.04,-0.014,0.0
20050218,36.347,36.72,36.742,36.201,38800,0.0,1.49,1.11,0.402,0.0
20050222,36.72,36.266,36.822,36.237,27200,0.0,1.59,-1.24,-0.454,0.0
20050223,36.435,36.537,36.574,36.376,16400,0.0,0.55,0.75,0.271,0.0
20050224,36.508,36.749,36.8,36.201,6900,0.0,1.64,0.58,0.212,0.0
20050225,36.844,37.093,37.093,36.764,113200,0.0,0.9,0.94,0.344,0.0
20050228,36.917,36.661,36.917,36.449,12400,0.0,1.26,-1.16,-0.432,0.0
20050301,36.778,36.881,36.91,36.778,43200,0.0,0.36,0.6,0.22,0.0
20050302,36.749,36.91,37.115,36.749,148600,0.0,0.99,0.08,0.029,0.0
20050303,36.983,36.859,37.005,36.793,27300,0.0,0.57,-0.14,-0.051,0.0
20050304,37.042,37.107,37.115,36.925,7100,0.0,0.52,0.67,0.248,0.0
20050307,37.115,37.159,37.32,37.115,20200,0.0,0.55,0.14,0.052,0.0
20050308,37.195,36.954,37.224,36.925,45800,0.0,0.8,-0.55,-0.205,0.0
20050309,36.866,36.764,36.932,36.683,10200,0.0,0.67,-0.51,-0.19,0.0
20050310,36.859,36.786,36.866,36.713,6700,0.0,0.42,0.06,0.022,0.0
20050311,36.742,36.457,36.778,36.398,5400,0.0,1.03,-0.89,-0.329,0.0
20050314,36.588,36.713,36.713,36.383,4700,0.0,0.91,0.7,0.256,0.0
20050315,36.99,36.34,36.99,36.34,21000,0.0,1.77,-1.02,-0.373,0.0
