trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20180306,30.08,30.398,30.398,30.08,9867,431033.0,0.0,0.0,0.0,0.0
20180307,30.443,30.47,30.497,30.334,13307,446321.0,0.54,0.24,0.072,0.0
20180308,30.352,30.307,30.361,30.189,15920,531632.0,0.56,-0.53,-0.163,0.0
20180309,30.597,30.86,30.86,30.597,21795,739310.0,0.87,1.82,0.553,0.0
20180312,30.742,30.779,30.879,30.742,8795,298721.0,0.44,-0.26,-0.081,0.0
20180313,31.024,30.661,31.024,30.661,14981,508845.0,1.18,-0.38,-0.118,0.0
20180314,30.742,30.579,30.77,30.516,28964,978947.0,0.83,-0.27,-0.082,0.0
20180315,30.588,30.461,30.615,30.398,21904,735270.0,0.71,-0.39,-0.118,0.0
20180316,30.688,30.752,30.851,30.67,36025,1220909.0,0.59,0.96,0.291,0.0
20180319,30.579,30.452,30.579,30.162,11702,391040.0,1.36,-0.98,-0.3,0.0
20180320,30.549,30.513,30.558,30.412,36144,1211012.0,0.48,0.2,0.061,0.0
20180321,30.622,30.676,30.822,30.622,19073,643793.0,0.66,0.53,0.163,0.0
20180322,30.403,29.93,30.403,29.93,24814,822883.0,1.54,-2.43,-0.746,0.0
20180323,29.821,29.121,29.821,29.121,15215,493069.0,2.34,-2.7,-0.809,0.0
20180326,29.43,29.867,29.885,29.421,11035,359089.0,1.59,2.56,0.746,0.0
20180327,30.103,29.375,30.103,29.239,23109,750326.0,2.89,-1.65,-0.492,0.0
20180328,29.412,29.366,29.485,29.321,17659,570778.0,0.56,-0.03,-0.009,0.0
20180329,29.639,29.748,29.885,29.575,26531,868035.0,1.06,1.3,0.382,0.0
20180402,29.603,29.121,29.603,28.766,86093,2750938.0,2.81,-2.11,-0.627,0.0
20180403,29.284,29.548,29.566,29.266,59779,1929364.0,1.03,1.47,0.427,0.0
20180404,29.011,29.876,29.903,29.011,18584,607433.0,3.02,1.11,0.328,0.0
20180405,30.067,30.094,30.203,30.039,30213,1000431.0,0.55,0.73,0.218,0.0
20180406,29.958,29.557,30.021,29.33,29590,962245.0,2.3,-1.78,-0.537,0.0
20180409,29.63,29.548,29.903,29.548,74810,2451781.0,1.2,-0.03,-0.009,0.0
20180410,29.821,30.085,30.176,29.821,66391,2195621.0,1.2,1.82,0.537,0.0
20180411,30.03,30.085,30.194,29.994,37567,1242791.0,0.66,0.0,0.0,0.0
20180412,30.385,30.349,30.422,30.303,11583,386811.0,0.4,0.88,0.264,0.0
20180413,30.267,30.221,30.376,30.103,31881,1059942.0,0.9,-0.42,-0.128,0.0
20180416,30.367,30.485,30.622,30.358,26383,886122.0,0.87,0.87,0.264,0.0
20180417,30.776,30.795,30.858,30.694,14052,475464.0,0.54,1.02,0.31,0.0
20180418,30.876,30.858,31.031,30.858,14414,490358.0,0.56,0.2,0.063,0.0
20180419,30.74,30.649,30.74,30.449,21938,737056.0,0.94,-0.68,-0.209,0.0
20180420,30.485,30.376,30.558,30.294,33957,1132534.0,0.86,-0.89,-0.273,0.0
20180423,30.358,30.358,30.531,30.285,14994,500772.0,0.81,-0.06,-0.018,0.0
20180424,30.513,30.24,30.558,30.094,21420,712724.0,1.53,-0.39,-0.118,0.0
20180425,30.13,30.176,30.303,30.121,57505,1908419.0,0.6,-0.21,-0.064,0.0
