trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20050103,68.073,66.787,68.073,66.746,30000,0.0,0.0,0.0,0.0,0.0
20050104,66.845,65.698,66.967,65.55,31000,0.0,2.12,-1.63,-1.089,0.0
20050105,65.534,64.952,65.534,64.805,34000,0.0,1.11,-1.14,-0.746,0.0
20050106,64.919,65.141,65.403,64.919,94200,0.0,0.75,0.29,0.189,0.0
20050107,65.288,64.87,65.288,64.625,59200,0.0,1.02,-0.42,-0.271,0.0
20050110,64.715,65.124,65.608,64.715,18600,0.0,1.38,0.39,0.254,0.0
20050111,65.042,64.731,65.042,64.625,20200,0.0,0.64,-0.6,-0.393,0.0
20050112,64.715,64.829,64.829,64.059,21400,0.0,1.19,0.15,0.098,0.0
20050113,64.797,64.502,64.993,64.477,42600,0.0,0.8,-0.5,-0.327,0.0
20050114,64.788,65.042,65.042,64.715,14400,0.0,0.51,0.84,0.54,0.0
20050118,65.124,65.771,65.771,64.969,20800,0.0,1.23,1.12,0.729,0.0
20050119,65.911,65.534,65.911,65.534,24000,0.0,0.57,-0.36,-0.237,0.0
20050120,64.838,64.862,65.092,64.838,31800,0.0,0.39,-1.03,-0.672,0.0
20050121,65.042,64.698,65.116,64.559,2800,0.0,0.86,-0.25,-0.164,0.0
20050124,64.715,63.945,64.862,63.945,20600,0.0,1.42,-1.16,-0.753,0.0
20050125,64.428,64.043,64.567,64.035,9800,0.0,0.83,0.15,0.098,0.0
20050126,64.223,64.707,64.707,64.141,33600,0.0,0.88,1.04,0.664,0.0
20050127,64.551,64.616,64.928,64.551,13200,0.0,0.58,-0.14,-0.091,0.0
20050128,64.879,64.625,64.952,64.379,14600,0.0,0.89,0.01,0.009,0.0
20050131,64.797,65.411,65.493,64.797,116400,0.0,1.08,1.22,0.786,0.0
20050201,65.534,65.87,65.993,65.452,28000,0.0,0.83,0.7,0.459,0.0
20050202,66.001,66.23,66.304,66.001,19400,0.0,0.46,0.55,0.36,0.0
20050203,66.075,66.001,66.075,65.821,22200,0.0,0.38,-0.35,-0.229,0.0
20050204,65.943,66.779,66.779,65.943,42400,0.0,1.27,1.18,0.778,0.0
20050207,66.869,66.705,67.115,66.705,51200,0.0,0.61,-0.11,-0.074,0.0
20050208,66.64,66.787,66.984,66.64,30400,0.0,0.52,0.12,0.082,0.0
20050209,66.886,65.943,66.967,65.943,16400,0.0,1.53,-1.26,-0.844,0.0
20050210,66.025,66.025,66.124,65.714,40000,0.0,0.62,0.12,0.082,0.0
20050211,66.025,66.763,66.845,65.796,128400,0.0,1.59,1.12,0.738,0.0
20050214,66.804,66.787,66.836,66.623,28400,0.0,0.32,0.04,0.024,0.0
20050215,66.681,66.771,67.213,66.681,14000,0.0,0.8,-0.02,-0.016,0.0
20050216,66.763,67.131,67.344,66.763,9800,0.0,0.87,0.54,0.36,0.0
20050217,67.254,66.64,67.361,66.64,47200,0.0,1.07,-0.73,-0.491,0.0
20050218,66.763,66.582,66.763,66.476,32000,0.0,0.43,-0.09,-0.058,0.0
20050222,66.165,65.444,66.378,65.411,89400,0.0,1.45,-1.71,-1.138,0.0
20050223,65.616,65.739,65.903,65.616,21600,0.0,0.44,0.45,0.295,0.0
20050224,65.608,66.312,66.312,65.452,8400,0.0,1.31,0.87,0.573,0.0
20050225,66.23,67.008,67.008,66.23,10200,0.0,1.17,1.05,0.696,0.0
20050228,66.967,66.845,66.976,66.353,16600,0.0,0.93,-0.24,-0.163,0.0
20050301,66.886,67.213,67.238,66.845,10800,0.0,0.59,0.55,0.368,0.0
20050302,66.869,67.271,67.451,66.869,10800,0.0,0.87,0.09,0.058,0.0
20050303,67.271,67.238,67.393,66.861,24200,0.0,0.79,-0.05,-0.033,0.0
20050304,67.336,67.811,67.811,67.336,9600,0.0,0.71,0.85,0.573,0.0
20050307,67.787,67.909,68.18,67.787,30800,0.0,0.58,0.14,0.098,0.0
20050308,67.852,67.459,67.852,67.459,2600,0.0,0.58,-0.66,-0.45,0.0
20050309,67.172,66.771,67.254,66.689,9800,0.0,0.84,-1.02,-0.688,0.0
20050310,66.804,66.32,66.804,66.115,12000,0.0,1.03,-0.68,-0.451,0.0
20050311,66.664,66.476,66.664,66.443,24000,0.0,0.33,0.24,0.156,0.0
20050314,66.443,67.041,67.041,66.443,45000,0.0,0.9,0.85,0.565,0.0
20050315,67.213,66.845,67.418,66.845,17800,0.0,0.85,-0.29,-0.196,0.0
20050316,66.763,66.214,66.763,66.206,9400,0.0,0.83,-0.94,-0.631,0.0
20050317,66.214,66.435,66.451,66.124,19200,0.0,0.49,0.33,0.221,0.0
20050318,66.378,65.903,66.378,65.903,102000,0.0,0.71,-0.8,-0.532,0.0
20050321,66.066,66.156,66.238,65.845,19200,0.0,0.6,0.38,0.253,0.0
20050322,66.107,65.567,66.541,65.567,20600,0.0,1.47,-0.89,-0.589,0.0
20050323,65.567,65.247,65.567,65.157,15600,0.0,0.63,-0.49,-0.32,0.0
20050324,65.681,65.477,65.698,65.477,40000,0.0,0.34,0.35,0.23,0.0
20050328,65.534,65.337,65.624,65.337,19800,0.0,0.44,-0.21,-0.14,0.0
20050329,65.206,64.469,65.632,64.469,21000,0.0,1.78,-1.33,-0.868,0.0
20050330,64.657,65.296,65.296,64.657,14600,0.0,0.99,1.28,0.827,0.0
20050331,65.37,65.411,65.493,65.288,10000,0.0,0.31,0.18,0.115,0.0
20050401,65.862,65.231,66.001,65.108,11200,0.0,1.37,-0.28,-0.18,0.0
20050404,65.206,65.468,65.575,64.96,12400,0.0,0.94,0.36,0.237,0.0
20050405,65.583,65.69,65.69,65.526,14000,0.0,0.25,0.34,0.222,0.0
20050406,65.804,65.894,66.099,65.763,5600,0.0,0.51,0.31,0.204,0.0
20050407,65.821,66.099,66.099,65.821,5000,0.0,0.42,0.31,0.205,0.0
20050408,66.099,65.329,66.099,65.329,12600,0.0,1.16,-1.16,-0.77,0.0
20050411,65.411,65.264,65.411,65.108,7400,0.0,0.46,-0.1,-0.065,0.0
20050412,64.805,65.698,65.747,64.649,23200,0.0,1.68,0.66,0.434,0.0
20050413,65.509,64.715,65.509,64.715,6200,0.0,1.21,-1.5,-0.983,0.0
20050414,64.715,63.936,64.715,63.83,18000,0.0,1.37,-1.2,-0.779,0.0
20050415,63.814,63.019,63.969,62.953,39400,0.0,1.59,-1.43,-0.917,0.0
20050418,63.06,63.289,63.388,62.765,48400,0.0,0.99,0.43,0.27,0.0
20050419,63.65,64.018,64.018,63.65,42800,0.0,0.58,1.15,0.729,0.0
20050420,64.1,63.461,64.141,63.461,27800,0.0,1.06,-0.87,-0.557,0.0
20050421,63.732,64.149,64.199,63.592,10400,0.0,0.96,1.08,0.688,0.0
20050422,64.305,63.388,64.305,63.314,5600,0.0,1.54,-1.19,-0.761,0.0
20050425,63.83,64.215,64.281,63.83,32600,0.0,0.71,1.3,0.827,0.0
20050426,64.141,63.846,64.657,63.846,14800,0.0,1.26,-0.57,-0.369,0.0
20050427,63.486,63.732,63.871,63.257,32800,0.0,0.96,-0.18,-0.114,0.0
20050428,63.298,63.06,63.298,63.06,2000,0.0,0.37,-1.05,-0.672,0.0
20050429,63.076,63.207,63.322,62.347,71000,0.0,1.55,0.23,0.147,0.0
20050502,63.404,63.658,63.674,63.363,131600,0.0,0.49,0.71,0.451,0.0
20050503,63.691,63.625,63.887,63.625,7600,0.0,0.41,-0.05,-0.033,0.0
20050504,63.896,64.649,64.649,63.896,13400,0.0,1.18,1.61,1.024,0.0
20050505,64.551,64.567,64.895,64.412,12400,0.0,0.75,-0.13,-0.082,0.0
20050506,64.715,64.797,64.805,64.592,7800,0.0,0.33,0.36,0.23,0.0
20050509,64.698,64.993,65.051,64.6,5000,0.0,0.7,0.3,0.196,0.0
20050510,64.862,64.633,64.919,64.567,22200,0.0,0.54,-0.55,-0.36,0.0
20050511,64.797,64.797,64.928,64.338,5800,0.0,0.91,0.25,0.164,0.0
20050512,64.879,64.059,64.919,63.953,21000,0.0,1.49,-1.14,-0.738,0.0
20050513,64.141,63.576,64.141,63.576,4000,0.0,0.88,-0.75,-0.483,0.0
20050516,63.609,64.01,64.027,63.609,24400,0.0,0.66,0.68,0.434,0.0
20050517,64.174,64.805,64.846,64.174,27000,0.0,1.05,1.24,0.795,0.0
20050518,64.96,65.64,65.804,64.96,14400,0.0,1.3,1.29,0.835,0.0
20050519,65.804,66.14,66.14,65.804,10800,0.0,0.51,0.76,0.5,0.0
20050520,65.943,66.066,66.091,65.788,4800,0.0,0.46,-0.11,-0.074,0.0
20050523,66.148,66.558,66.664,66.148,19400,0.0,0.78,0.74,0.492,0.0
20050524,66.435,66.599,66.599,66.435,9000,0.0,0.25,0.06,0.041,0.0
20050525,66.558,66.197,66.558,65.919,12600,0.0,0.96,-0.6,-0.402,0.0
20050526,66.435,66.763,66.763,66.435,3800,0.0,0.5,0.86,0.566,0.0
20050527,66.763,66.91,67.033,66.763,5000,0.0,0.4,0.22,0.147,0.0
20050531,66.926,67.238,67.295,66.926,15800,0.0,0.55,0.49,0.328,0.0
20050601,67.172,67.639,67.828,67.172,102000,0.0,0.98,0.6,0.401,0.0
20050602,67.5,67.893,67.959,67.5,18200,0.0,0.68,0.38,0.254,0.0
20050603,67.991,67.598,67.991,67.549,8800,0.0,0.65,-0.43,-0.295,0.0
20050606,67.623,67.819,67.828,67.443,9800,0.0,0.57,0.33,0.221,0.0
20050607,67.909,67.934,68.483,67.909,10000,0.0,0.85,0.17,0.115,0.0
20050608,68.0,67.533,68.0,67.426,7200,0.0,0.84,-0.59,-0.401,0.0
20050609,67.418,68.008,68.008,67.377,12000,0.0,0.93,0.7,0.475,0.0
20050610,68.155,68.041,68.155,67.918,126800,0.0,0.35,0.05,0.033,0.0
20050613,68.016,68.213,68.483,67.991,5400,0.0,0.72,0.25,0.172,0.0
20050614,68.483,68.598,68.729,68.434,17200,0.0,0.43,0.56,0.385,0.0
20050615,68.892,68.548,68.892,68.385,21200,0.0,0.74,-0.07,-0.05,0.0
20050616,68.983,69.179,69.204,68.983,89400,0.0,0.32,0.92,0.631,0.0
20050617,69.712,69.466,69.753,69.335,15000,0.0,0.6,0.41,0.287,0.0
20050620,69.466,69.515,69.548,69.253,20800,0.0,0.42,0.07,0.049,0.0
20050621,69.49,69.343,69.49,69.335,9000,0.0,0.22,-0.25,-0.172,0.0
20050622,69.548,69.368,69.548,69.187,11800,0.0,0.52,0.04,0.025,0.0
20050623,69.433,68.802,69.597,68.802,9000,0.0,1.15,-0.82,-0.566,0.0
20050624,68.802,68.073,68.802,68.049,90400,0.0,1.09,-1.06,-0.729,0.0
20050627,68.073,68.221,68.335,68.065,51200,0.0,0.4,0.22,0.148,0.0
20050628,68.794,69.22,69.237,68.778,26000,0.0,0.67,1.46,0.999,0.0
20050629,69.343,69.368,69.441,69.179,17600,0.0,0.38,0.21,0.148,0.0
20050630,69.622,69.269,69.622,69.269,22600,0.0,0.51,-0.14,-0.099,0.0
20050701,69.409,69.441,69.441,69.22,9000,0.0,0.32,0.25,0.172,0.0
20050705,69.63,70.326,70.326,69.63,9200,0.0,1.0,1.27,0.885,0.0
20050706,70.392,70.179,70.441,70.121,15400,0.0,0.46,-0.21,-0.147,0.0
20050707,69.425,70.138,70.211,69.384,24000,0.0,1.18,-0.06,-0.041,0.0
20050708,70.187,71.268,71.268,70.187,26000,0.0,1.54,1.61,1.13,0.0
20050711,71.432,71.915,71.973,71.432,35200,0.0,0.76,0.91,0.647,0.0
20050712,71.964,71.973,72.145,71.596,14800,0.0,0.76,0.08,0.058,0.0
20050713,71.973,71.751,72.079,71.62,33800,0.0,0.64,-0.31,-0.222,0.0
20050714,72.21,71.481,72.235,71.325,23000,0.0,1.27,-0.38,-0.27,0.0
20050715,71.473,71.588,71.629,71.194,15200,0.0,0.61,0.15,0.107,0.0
20050718,71.473,71.268,71.473,71.211,16000,0.0,0.37,-0.45,-0.32,0.0
20050719,71.596,72.038,72.087,71.596,22200,0.0,0.69,1.08,0.77,0.0
20050720,72.005,72.644,72.661,71.94,14000,0.0,1.0,0.84,0.606,0.0
20050721,72.612,71.801,72.612,71.743,27000,0.0,1.2,-1.16,-0.843,0.0
20050722,72.005,72.079,72.177,71.981,13200,0.0,0.27,0.39,0.278,0.0
20050725,72.62,72.21,72.759,72.087,40200,0.0,0.93,0.18,0.131,0.0
20050726,72.251,72.415,72.48,72.071,10800,0.0,0.57,0.28,0.205,0.0
20050727,72.579,72.53,72.579,72.169,25800,0.0,0.57,0.16,0.115,0.0
20050728,72.661,73.316,73.324,72.661,14800,0.0,0.91,1.08,0.786,0.0
20050729,73.316,73.218,73.406,73.029,30200,0.0,0.51,-0.13,-0.098,0.0
20050801,73.218,73.324,73.513,73.16,43800,0.0,0.48,0.14,0.106,0.0
20050802,73.423,73.799,73.799,73.423,15000,0.0,0.51,0.65,0.475,0.0
20050803,73.66,73.57,73.726,73.447,42600,0.0,0.38,-0.31,-0.229,0.0
20050804,73.357,72.792,73.357,72.792,42200,0.0,0.77,-1.06,-0.778,0.0
20050805,72.669,71.964,72.669,71.735,24600,0.0,1.28,-1.14,-0.828,0.0
20050808,72.169,71.375,72.194,71.375,85000,0.0,1.14,-0.82,-0.589,0.0
20050809,71.555,71.792,71.792,71.456,26600,0.0,0.47,0.58,0.417,0.0
20050810,71.964,71.727,72.3,71.514,67400,0.0,1.09,-0.09,-0.065,0.0
20050811,71.629,72.21,72.21,71.629,16000,0.0,0.81,0.67,0.483,0.0
20050812,72.005,71.768,72.005,71.44,25400,0.0,0.78,-0.61,-0.442,0.0
20050815,71.923,72.022,72.284,71.637,29000,0.0,0.9,0.35,0.254,0.0
20050816,71.817,71.284,71.891,71.268,24000,0.0,0.87,-1.02,-0.738,0.0
20050817,71.35,71.268,71.481,71.153,36200,0.0,0.46,-0.02,-0.016,0.0
20050818,70.826,71.014,71.096,70.596,138000,0.0,0.7,-0.36,-0.254,0.0
20050819,71.219,71.104,71.244,71.014,23600,0.0,0.32,0.13,0.09,0.0
20050822,71.309,71.465,71.473,70.998,249200,0.0,0.67,0.51,0.361,0.0
20050823,71.661,71.366,71.661,71.104,12600,0.0,0.78,-0.14,-0.099,0.0
20050824,71.276,71.284,71.932,71.112,49600,0.0,1.15,-0.11,-0.082,0.0
20050825,71.448,71.424,71.547,71.276,19800,0.0,0.38,0.2,0.14,0.0
20050826,71.424,70.859,71.424,70.695,20600,0.0,1.02,-0.79,-0.565,0.0
20050829,70.596,71.153,71.194,70.433,22400,0.0,1.07,0.41,0.294,0.0
20050830,71.178,71.145,71.178,70.891,21200,0.0,0.4,-0.01,-0.008,0.0
20050831,71.022,72.3,72.3,71.022,49800,0.0,1.8,1.62,1.155,0.0
20050901,72.456,72.505,72.734,72.128,25400,0.0,0.84,0.28,0.205,0.0
20050902,72.399,72.054,72.399,71.891,41000,0.0,0.7,-0.62,-0.451,0.0
20050906,72.259,72.98,72.98,72.259,15200,0.0,1.0,1.29,0.926,0.0
20050907,72.98,73.275,73.652,72.882,23800,0.0,1.06,0.4,0.295,0.0
20050908,73.119,72.972,73.201,72.906,11800,0.0,0.4,-0.41,-0.303,0.0
20050909,73.095,73.316,73.398,73.062,40200,0.0,0.46,0.47,0.344,0.0
20050912,73.357,73.554,73.709,73.357,93200,0.0,0.48,0.32,0.238,0.0
20050913,73.398,73.013,73.398,72.988,26000,0.0,0.56,-0.74,-0.541,0.0
20050914,73.111,72.571,73.111,72.554,28400,0.0,0.76,-0.61,-0.442,0.0
20050915,72.702,72.456,72.743,72.308,22600,0.0,0.6,-0.16,-0.115,0.0
20050916,72.562,72.808,72.808,72.538,34000,0.0,0.37,0.49,0.352,0.0
20050919,72.816,72.538,72.833,72.407,60600,0.0,0.59,-0.37,-0.27,0.0
20050920,72.571,71.956,72.8,71.866,31400,0.0,1.29,-0.8,-0.582,0.0
20050921,71.653,70.981,71.653,70.981,25000,0.0,0.93,-1.35,-0.975,0.0
20050922,70.449,71.26,71.26,70.449,18600,0.0,1.14,0.39,0.279,0.0
