trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20080319,31.707,31.63,31.707,31.625,7900,0.0,0.33,29.09,7.127,0.0
20080320,31.467,31.482,31.482,31.462,20800,0.0,0.06,-0.47,-0.148,0.0
20080324,31.605,31.64,31.651,31.605,30000,0.0,0.15,0.5,0.158,0.0
20080325,31.651,31.722,31.722,31.651,42400,0.0,0.22,0.26,0.082,0.0
20080326,31.656,31.753,31.753,31.656,46400,0.0,0.31,0.1,0.031,0.0
20080327,31.778,31.86,31.865,31.773,91600,0.0,0.29,0.34,0.107,0.0
20080328,31.829,31.789,31.829,31.789,90300,0.0,0.13,-0.22,-0.071,0.0
20080331,31.804,31.834,31.86,31.804,114800,0.0,0.18,0.14,0.045,0.0
20080401,31.528,31.339,31.533,31.324,33600,0.0,0.66,-1.55,-0.495,0.0
20080402,31.354,31.324,31.354,31.268,20000,0.0,0.27,-0.05,-0.015,0.0
20080403,31.339,31.375,31.375,31.329,43600,0.0,0.15,0.16,0.051,0.0
20080404,31.462,31.497,31.497,31.462,42000,0.0,0.11,0.39,0.122,0.0
20080407,31.451,31.405,31.472,31.405,85900,0.0,0.21,-0.29,-0.092,0.0
20080408,31.896,31.431,31.896,31.416,41100,0.0,1.53,0.08,0.026,0.0
20080409,31.431,31.431,31.431,31.421,18000,0.0,0.03,0.0,0.0,0.0
20080410,31.528,31.508,31.548,31.502,46600,0.0,0.15,0.24,0.077,0.0
20080411,31.543,31.569,31.569,31.533,41900,0.0,0.11,0.19,0.061,0.0
20080414,31.584,31.584,31.584,31.564,30100,0.0,0.06,0.05,0.015,0.0
20080415,32.039,31.548,32.039,31.528,88200,0.0,1.62,-0.11,-0.036,0.0
20080416,32.039,31.543,32.039,31.533,36800,0.0,1.6,-0.02,-0.005,0.0
20080417,31.911,31.38,31.911,31.375,36700,0.0,1.7,-0.52,-0.163,0.0
20080418,31.13,31.14,31.278,30.9,61200,0.0,1.2,-0.76,-0.24,0.0
20080421,32.044,31.268,32.044,31.14,48100,0.0,2.9,0.41,0.128,0.0
20080422,31.155,31.467,31.497,31.155,100800,0.0,1.09,0.64,0.199,0.0
20080423,31.916,31.41,31.916,31.354,56900,0.0,1.79,-0.18,-0.057,0.0
20080424,31.247,31.099,31.252,31.084,36700,0.0,0.53,-0.99,-0.311,0.0
20080425,31.048,31.017,31.048,30.895,25500,0.0,0.49,-0.26,-0.082,0.0
20080428,31.656,31.058,31.656,31.048,29200,0.0,1.96,0.13,0.041,0.0
20080429,31.022,30.92,31.022,30.905,20200,0.0,0.38,-0.44,-0.138,0.0
20080430,31.599,31.165,31.599,31.002,33000,0.0,1.93,0.79,0.245,0.0
20080501,31.853,30.96,31.853,30.924,32300,0.0,2.98,-0.66,-0.205,0.0
20080502,30.79,30.939,30.97,30.79,49900,0.0,0.58,-0.07,-0.021,0.0
20080505,30.898,31.129,31.17,30.898,34800,0.0,0.88,0.61,0.19,0.0
20080506,31.375,31.309,31.375,31.191,59700,0.0,0.59,0.58,0.18,0.0
20080507,31.406,31.211,31.786,31.18,70200,0.0,1.94,-0.31,-0.098,0.0
20080508,31.555,31.298,31.776,31.057,88300,0.0,2.3,0.28,0.087,0.0
20080509,31.76,31.406,31.76,31.319,40600,0.0,1.41,0.35,0.108,0.0
20080512,31.889,31.355,32.202,31.15,63500,0.0,3.35,-0.16,-0.051,0.0
20080513,32.043,31.319,32.043,31.252,34500,0.0,2.52,-0.11,-0.036,0.0
20080514,31.735,31.288,31.735,31.17,40600,0.0,1.8,-0.1,-0.031,0.0
20080515,31.329,31.15,31.329,31.139,19900,0.0,0.61,-0.44,-0.138,0.0
20080516,31.191,31.381,31.458,31.191,28500,0.0,0.86,0.74,0.231,0.0
20080519,31.381,31.381,31.606,31.329,44700,0.0,0.88,0.0,0.0,0.0
20080520,31.304,31.483,31.483,31.304,83500,0.0,0.57,0.33,0.102,0.0
20080521,31.678,31.452,31.678,31.432,142000,0.0,0.78,-0.1,-0.031,0.0
20080522,31.606,31.319,31.606,31.293,70200,0.0,1.0,-0.42,-0.133,0.0
20080523,31.422,31.524,31.581,31.422,56900,0.0,0.51,0.65,0.205,0.0
20080527,31.458,31.35,32.217,31.35,52200,0.0,2.75,-0.55,-0.174,0.0
20080528,31.304,31.206,31.375,31.175,62500,0.0,0.64,-0.46,-0.144,0.0
20080529,31.155,31.232,31.35,31.078,73300,0.0,0.87,0.08,0.026,0.0
20080530,31.242,31.242,31.293,31.16,83100,0.0,0.43,0.03,0.01,0.0
20080602,31.203,31.338,31.415,31.198,61700,0.0,0.69,0.31,0.096,0.0
20080603,31.188,31.085,31.188,30.925,96800,0.0,0.84,-0.81,-0.253,0.0
20080604,31.105,30.935,31.105,30.785,108300,0.0,1.03,-0.48,-0.15,0.0
20080605,30.935,31.023,31.08,30.852,48800,0.0,0.74,0.28,0.088,0.0
20080606,31.105,31.281,31.524,31.105,90100,0.0,1.35,0.83,0.258,0.0
20080609,31.307,31.193,31.467,31.193,68800,0.0,0.88,-0.28,-0.088,0.0
20080610,31.193,30.775,31.193,30.729,102500,0.0,1.49,-1.34,-0.418,0.0
20080611,31.224,30.739,31.224,30.723,101500,0.0,1.63,-0.12,-0.036,0.0
20080612,30.687,30.584,30.749,30.558,47300,0.0,0.62,-0.5,-0.155,0.0
20080613,30.512,30.615,30.692,30.512,66400,0.0,0.59,0.1,0.031,0.0
20080616,30.667,30.909,30.976,30.667,56500,0.0,1.01,0.96,0.294,0.0
20080617,30.863,30.971,30.971,30.801,48100,0.0,0.55,0.2,0.062,0.0
20080618,30.925,31.054,31.074,30.909,73600,0.0,0.53,0.27,0.083,0.0
20080619,31.074,30.976,31.074,30.976,61100,0.0,0.32,-0.25,-0.078,0.0
20080620,31.224,31.162,31.224,31.1,41500,0.0,0.4,0.6,0.186,0.0
20080623,31.105,30.976,31.105,30.976,62800,0.0,0.41,-0.6,-0.186,0.0
20080624,31.033,31.147,31.229,30.976,53000,0.0,0.82,0.55,0.171,0.0
20080625,31.049,31.157,31.26,31.049,51600,0.0,0.68,0.03,0.01,0.0
20080626,31.317,31.415,31.518,31.307,87600,0.0,0.68,0.83,0.258,0.0
20080627,31.415,31.477,31.524,31.41,64400,0.0,0.36,0.2,0.062,0.0
20080630,31.462,31.498,31.498,31.405,76500,0.0,0.3,0.07,0.021,0.0
20080701,31.607,31.587,31.659,31.343,62800,0.0,1.0,0.28,0.089,0.0
20080702,31.758,31.685,31.758,31.602,46100,0.0,0.49,0.31,0.098,0.0
20080703,31.633,31.675,31.69,31.602,32300,0.0,0.28,-0.03,-0.01,0.0
20080707,31.908,31.721,31.908,31.55,54000,0.0,1.13,0.15,0.046,0.0
20080708,31.612,31.576,31.612,31.524,84400,0.0,0.28,-0.46,-0.145,0.0
20080709,31.602,31.395,31.68,31.395,123400,0.0,0.9,-0.57,-0.181,0.0
20080710,31.644,31.768,31.779,31.576,85800,0.0,0.65,1.19,0.373,0.0
20080711,31.908,32.007,32.017,31.836,108500,0.0,0.57,0.75,0.239,0.0
20080714,31.872,31.939,32.012,31.804,44700,0.0,0.65,-0.21,-0.068,0.0
20080715,32.017,32.131,32.225,32.017,194500,0.0,0.65,0.6,0.192,0.0
20080716,31.939,31.893,31.976,31.706,87500,0.0,0.84,-0.74,-0.238,0.0
20080717,31.753,31.732,31.96,31.732,173100,0.0,0.71,-0.5,-0.161,0.0
20080718,32.033,31.659,32.033,31.576,93000,0.0,1.44,-0.23,-0.073,0.0
20080721,32.355,31.716,32.355,31.576,46000,0.0,2.46,0.18,0.057,0.0
20080722,31.81,31.638,31.81,31.581,162600,0.0,0.72,-0.25,-0.078,0.0
20080723,31.472,31.524,31.597,31.395,66800,0.0,0.64,-0.36,-0.114,0.0
20080724,31.431,31.498,31.597,31.415,48000,0.0,0.58,-0.08,-0.026,0.0
20080725,31.462,31.519,31.654,31.4,46800,0.0,0.81,0.07,0.021,0.0
20080728,31.524,31.55,31.602,31.524,58500,0.0,0.25,0.1,0.031,0.0
20080729,31.566,31.55,31.654,31.384,69000,0.0,0.86,0.0,0.0,0.0
20080730,31.426,31.706,31.706,31.426,76900,0.0,0.89,0.49,0.156,0.0
20080731,31.784,31.784,31.913,31.555,62800,0.0,1.13,0.25,0.078,0.0
20080801,31.564,31.663,32.27,31.486,76700,0.0,2.47,-0.38,-0.121,0.0
