trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20050103,26.66,26.367,26.736,26.352,429200,0.0,2.13,46.35,8.35,0.0
20050104,26.367,26.059,26.48,26.014,845100,0.0,1.77,-1.17,-0.308,0.0
20050105,26.172,25.961,26.172,25.961,130300,0.0,0.81,-0.38,-0.098,0.0
20050106,25.931,25.826,25.983,25.818,129200,0.0,0.64,-0.52,-0.135,0.0
20050107,25.953,25.818,25.953,25.713,215000,0.0,0.93,-0.03,-0.008,0.0
20050110,25.72,25.916,26.029,25.72,122200,0.0,1.2,0.38,0.098,0.0
20050111,25.758,25.75,25.848,25.72,184000,0.0,0.49,-0.64,-0.166,0.0
20050112,25.72,25.901,25.923,25.585,249300,0.0,1.31,0.59,0.151,0.0
20050113,25.901,25.713,25.908,25.683,387600,0.0,0.87,-0.73,-0.188,0.0
20050114,25.758,25.953,25.968,25.728,114100,0.0,0.93,0.93,0.24,0.0
20050118,25.871,26.172,26.172,25.818,193400,0.0,1.36,0.84,0.219,0.0
20050119,26.209,25.908,26.209,25.908,175400,0.0,1.15,-1.01,-0.264,0.0
20050120,25.728,25.442,25.728,25.434,385700,0.0,1.13,-1.8,-0.466,0.0
20050121,25.442,25.352,25.532,25.307,334500,0.0,0.88,-0.35,-0.09,0.0
20050124,25.359,25.104,25.419,25.104,340900,0.0,1.24,-0.98,-0.248,0.0
20050125,25.269,25.171,25.314,25.149,269900,0.0,0.66,0.27,0.067,0.0
20050126,25.284,25.307,25.337,25.141,269900,0.0,0.78,0.54,0.136,0.0
20050127,25.307,25.254,25.382,25.201,47900,0.0,0.72,-0.21,-0.053,0.0
20050128,25.194,25.134,25.231,24.991,256300,0.0,0.95,-0.48,-0.12,0.0
20050131,25.134,25.404,25.457,25.134,384700,0.0,1.29,1.07,0.27,0.0
20050201,25.434,25.427,25.495,25.344,364600,0.0,0.59,0.09,0.023,0.0
20050202,25.427,25.502,25.562,25.404,299800,0.0,0.62,0.29,0.075,0.0
20050203,25.457,25.45,25.457,25.344,477500,0.0,0.44,-0.2,-0.052,0.0
20050204,25.495,25.683,25.683,25.457,156500,0.0,0.89,0.92,0.233,0.0
20050207,25.705,25.75,25.803,25.638,202800,0.0,0.64,0.26,0.067,0.0
