trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-16.167,-15.667,-15.667,-16.667,9100,0.0,0.0,0.0,0.0,0.04
20010103,-15.667,-13.907,-13.907,-16.167,14100,0.0,-14.43,11.23,1.76,0.06
20010104,-13.667,-14.167,-13.667,-14.667,21700,0.0,-7.19,-1.87,-0.26,0.09
20010105,-14.407,-14.667,-14.407,-15.407,12700,0.0,-7.06,-3.53,-0.5,0.05
20010108,-14.667,-14.167,-13.667,-14.667,5300,0.0,-6.82,3.41,0.5,0.02
20010109,-13.907,-14.167,-13.907,-14.907,6700,0.0,-7.06,0.0,0.0,0.03
20010110,-15.667,-12.167,-11.667,-15.667,44300,0.0,-28.23,14.12,2.0,0.18
20010111,-11.667,-10.667,-10.667,-12.167,35800,0.0,-12.33,12.33,1.5,0.14
20010112,-10.167,-10.907,-6.907,-10.907,22100,0.0,-37.5,-2.25,-0.24,0.09
20010116,-10.407,-11.907,-9.907,-12.907,26900,0.0,-27.51,-9.17,-1.0,0.11
20010117,-11.667,-9.667,-7.907,-11.907,38800,0.0,-33.59,18.81,2.24,0.15
20010118,-9.667,-8.667,-8.667,-9.667,15100,0.0,-10.34,10.34,1.0,0.06
20010119,-8.667,-9.667,-8.667,-9.667,10200,0.0,-11.54,-11.54,-1.0,0.04
20010122,-9.407,-9.907,-9.407,-10.167,9300,0.0,-7.86,-2.48,-0.24,0.04
20010123,-9.667,-8.167,-7.667,-9.667,44600,0.0,-20.19,17.56,1.74,0.18
20010124,-8.167,-9.167,-8.167,-9.667,7900,0.0,-18.37,-12.24,-1.0,0.03
20010125,-9.407,-8.907,-8.907,-9.907,14500,0.0,-10.91,2.84,0.26,0.06
20010126,-8.907,-8.167,-8.167,-9.667,22500,0.0,-16.84,8.31,0.74,0.09
20010129,-8.187,-8.187,-7.907,-9.227,12000,0.0,-16.16,-0.24,-0.02,0.05
20010130,-8.587,-8.867,-8.587,-9.187,7500,0.0,-7.33,-8.31,-0.68,0.03
20010131,-9.067,-9.587,-9.067,-9.947,12500,0.0,-9.92,-8.12,-0.72,0.05
20010201,-9.987,-9.387,-8.187,-9.987,22300,0.0,-18.78,2.09,0.2,0.09
20010202,-9.667,-9.067,-8.147,-9.707,19600,0.0,-16.62,3.41,0.32,0.08
20010205,-9.467,-10.067,-9.307,-10.667,7100,0.0,-15.0,-11.03,-1.0,0.03
20010206,-10.467,-11.067,-10.467,-12.067,6700,0.0,-15.89,-9.93,-1.0,0.03
20010207,-11.267,-12.267,-11.267,-13.267,14600,0.0,-18.07,-10.84,-1.2,0.06
20010208,-11.667,-11.547,-11.107,-11.987,28400,0.0,-7.17,5.87,0.72,0.11
20010209,-11.867,-11.387,-11.187,-11.867,6600,0.0,-5.89,1.39,0.16,0.03
20010212,-11.667,-11.667,-11.267,-12.187,20900,0.0,-8.08,-2.46,-0.28,0.08
20010213,-10.587,-7.667,-7.667,-10.587,63500,0.0,-25.03,34.28,4.0,0.25
20010214,-7.267,-8.067,-5.867,-8.187,44000,0.0,-30.26,-5.22,-0.4,0.17
20010215,-8.467,-8.627,-7.707,-8.787,16400,0.0,-13.39,-6.94,-0.56,0.06
20010216,-8.227,-8.707,-8.227,-8.827,7200,0.0,-6.95,-0.93,-0.08,0.03
20010220,-8.667,-8.547,-8.467,-8.987,13000,0.0,-5.97,1.84,0.16,0.05
20010221,-8.587,-8.427,-7.467,-8.587,33100,0.0,-13.1,1.4,0.12,0.13
20010222,-8.827,-8.067,-7.787,-8.867,13900,0.0,-12.82,4.27,0.36,0.05
20010223,-7.867,-8.667,-7.867,-8.867,35100,0.0,-12.4,-7.44,-0.6,0.14
20010226,-8.707,-7.907,-7.747,-8.707,28700,0.0,-11.08,8.77,0.76,0.11
20010227,-8.267,-8.107,-7.987,-8.627,40400,0.0,-8.09,-2.53,-0.2,0.16
20010228,-8.507,-8.427,-8.227,-8.507,35100,0.0,-3.45,-3.95,-0.32,0.14
20010301,-8.467,-8.547,-8.307,-8.667,11800,0.0,-4.27,-1.42,-0.12,0.05
20010302,-8.307,-8.067,-7.707,-8.467,19900,0.0,-8.89,5.62,0.48,0.08
20010305,-8.067,-8.587,-8.067,-8.827,28100,0.0,-9.42,-6.45,-0.52,0.11
20010306,-8.587,-8.507,-8.467,-8.667,10700,0.0,-2.33,0.93,0.08,0.04
20010307,-8.827,-8.587,-8.227,-8.827,32300,0.0,-7.05,-0.94,-0.08,0.13
20010308,-8.467,-8.467,-7.667,-8.707,44800,0.0,-12.11,1.4,0.12,0.18
