trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20151221,94.158,84.128,94.158,79.42,5788,0.0,0.0,0.0,0.0,0.0
20151222,94.158,91.088,94.158,89.655,3049,0.0,5.35,8.27,6.96,0.0
20151223,90.902,85.117,90.902,81.812,92379,0.0,9.98,-6.56,-5.971,0.0
20151224,82.638,90.075,90.075,82.638,71111,0.0,8.74,5.82,4.958,0.0
20151228,86.357,88.629,91.935,82.845,69042,0.0,10.09,-1.61,-1.446,0.0
20151229,85.737,86.563,88.423,83.878,73041,0.0,5.13,-2.33,-2.066,0.0
20151230,85.737,86.563,89.869,82.638,53366,0.0,8.35,0.0,0.0,0.0
20151231,86.563,82.845,86.563,82.845,9926,0.0,4.3,-4.3,-3.718,0.0
20160104,86.77,83.258,86.77,83.258,18200,0.0,4.24,0.5,0.413,0.0
20160105,82.638,82.845,85.117,81.812,50702,0.0,3.97,-0.5,-0.413,0.0
20160106,80.159,80.572,83.464,78.919,141049,0.0,5.49,-2.74,-2.273,0.0
20160107,78.506,79.539,81.605,78.506,28903,0.0,3.85,-1.28,-1.033,0.0
20160108,77.886,80.159,81.605,76.44,67020,0.0,6.49,0.78,0.62,0.0
20160111,80.365,79.126,82.018,75.82,276145,0.0,7.73,-1.29,-1.033,0.0
20160112,80.365,82.018,82.018,77.886,107522,0.0,5.22,3.65,2.892,0.0
20160113,82.845,78.506,83.051,77.266,92293,0.0,7.05,-4.28,-3.512,0.0
20160114,78.299,78.506,80.159,78.299,5700,0.0,2.37,0.0,0.0,0.0
20160115,78.713,76.44,78.713,74.787,32594,0.0,5.0,-2.63,-2.066,0.0
20160119,77.473,77.266,81.192,75.614,372645,0.0,7.3,1.08,0.826,0.0
20160120,76.44,78.299,79.539,72.308,259806,0.0,9.36,1.34,1.033,0.0
20160121,77.06,76.44,78.506,72.515,371502,0.0,7.65,-2.37,-1.859,0.0
20160122,74.994,77.886,78.919,74.994,103924,0.0,5.13,1.89,1.446,0.0
20160125,77.473,76.44,77.473,74.168,157382,0.0,4.24,-1.86,-1.446,0.0
20160126,72.308,84.497,84.497,72.308,115234,0.0,15.95,10.54,8.057,0.0
20160127,82.845,76.853,82.845,76.44,160835,0.0,7.58,-9.05,-7.644,0.0
20160128,77.473,78.506,80.365,77.266,96050,0.0,4.03,2.15,1.653,0.0
20160129,79.332,79.126,80.572,78.713,4235,0.0,2.37,0.79,0.62,0.0
20160201,79.332,79.332,79.332,78.299,17540,0.0,1.31,0.26,0.206,0.0
20160202,78.919,77.886,78.919,77.473,4547,0.0,1.82,-1.82,-1.446,0.0
20160203,78.919,79.126,79.126,78.713,4350,0.0,0.53,1.59,1.24,0.0
20160204,80.365,80.159,80.365,80.159,680,0.0,0.26,1.31,1.033,0.0
20160205,80.779,79.746,81.812,79.746,10282,0.0,2.58,-0.52,-0.413,0.0
20160208,77.473,78.299,79.539,77.473,56101,0.0,2.59,-1.81,-1.447,0.0
20160209,79.126,78.093,79.126,78.093,1298,0.0,1.32,-0.26,-0.206,0.0
20160210,78.919,78.506,79.126,78.506,17526,0.0,0.79,0.53,0.413,0.0
20160211,72.515,78.093,78.093,72.102,91178,0.0,7.63,-0.53,-0.413,0.0
20160212,78.093,77.68,79.539,77.68,1351,0.0,2.38,-0.53,-0.413,0.0
20160216,78.506,79.539,80.985,76.853,117931,0.0,5.32,2.39,1.859,0.0
20160217,78.506,78.093,82.225,77.06,109246,0.0,6.49,-1.82,-1.446,0.0
