trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20160922,17.858,17.858,17.858,17.858,100,0.0,0.0,0.0,0.0,0.0
20160928,17.946,17.946,17.946,17.946,700,0.0,0.0,0.49,0.088,0.0
20160930,18.052,18.052,18.052,18.052,100,0.0,0.0,0.59,0.106,0.0
20161004,18.104,18.104,18.104,18.104,500,0.0,0.0,0.29,0.052,0.0
20161010,18.184,18.184,18.184,18.184,170,0.0,0.0,0.44,0.08,0.0
20161011,18.192,18.192,18.192,18.192,0,0.0,0.0,0.04,0.008,0.0
20161012,18.192,18.192,18.192,18.192,0,0.0,0.0,0.0,0.0,0.0
20161013,18.192,18.192,18.192,18.192,88,0.0,0.0,0.0,0.0,0.0
20161014,18.192,18.192,18.192,18.192,0,0.0,0.0,0.0,0.0,0.0
20161017,18.192,18.192,18.192,18.192,0,0.0,0.0,0.0,0.0,0.0
20161018,18.192,18.192,18.192,18.192,0,0.0,0.0,0.0,0.0,0.0
20161019,18.192,18.192,18.192,18.192,0,0.0,0.0,0.0,0.0,0.0
20161020,18.192,18.192,18.192,18.192,0,0.0,0.0,0.0,0.0,0.0
20161021,17.779,17.779,17.779,17.779,100,0.0,0.0,-2.27,-0.413,0.0
20161024,17.779,17.779,17.779,17.779,6,0.0,0.0,0.0,0.0,0.0
20161026,17.779,17.779,17.779,17.779,0,0.0,0.0,0.0,0.0,0.0
20161027,17.779,17.779,17.779,17.779,0,0.0,0.0,0.0,0.0,0.0
20161028,17.779,17.779,17.779,17.779,0,0.0,0.0,0.0,0.0,0.0
20161031,17.779,17.779,17.779,17.779,0,0.0,0.0,0.0,0.0,0.0
20161101,17.928,17.779,17.928,17.928,0,0.0,0.0,0.0,0.0,0.0
20161102,17.779,17.779,17.779,17.779,0,0.0,0.0,0.0,0.0,0.0
20161103,17.779,17.779,17.779,17.779,0,0.0,0.0,0.0,0.0,0.0
20161104,17.779,17.779,17.779,17.779,0,0.0,0.0,0.0,0.0,0.0
20161107,17.779,17.779,17.779,17.779,112,0.0,0.0,0.0,0.0,0.0
20161110,18.755,18.755,18.755,18.755,100,0.0,0.0,5.49,0.976,0.0
20161114,18.755,18.755,19.239,18.755,144,0.0,2.58,0.0,0.0,0.0
20161115,19.204,19.204,19.204,19.204,100,0.0,0.0,2.39,0.449,0.0
20161116,19.169,19.204,19.222,19.169,670,0.0,0.28,0.0,0.0,0.0
20161117,19.38,19.38,19.38,19.38,100,0.0,0.0,0.92,0.176,0.0
20161118,19.424,19.433,19.433,19.415,870,0.0,0.09,0.27,0.053,0.0
20161121,19.521,19.512,19.521,19.512,1000,0.0,0.05,0.41,0.079,0.0
20161122,19.547,19.529,19.547,19.529,1059,0.0,0.09,0.09,0.017,0.0
20161123,19.679,19.723,19.723,19.661,4062,0.0,0.32,0.99,0.194,0.0
20161128,19.837,19.688,19.837,19.688,694,0.0,0.76,-0.18,-0.035,0.0
20161129,19.732,19.732,19.732,19.732,198,0.0,0.0,0.22,0.044,0.0
20161130,19.855,19.855,19.864,19.846,950,0.0,0.09,0.62,0.123,0.0
20161201,20.057,20.031,20.057,20.031,400,0.0,0.13,0.89,0.176,0.0
20161202,20.084,19.864,20.084,19.864,2700,0.0,1.1,-0.83,-0.167,0.0
20161206,19.987,20.154,20.154,19.987,1040,0.0,0.84,1.46,0.29,0.0
20161207,20.286,20.691,20.7,20.286,1746,0.0,2.05,2.66,0.537,0.0
20161208,20.726,20.761,20.761,20.717,303,0.0,0.21,0.34,0.07,0.0
20161212,20.849,20.691,20.849,20.691,220,0.0,0.76,-0.34,-0.07,0.0
20161213,20.638,20.647,20.647,20.638,204,0.0,0.04,-0.21,-0.044,0.0
20161214,20.638,20.647,20.647,20.497,210,0.0,0.73,0.0,0.0,0.0
20161215,20.559,20.559,20.559,20.559,200,0.0,0.0,-0.43,-0.088,0.0
20161216,20.409,20.453,20.453,20.409,680,0.0,0.21,-0.52,-0.106,0.0
20161219,20.409,20.409,20.409,20.392,701,0.0,0.08,-0.22,-0.044,0.0
20161220,20.603,20.576,20.603,20.576,1600,0.0,0.13,0.82,0.167,0.0
20161221,20.618,20.626,20.653,20.618,10604,0.0,0.17,0.24,0.05,0.0
20161222,20.414,20.414,20.414,20.414,831,0.0,0.0,-1.03,-0.212,0.0
20161223,20.414,20.414,20.414,20.388,871,0.0,0.13,0.0,0.0,0.0
20161227,20.476,20.459,20.476,20.459,420,0.0,0.08,0.22,0.045,0.0
20161228,20.273,20.273,20.273,20.273,140,0.0,0.0,-0.91,-0.186,0.0
20161229,20.105,20.132,20.132,20.105,810,0.0,0.13,-0.7,-0.141,0.0
20161230,20.034,20.034,20.034,20.034,325,0.0,0.0,-0.49,-0.098,0.0
20170103,20.034,20.034,20.034,20.034,1100,0.0,0.0,0.0,0.0,0.0
20170104,20.034,20.034,20.229,20.034,1103,0.0,0.97,0.0,0.0,0.0
20170105,20.352,20.352,20.352,20.352,120,0.0,0.0,1.59,0.318,0.0
20170106,20.202,20.255,20.255,20.202,880,0.0,0.26,-0.48,-0.097,0.0
20170109,20.202,20.255,20.255,20.167,952,0.0,0.43,0.0,0.0,0.0
20170110,20.459,20.459,20.459,20.459,319,0.0,0.0,1.01,0.204,0.0
20170111,20.609,20.609,20.609,20.609,100,0.0,0.0,0.73,0.15,0.0
20170113,20.565,20.573,20.573,20.565,300,0.0,0.04,-0.17,-0.036,0.0
20170117,20.423,20.423,20.423,20.423,446,0.0,0.0,-0.73,-0.15,0.0
20170118,20.379,20.379,20.379,20.379,100,0.0,0.0,-0.22,-0.044,0.0
