trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,10.38,10.81,10.81,10.38,40100,0.0,0.0,0.0,0.0,0.0
20010103,10.75,11.06,11.12,10.69,37200,0.0,3.98,2.31,0.25,0.0
20010104,11.19,11.19,11.56,11.12,133200,0.0,3.98,1.18,0.13,0.0
20010105,11.19,11.06,11.19,11.06,42900,0.0,1.16,-1.16,-0.13,0.0
20010108,11.19,11.31,11.44,11.19,62100,0.0,2.26,2.26,0.25,0.0
20010109,11.38,11.5,11.5,11.31,49900,0.0,1.68,1.68,0.19,0.0
20010110,11.56,11.5,11.69,11.5,82500,0.0,1.65,0.0,0.0,0.0
20010111,11.56,11.38,11.69,11.38,85600,0.0,2.7,-1.04,-0.12,0.0
20010112,11.44,11.0,11.44,11.0,35200,0.0,3.87,-3.34,-0.38,0.0
20010116,11.12,11.31,11.38,11.06,37100,0.0,2.91,2.82,0.31,0.0
20010117,11.38,11.44,11.5,11.25,33900,0.0,2.21,1.15,0.13,0.0
20010118,11.38,11.44,11.5,11.38,11700,0.0,1.05,0.0,0.0,0.0
20010119,11.38,11.56,11.69,11.38,63300,0.0,2.71,1.05,0.12,0.0
20010122,11.62,11.44,11.62,11.44,27800,0.0,1.56,-1.04,-0.12,0.0
20010123,11.44,11.62,11.62,11.38,69800,0.0,2.1,1.57,0.18,0.0
20010124,11.56,11.44,11.62,11.44,30100,0.0,1.55,-1.55,-0.18,0.0
20010125,11.56,11.31,11.56,11.25,68700,0.0,2.71,-1.14,-0.13,0.0
20010126,11.31,11.38,11.5,11.31,45600,0.0,1.68,0.62,0.07,0.0
20010129,11.45,11.37,11.5,11.33,17600,0.0,1.49,-0.09,-0.01,0.0
20010130,11.38,11.37,11.48,11.31,57900,0.0,1.5,0.0,0.0,0.0
20010131,11.43,11.35,11.49,11.3,50400,0.0,1.67,-0.18,-0.02,0.0
20010201,11.32,11.37,11.5,11.32,52300,0.0,1.59,0.18,0.02,0.0
20010202,11.57,11.37,11.57,11.37,27900,0.0,1.76,0.0,0.0,0.0
20010205,11.27,11.38,11.38,11.26,35600,0.0,1.06,0.09,0.01,0.0
20010206,11.38,11.39,11.42,11.35,22100,0.0,0.62,0.09,0.01,0.0
20010207,11.49,11.45,11.5,11.42,18500,0.0,0.7,0.53,0.06,0.0
20010208,11.42,11.51,11.51,11.42,20600,0.0,0.79,0.52,0.06,0.0
20010209,11.53,11.5,11.55,11.45,41200,0.0,0.87,-0.09,-0.01,0.0
20010212,11.46,11.45,11.53,11.45,33800,0.0,0.7,-0.43,-0.05,0.0
20010213,11.5,11.55,11.55,11.46,52000,0.0,0.79,0.87,0.1,0.0
20010214,11.54,11.48,11.57,11.48,42800,0.0,0.78,-0.61,-0.07,0.0
20010215,11.56,11.5,11.56,11.48,44800,0.0,0.7,0.17,0.02,0.0
20010216,11.5,11.42,11.5,11.39,23300,0.0,0.96,-0.7,-0.08,0.0
20010220,11.4,11.42,11.42,11.36,17500,0.0,0.53,0.0,0.0,0.0
20010221,11.5,11.25,11.5,11.25,46300,0.0,2.19,-1.49,-0.17,0.0
20010222,11.24,11.25,11.31,11.2,52100,0.0,0.98,0.0,0.0,0.0
20010223,11.21,11.26,11.27,11.2,32600,0.0,0.62,0.09,0.01,0.0
20010226,11.27,11.25,11.3,11.24,26200,0.0,0.53,-0.09,-0.01,0.0
20010227,11.34,11.38,11.45,11.25,31300,0.0,1.78,1.16,0.13,0.0
20010228,11.43,11.43,11.5,11.38,18900,0.0,1.05,0.44,0.05,0.0
20010301,11.53,11.53,11.59,11.51,34500,0.0,0.7,0.87,0.1,0.0
20010302,11.49,11.52,11.58,11.49,16500,0.0,0.78,-0.09,-0.01,0.0
20010305,11.58,11.56,11.6,11.54,22100,0.0,0.52,0.35,0.04,0.0
20010306,11.55,11.45,11.59,11.45,30300,0.0,1.21,-0.95,-0.11,0.0
20010307,11.55,11.53,11.58,11.49,24200,0.0,0.79,0.7,0.08,0.0
20010308,11.59,11.51,11.59,11.49,18400,0.0,0.87,-0.17,-0.02,0.0
20010309,11.45,11.45,11.53,11.44,23300,0.0,0.78,-0.52,-0.06,0.0
20010312,11.5,11.52,11.52,11.43,25900,0.0,0.79,0.61,0.07,0.0
20010313,11.48,11.44,11.5,11.36,33800,0.0,1.22,-0.69,-0.08,0.0
20010314,11.27,11.6,11.6,11.25,48200,0.0,3.06,1.4,0.16,0.0
20010315,11.6,11.5,11.6,11.5,19500,0.0,0.86,-0.86,-0.1,0.0
20010316,11.49,11.44,11.53,11.42,24100,0.0,0.96,-0.52,-0.06,0.0
20010319,11.42,11.5,11.52,11.41,33100,0.0,0.96,0.52,0.06,0.0
20010320,11.53,11.61,11.62,11.45,30600,0.0,1.48,0.96,0.11,0.0
20010321,11.55,11.6,11.61,11.5,20600,0.0,0.95,-0.09,-0.01,0.0
20010322,11.57,11.54,11.58,11.45,38200,0.0,1.12,-0.52,-0.06,0.0
20010323,11.55,11.6,11.64,11.54,33700,0.0,0.87,0.52,0.06,0.0
20010326,11.57,11.5,11.6,11.5,44000,0.0,0.86,-0.86,-0.1,0.0
20010327,11.55,11.34,11.58,11.33,28600,0.0,2.17,-1.39,-0.16,0.0
20010328,11.33,11.42,11.43,11.33,26000,0.0,0.88,0.71,0.08,0.0
20010329,11.44,11.39,11.45,11.38,21500,0.0,0.61,-0.26,-0.03,0.0
20010330,11.49,11.51,11.51,11.41,27500,0.0,0.88,1.05,0.12,0.0
20010402,11.42,11.53,11.7,11.42,74800,0.0,2.43,0.17,0.02,0.0
20010403,11.55,11.53,11.59,11.51,14600,0.0,0.69,0.0,0.0,0.0
20010404,11.49,11.42,11.55,11.42,36600,0.0,1.13,-0.95,-0.11,0.0
20010405,11.45,11.45,11.5,11.43,16400,0.0,0.61,0.26,0.03,0.0
20010406,11.5,11.45,11.52,11.4,12500,0.0,1.05,0.0,0.0,0.0
20010409,11.39,11.4,11.45,11.36,43000,0.0,0.79,-0.44,-0.05,0.0
20010410,11.35,11.44,11.47,11.34,23600,0.0,1.14,0.35,0.04,0.0
20010411,11.28,11.17,11.35,11.17,23600,0.0,1.57,-2.36,-0.27,0.0
20010412,11.2,11.1,11.25,11.1,19100,0.0,1.34,-0.63,-0.07,0.0
20010416,11.09,11.07,11.21,11.0,51700,0.0,1.89,-0.27,-0.03,0.0
20010417,11.07,11.06,11.1,11.04,35700,0.0,0.54,-0.09,-0.01,0.0
20010418,11.1,11.09,11.18,11.02,47600,0.0,1.45,0.27,0.03,0.0
20010419,11.09,11.08,11.18,11.06,45400,0.0,1.08,-0.09,-0.01,0.0
20010420,11.12,11.2,11.2,11.08,22000,0.0,1.08,1.08,0.12,0.0
20010423,11.21,11.3,11.3,11.17,25700,0.0,1.16,0.89,0.1,0.0
