trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-10.943,-10.883,-10.883,-11.073,16700,0.0,0.0,0.0,0.0,0.1
20010103,-10.823,-10.763,-10.703,-11.013,36800,0.0,-2.85,1.1,0.12,0.21
20010104,-10.763,-10.513,-10.383,-10.823,70700,0.0,-4.09,2.32,0.25,0.41
20010105,-10.513,-10.633,-10.443,-10.703,19500,0.0,-2.47,-1.14,-0.12,0.11
20010108,-10.703,-10.703,-10.703,-10.943,33800,0.0,-2.26,-0.66,-0.07,0.2
20010109,-10.633,-10.323,-10.323,-10.633,16700,0.0,-2.9,3.55,0.38,0.1
20010110,-10.383,-10.323,-10.323,-10.443,30900,0.0,-1.16,0.0,0.0,0.18
20010111,-10.323,-10.383,-10.323,-10.383,10600,0.0,-0.58,-0.58,-0.06,0.06
20010112,-10.323,-10.323,-10.263,-10.443,12200,0.0,-1.73,0.58,0.06,0.07
20010116,-10.263,-10.203,-10.203,-10.323,27300,0.0,-1.16,1.16,0.12,0.16
20010117,-10.203,-10.073,-10.073,-10.203,17700,0.0,-1.27,1.27,0.13,0.1
20010118,-10.073,-10.073,-10.073,-10.133,6800,0.0,-0.6,0.0,0.0,0.04
20010119,-10.133,-10.443,-10.073,-10.513,40600,0.0,-4.37,-3.67,-0.37,0.24
20010122,-10.323,-10.133,-10.133,-10.323,26600,0.0,-1.82,2.97,0.31,0.16
20010123,-10.073,-9.763,-9.763,-10.133,25400,0.0,-3.65,3.65,0.37,0.15
20010124,-9.763,-9.573,-9.513,-9.883,22500,0.0,-3.79,1.95,0.19,0.13
20010125,-9.513,-9.823,-9.383,-9.823,15900,0.0,-4.6,-2.61,-0.25,0.09
20010126,-9.763,-9.703,-9.703,-9.763,23600,0.0,-0.61,1.22,0.12,0.14
20010129,-9.713,-9.463,-9.463,-9.763,26300,0.0,-3.09,2.47,0.24,0.15
20010130,-9.463,-9.213,-9.213,-9.463,13500,0.0,-2.64,2.64,0.25,0.08
20010131,-9.263,-9.713,-9.163,-9.763,27100,0.0,-6.51,-5.43,-0.5,0.16
20010201,-9.713,-9.713,-9.613,-9.833,21100,0.0,-2.27,0.0,0.0,0.12
20010202,-9.763,-9.813,-9.563,-9.833,19500,0.0,-2.78,-1.03,-0.1,0.11
20010205,-9.913,-10.263,-9.913,-10.263,53300,0.0,-3.57,-4.59,-0.45,0.31
20010206,-10.213,-10.113,-10.113,-10.263,16700,0.0,-1.46,1.46,0.15,0.1
20010207,-10.213,-9.963,-9.963,-10.213,24000,0.0,-2.47,1.48,0.15,0.14
20010208,-9.913,-9.963,-9.813,-10.013,15300,0.0,-2.01,0.0,0.0,0.09
20010209,-9.913,-9.793,-9.763,-9.963,24900,0.0,-2.01,1.71,0.17,0.15
20010212,-9.793,-9.793,-9.713,-9.813,17900,0.0,-1.02,0.0,0.0,0.1
20010213,-9.763,-9.863,-9.763,-9.963,17300,0.0,-2.04,-0.71,-0.07,0.1
20010214,-9.863,-9.793,-9.763,-9.913,8400,0.0,-1.52,0.71,0.07,0.05
20010215,-9.713,-9.713,-9.563,-9.763,30600,0.0,-2.04,0.82,0.08,0.18
20010216,-9.713,-9.513,-9.463,-9.713,19000,0.0,-2.57,2.06,0.2,0.11
20010220,-9.473,-9.713,-9.413,-9.713,24800,0.0,-3.15,-2.1,-0.2,0.14
20010221,-9.813,-9.713,-9.613,-9.813,15600,0.0,-2.06,0.0,0.0,0.09
20010222,-9.663,-9.813,-9.663,-9.843,5600,0.0,-1.85,-1.03,-0.1,0.03
20010223,-9.863,-9.663,-9.553,-9.863,24300,0.0,-3.16,1.53,0.15,0.14
20010226,-9.613,-9.513,-9.433,-9.613,16600,0.0,-1.86,1.55,0.15,0.1
20010227,-9.563,-9.813,-9.563,-9.813,10900,0.0,-2.63,-3.15,-0.3,0.06
20010228,-9.813,-9.613,-9.563,-9.813,10200,0.0,-2.55,2.04,0.2,0.06
20010301,-9.613,-9.663,-9.513,-9.663,10800,0.0,-1.56,-0.52,-0.05,0.06
20010302,-9.613,-9.543,-9.423,-9.613,26800,0.0,-1.97,1.24,0.12,0.16
20010305,-9.543,-9.813,-9.523,-9.813,14000,0.0,-3.04,-2.83,-0.27,0.08
20010306,-9.813,-9.913,-9.683,-9.983,13600,0.0,-3.06,-1.02,-0.1,0.08
20010307,-9.913,-9.743,-9.653,-9.913,13400,0.0,-2.62,1.71,0.17,0.08
20010308,-9.663,-9.513,-9.513,-9.713,23000,0.0,-2.05,2.36,0.23,0.13
20010309,-9.513,-9.463,-9.413,-9.513,27100,0.0,-1.05,0.53,0.05,0.16
20010312,-9.433,-9.563,-9.433,-9.593,43800,0.0,-1.69,-1.06,-0.1,0.26
20010313,-9.563,-9.543,-9.513,-9.663,23200,0.0,-1.57,0.21,0.02,0.14
20010314,-9.563,-9.683,-9.523,-9.683,8400,0.0,-1.68,-1.47,-0.14,0.05
20010315,-9.683,-9.563,-9.513,-9.683,45900,0.0,-1.76,1.24,0.12,0.26
20010316,-9.563,-9.613,-9.563,-9.633,18400,0.0,-0.73,-0.52,-0.05,0.1
20010319,-9.713,-9.513,-9.513,-9.763,45100,0.0,-2.6,1.04,0.1,0.26
20010320,-9.513,-9.663,-9.403,-9.663,47600,0.0,-2.73,-1.58,-0.15,0.27
20010321,-9.713,-9.813,-9.663,-9.863,8400,0.0,-2.07,-1.55,-0.15,0.05
20010322,-9.763,-9.713,-9.663,-9.863,17800,0.0,-2.04,1.02,0.1,0.1
20010323,-9.663,-9.713,-9.533,-9.813,12900,0.0,-2.88,0.0,0.0,0.07
20010326,-9.713,-9.713,-9.663,-9.813,15500,0.0,-1.54,0.0,0.0,0.09
20010327,-9.763,-9.533,-9.533,-9.763,15000,0.0,-2.37,1.85,0.18,0.09
20010328,-9.613,-9.613,-9.533,-9.633,13700,0.0,-1.05,-0.84,-0.08,0.08
20010329,-9.613,-9.613,-9.523,-9.633,7500,0.0,-1.14,0.0,0.0,0.04
20010330,-9.563,-9.613,-9.563,-9.663,35500,0.0,-1.04,0.0,0.0,0.2
20010402,-9.623,-9.663,-9.613,-9.713,25900,0.0,-1.04,-0.52,-0.05,0.15
20010403,-9.713,-9.713,-9.613,-9.713,5200,0.0,-1.03,-0.52,-0.05,0.03
20010404,-9.713,-9.703,-9.663,-9.763,7200,0.0,-1.03,0.1,0.01,0.04
20010405,-9.713,-9.613,-9.613,-9.713,29100,0.0,-1.03,0.93,0.09,0.17
20010406,-9.643,-9.733,-9.643,-9.763,17600,0.0,-1.25,-1.25,-0.12,0.1
20010409,-9.713,-9.613,-9.613,-9.733,8700,0.0,-1.23,1.23,0.12,0.05
20010410,-9.613,-9.363,-9.353,-9.663,21800,0.0,-3.22,2.6,0.25,0.12
20010411,-9.363,-9.393,-9.363,-9.563,24300,0.0,-2.14,-0.32,-0.03,0.14
20010412,-9.363,-9.413,-9.323,-9.463,21900,0.0,-1.49,-0.21,-0.02,0.12
20010416,-9.333,-9.463,-9.333,-9.513,20500,0.0,-1.91,-0.53,-0.05,0.12
20010417,-9.463,-9.463,-9.263,-9.513,27900,0.0,-2.64,0.0,0.0,0.16
20010418,-9.413,-9.343,-9.303,-9.513,38500,0.0,-2.22,1.27,0.12,0.22
20010419,-9.363,-9.103,-9.063,-9.363,19200,0.0,-3.21,2.57,0.24,0.11
20010420,-9.103,-9.213,-9.063,-9.313,11100,0.0,-2.75,-1.21,-0.11,0.06
20010423,-9.213,-9.413,-9.163,-9.413,41500,0.0,-2.71,-2.17,-0.2,0.24
20010424,-9.363,-9.213,-9.163,-9.363,46300,0.0,-2.12,2.12,0.2,0.26
20010425,-9.263,-9.053,-9.033,-9.363,51700,0.0,-3.58,1.74,0.16,0.29
20010426,-9.043,-9.113,-9.013,-9.113,17900,0.0,-1.1,-0.66,-0.06,0.1
20010427,-9.093,-9.093,-8.993,-9.143,20300,0.0,-1.65,0.22,0.02,0.12
20010430,-9.343,-9.293,-9.143,-9.343,29900,0.0,-2.2,-2.2,-0.2,0.17
20010501,-9.243,-9.023,-8.993,-9.343,23100,0.0,-3.77,2.91,0.27,0.13
20010502,-9.123,-8.943,-8.873,-9.123,18000,0.0,-2.77,0.89,0.08,0.1
20010503,-8.893,-8.993,-8.893,-9.043,11100,0.0,-1.68,-0.56,-0.05,0.06
20010504,-8.993,-8.943,-8.943,-9.043,19800,0.0,-1.11,0.56,0.05,0.11
20010507,-8.943,-9.043,-8.943,-9.043,6900,0.0,-1.12,-1.12,-0.1,0.04
20010508,-9.143,-9.103,-9.043,-9.383,48000,0.0,-3.76,-0.66,-0.06,0.27
20010509,-9.143,-9.343,-9.063,-9.343,110500,0.0,-3.08,-2.64,-0.24,0.63
