trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240701,25.0,24.95,25.1,24.9,42512,1061245.0,0.8,-0.2,-0.05,0.0
20240702,25.0,25.06,25.1,24.85,133475,3329870.0,1.0,0.44,0.11,0.0
20240703,25.0,25.016,25.03,24.975,25646,641236.0,0.22,-0.18,-0.044,0.0
20240705,25.0,25.09,25.2,25.0,43745,1097914.0,0.8,0.3,0.074,0.0
20240708,25.1,25.03,25.1,25.0,41260,1033314.0,0.4,-0.24,-0.06,0.0
20240709,25.03,24.99,25.03,24.99,16640,416115.0,0.16,-0.16,-0.04,0.0
20240710,25.05,25.0,25.25,24.98,43455,1088979.0,1.08,0.04,0.01,0.0
20240711,25.0,24.999,25.04,24.986,18970,474625.0,0.22,0.0,-0.001,0.0
20240712,25.0,25.0,25.02,24.99,10432,260809.0,0.12,0.0,0.001,0.0
20240715,25.02,25.1,25.2,25.01,55808,1399810.0,0.76,0.4,0.1,0.0
20240716,25.14,25.1,25.14,25.05,47943,1203872.0,0.36,0.0,0.0,0.0
20240717,25.08,25.107,25.14,25.07,13658,343024.0,0.28,0.03,0.007,0.0
20240718,25.14,25.12,25.25,25.12,11230,282729.0,0.52,0.05,0.013,0.0
20240719,25.17,25.15,25.35,25.14,13791,347335.0,0.84,0.12,0.03,0.0
20240722,25.15,25.13,25.19,25.08,11008,276770.0,0.44,-0.08,-0.02,0.0
20240723,25.081,25.13,25.15,25.08,10282,258315.0,0.28,0.0,0.0,0.0
20240724,25.16,25.08,25.16,25.05,18038,452492.0,0.44,-0.2,-0.05,0.0
20240725,25.12,25.1,25.13,25.05,12318,309058.0,0.32,0.08,0.02,0.0
20240726,25.11,25.06,25.25,25.06,7461,187316.0,0.76,-0.16,-0.04,0.0
20240729,25.2,25.09,25.2,25.011,25442,637566.0,0.75,0.12,0.03,0.0
20240730,25.15,25.06,25.15,24.95,18956,474591.0,0.8,-0.12,-0.03,0.0
20240731,25.1,25.07,25.15,25.0,6702,168002.0,0.6,0.04,0.01,0.0
20240801,25.285,25.1,25.285,25.05,18557,465655.0,0.94,0.12,0.03,0.0
20240802,25.12,25.01,25.134,24.97,12761,319444.0,0.65,-0.36,-0.09,0.0
20240805,25.09,24.97,25.1,24.93,21683,541608.0,0.68,-0.16,-0.04,0.0
20240806,24.99,24.96,25.14,24.93,12375,309084.0,0.84,-0.04,-0.01,0.0
20240807,24.93,24.6,24.98,24.6,184698,4573679.0,1.52,-1.44,-0.36,0.0
20240808,24.68,24.73,24.74,24.65,19390,479062.0,0.37,0.53,0.13,0.0
20240809,24.65,24.75,24.79,24.65,10642,262892.0,0.57,0.08,0.02,0.0
20240812,24.75,24.78,24.88,24.75,11541,286782.0,0.53,0.12,0.03,0.0
20240813,24.89,24.9,24.922,24.84,24864,618820.0,0.33,0.48,0.12,0.0
20240814,25.1,24.935,25.1,24.85,13263,330810.0,1.0,0.14,0.035,0.0
20240815,24.95,24.866,25.02,24.83,12622,313944.0,0.76,-0.28,-0.069,0.0
