trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20201230,20.309,20.309,20.329,20.309,125225,2545822.0,0.0,0.0,0.0,0.0
20201231,20.359,20.389,20.389,20.359,150,3053.0,0.15,0.39,0.08,0.0
20210104,20.309,20.199,20.309,20.199,105,2132.0,0.54,-0.93,-0.19,0.0
20210106,20.449,20.349,20.449,20.349,101,2065.0,0.5,0.74,0.15,0.0
20210107,20.579,20.539,20.579,20.539,156,3210.0,0.2,0.93,0.19,0.0
20210111,20.479,20.479,20.479,20.479,2,40.0,0.0,-0.29,-0.06,0.0
20210112,20.519,20.519,20.519,20.519,29,594.0,0.0,0.2,0.04,0.0
20210113,20.579,20.539,20.579,20.539,119,2449.0,0.19,0.1,0.02,0.0
20210114,20.489,20.489,20.489,20.489,17,348.0,0.0,-0.24,-0.05,0.0
20210115,20.429,20.409,20.509,20.409,5800,118815.0,0.49,-0.39,-0.08,0.0
20210119,20.509,20.509,20.509,20.509,3,61.0,0.0,0.49,0.1,0.0
20210121,20.729,20.659,20.729,20.659,1709,35409.0,0.34,0.73,0.15,0.0
20210122,20.689,20.649,20.689,20.649,701,14503.0,0.19,-0.05,-0.01,0.0
20210126,20.729,20.629,20.729,20.629,9004,186268.0,0.48,-0.1,-0.02,0.0
20210127,20.279,20.279,20.279,20.279,1,20.0,0.0,-1.7,-0.35,0.0
20210128,20.539,20.429,20.679,20.429,14147,291065.0,1.23,0.74,0.15,0.0
20210129,20.349,20.249,20.349,20.249,1325,26963.0,0.49,-0.88,-0.18,0.0
20210201,20.359,20.409,20.459,20.359,1000,20422.0,0.49,0.79,0.16,0.0
20210202,20.579,20.559,20.639,20.559,5078,104674.0,0.39,0.73,0.15,0.0
20210203,20.589,20.589,20.589,20.589,18,370.0,0.0,0.15,0.03,0.0
20210204,20.729,20.689,20.729,20.689,1168,24210.0,0.19,0.49,0.1,0.0
20210205,20.722,20.722,20.722,20.722,37,766.0,0.0,0.16,0.033,0.0
20210208,20.819,20.79,20.829,20.699,5030,104699.0,0.63,0.33,0.068,0.0
20210209,20.839,20.78,20.839,20.78,4523,94259.0,0.28,-0.05,-0.01,0.0
20210210,20.843,20.757,20.878,20.757,5906,123096.0,0.58,-0.11,-0.023,0.0
20210211,20.774,20.786,20.788,20.774,586,12177.0,0.07,0.14,0.029,0.0
20210212,20.799,20.839,20.839,20.799,327,6801.0,0.19,0.25,0.053,0.0
20210216,20.909,20.836,20.909,20.823,3098,64642.0,0.41,-0.01,-0.003,0.0
20210217,20.839,20.819,20.839,20.819,1547,32236.0,0.1,-0.08,-0.017,0.0
20210218,20.796,20.778,20.796,20.778,1007,20942.0,0.09,-0.2,-0.041,0.0
20210219,20.856,20.781,20.856,20.781,997,20777.0,0.36,0.01,0.003,0.0
20210222,20.773,20.729,20.807,20.729,524,10898.0,0.38,-0.25,-0.052,0.0
20210223,20.649,20.739,20.739,20.599,2982,61583.0,0.68,0.05,0.01,0.0
20210224,20.839,20.855,20.889,20.829,5677,118420.0,0.29,0.56,0.116,0.0
20210225,20.779,20.583,20.779,20.583,2403,49766.0,0.94,-1.3,-0.272,0.0
20210226,20.656,20.584,20.656,20.584,587,12125.0,0.35,0.0,0.001,0.0
20210301,20.804,20.804,20.804,20.804,4,83.0,0.0,1.07,0.22,0.0
20210302,20.759,20.745,20.849,20.745,5497,114323.0,0.5,-0.28,-0.059,0.0
20210303,20.679,20.63,20.722,20.63,3519,72847.0,0.44,-0.55,-0.115,0.0
20210304,20.589,20.427,20.669,20.427,1939,39825.0,1.17,-0.98,-0.203,0.0
20210309,20.869,20.78,20.889,20.78,2313,48200.0,0.53,1.73,0.353,0.0
20210310,20.838,20.838,20.838,20.838,2,41.0,0.0,0.28,0.058,0.0
20210311,20.959,20.929,20.999,20.929,746,15652.0,0.34,0.44,0.091,0.0
20210312,20.929,20.939,20.939,20.919,1154,24160.0,0.1,0.05,0.01,0.0
20210315,20.929,20.934,20.934,20.929,207,4332.0,0.02,-0.02,-0.005,0.0
20210316,20.979,21.009,21.079,20.979,2191,46076.0,0.48,0.36,0.075,0.0
