trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240808,50.711,50.711,50.711,50.711,7,357.0,0.0,0.0,0.0,0.0
20240809,50.898,50.898,50.898,50.898,55,2822.0,0.0,0.37,0.187,0.0
20240812,50.478,50.478,50.478,50.478,1,50.0,0.0,-0.83,-0.42,0.0
20240813,51.299,51.299,51.299,51.299,25,1293.0,0.0,1.63,0.821,0.0
20240814,51.079,51.079,51.079,51.079,48,2472.0,0.0,-0.43,-0.22,0.0
20240816,52.446,52.446,52.446,52.446,1,52.0,0.0,2.68,1.367,0.0
20240819,52.883,52.971,52.971,52.883,409,21807.0,0.17,1.0,0.525,0.0
20240820,52.526,52.504,52.526,52.504,100,5296.0,0.04,-0.88,-0.467,0.0
20240821,53.267,53.267,53.267,53.267,10,537.0,0.0,1.45,0.763,0.0
20240822,52.983,52.853,52.983,52.853,232,12393.0,0.24,-0.78,-0.414,0.0
20240823,54.451,54.451,54.451,54.451,22,1207.0,0.0,3.02,1.598,0.0
20240826,54.384,54.384,54.384,54.384,49,2686.0,0.0,-0.12,-0.067,0.0
20240827,54.14,54.14,54.14,54.14,70,3821.0,0.0,-0.45,-0.244,0.0
20240828,53.813,53.813,53.813,53.813,91,4937.0,0.0,-0.6,-0.327,0.0
20240829,54.246,54.246,54.246,54.246,134,7328.0,0.0,0.8,0.433,0.0
20240830,54.64,54.64,54.64,54.64,30,1652.0,0.0,0.73,0.394,0.0
20240903,53.265,53.265,53.265,53.265,26,1396.0,0.0,-2.52,-1.375,0.0
20240904,53.093,53.093,53.093,53.093,22,1177.0,0.0,-0.32,-0.172,0.0
20240905,52.538,52.538,52.538,52.538,46,2436.0,0.0,-1.05,-0.555,0.0
20240906,52.814,51.592,52.814,51.592,165,8786.0,2.33,-1.8,-0.946,0.0
20240910,51.84,51.84,51.84,51.84,10,522.0,0.0,0.48,0.248,0.0
20240911,51.94,51.94,51.94,51.94,64,3351.0,0.0,0.19,0.1,0.0
20240913,53.646,53.646,53.646,53.646,45,2434.0,0.0,3.28,1.706,0.0
20240917,54.411,54.139,54.411,54.093,200,10940.0,0.59,0.92,0.493,0.0
20240918,54.086,54.086,54.086,54.086,26,1417.0,0.0,-0.1,-0.053,0.0
20240920,54.551,54.551,54.551,54.551,2,110.0,0.0,0.86,0.465,0.0
20240923,54.271,54.271,54.271,54.271,11,601.0,0.0,-0.51,-0.28,0.0
20240925,53.677,53.677,53.677,53.677,12,648.0,0.0,-1.09,-0.594,0.0
20240926,54.101,54.101,54.101,54.101,1,54.0,0.0,0.79,0.424,0.0
20240927,54.399,54.399,54.399,54.399,20,1096.0,0.0,0.55,0.298,0.0
20240930,54.487,54.487,54.487,54.487,11,603.0,0.0,0.16,0.088,0.0
