trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20171103,17.424,17.407,17.424,17.398,401,7988.0,0.0,0.0,0.0,0.0
20171106,17.398,17.398,17.398,17.398,1050,20909.0,0.0,-0.05,-0.009,0.0
20171107,17.398,17.398,17.398,17.398,0,0.0,0.0,0.0,0.0,0.0
20171108,17.302,17.311,17.311,17.302,650,12871.0,0.05,-0.5,-0.087,0.0
20171109,17.25,17.25,17.25,17.145,1337,26377.0,0.61,-0.35,-0.061,0.0
20171110,17.276,17.25,17.276,17.241,1300,25659.0,0.2,0.0,0.0,0.0
20171113,17.25,17.25,17.25,17.25,200,3938.0,0.0,0.0,0.0,0.0
20171114,17.25,17.25,17.25,17.25,0,0.0,0.0,0.0,0.0,0.0
20171115,17.25,17.223,17.258,17.223,1400,27639.0,0.2,-0.16,-0.027,0.0
20171116,17.223,17.223,17.223,17.223,50,0.0,0.0,0.0,0.0,0.0
20171117,17.389,17.468,17.468,17.389,645,12880.0,0.46,1.42,0.245,0.0
20171120,17.547,17.564,17.564,17.529,13400,269052.0,0.2,0.55,0.096,0.0
20171121,17.547,17.564,17.564,17.529,13499,0.0,0.2,0.0,0.0,0.0
20171122,17.625,17.625,17.625,17.625,3598,72571.0,0.0,0.35,0.061,0.0
20171124,17.625,17.625,17.625,17.625,0,0.0,0.0,0.0,0.0,0.0
20171127,17.625,17.625,17.625,17.625,0,0.0,0.0,0.0,0.0,0.0
20171128,17.818,17.809,17.818,17.809,1150,23447.0,0.05,1.04,0.184,0.0
20171129,18.272,18.272,18.272,18.272,400,8363.0,0.0,2.6,0.463,0.0
20171130,18.316,18.316,18.316,18.316,100,2095.0,0.0,0.24,0.044,0.0
20171201,18.01,18.316,18.316,18.01,900,18549.0,1.67,0.0,0.0,0.0
20171204,18.316,18.316,18.316,18.316,0,0.0,0.0,0.0,0.0,0.0
20171205,18.15,18.176,18.176,18.15,11300,234767.0,0.14,-0.76,-0.14,0.0
20171206,18.176,18.176,18.176,18.176,0,0.0,0.0,0.0,0.0,0.0
20171207,18.176,18.176,18.176,18.176,0,0.0,0.0,0.0,0.0,0.0
20171208,18.097,18.132,18.132,18.089,1190,24652.0,0.24,-0.24,-0.044,0.0
20171211,18.054,18.045,18.054,18.045,668,13798.0,0.05,-0.48,-0.087,0.0
20171212,18.115,18.141,18.141,18.115,3300,68473.0,0.14,0.53,0.096,0.0
20171213,18.141,18.141,18.141,18.141,0,0.0,0.0,0.0,0.0,0.0
20171214,17.826,17.826,17.826,17.826,600,12240.0,0.0,-1.74,-0.315,0.0
20171215,17.826,17.826,17.826,17.826,18,0.0,0.0,0.0,0.0,0.0
20171218,18.298,18.22,18.298,18.22,1724,36100.0,0.44,2.21,0.394,0.0
20171219,18.255,18.228,18.255,18.228,802,16750.0,0.15,0.04,0.008,0.0
20171220,18.228,18.228,18.228,18.228,0,0.0,0.0,0.0,0.0,0.0
20171221,18.282,18.282,18.282,18.282,0,0.0,0.0,0.3,0.054,0.0
20171222,18.308,18.282,18.308,18.282,827,0.0,0.14,0.0,0.0,0.0
20171226,18.282,18.282,18.282,18.282,0,0.0,0.0,0.0,0.0,0.0
