trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20171017,30.202,30.145,30.202,30.081,119418,4455976.0,0.0,0.0,0.0,0.0
20171018,30.242,30.161,30.242,30.113,93498,3493829.0,0.43,0.05,0.016,0.0
20171019,29.935,29.976,29.976,29.814,79322,2937826.0,0.54,-0.61,-0.185,0.0
20171020,30.073,30.024,30.089,29.976,96370,3585767.0,0.38,0.16,0.048,0.0
20171023,30.016,29.846,30.016,29.806,582805,21571105.0,0.7,-0.59,-0.178,0.0
20171024,29.927,29.895,29.992,29.806,744835,27583437.0,0.62,0.16,0.049,0.0
20171025,29.943,29.757,30.008,29.58,125114,4610220.0,1.43,-0.46,-0.138,0.0
20171026,29.895,29.644,29.895,29.604,93414,3441890.0,0.98,-0.38,-0.113,0.0
20171027,29.798,29.959,29.984,29.644,235880,8708685.0,1.15,1.06,0.315,0.0
20171030,29.903,29.838,29.943,29.774,181535,6705104.0,0.56,-0.4,-0.121,0.0
20171031,29.935,29.984,29.984,29.863,267279,9908821.0,0.41,0.49,0.146,0.0
20171101,30.218,30.048,30.234,30.032,193704,7219299.0,0.67,0.21,0.064,0.0
20171102,30.169,30.129,30.178,30.0,230776,8594613.0,0.59,0.27,0.081,0.0
20171103,30.137,29.984,30.137,29.83,279254,10367773.0,1.02,-0.48,-0.145,0.0
20171106,30.137,30.291,30.323,30.089,100593,3768451.0,0.78,1.02,0.307,0.0
20171107,30.379,30.089,30.379,30.081,129910,4849359.0,0.98,-0.67,-0.202,0.0
20171108,30.226,30.25,30.283,30.137,1353396,50584540.0,0.49,0.54,0.161,0.0
20171109,30.113,30.073,30.145,29.911,757934,28212744.0,0.77,-0.59,-0.177,0.0
20171110,30.121,30.032,30.121,29.968,152309,5658994.0,0.51,-0.14,-0.041,0.0
20171113,29.895,29.984,30.008,29.879,95075,3526672.0,0.43,-0.16,-0.048,0.0
20171114,29.903,29.749,29.903,29.693,145227,5349536.0,0.7,-0.78,-0.235,0.0
20171115,29.628,29.612,29.652,29.451,147800,5414226.0,0.68,-0.46,-0.137,0.0
20171116,29.943,30.097,30.145,29.927,190651,7093618.0,0.74,1.64,0.485,0.0
20171117,30.178,30.291,30.339,30.153,240932,9026172.0,0.62,0.64,0.194,0.0
20171120,30.266,30.404,30.404,30.218,234817,8816349.0,0.61,0.37,0.113,0.0
20171121,30.703,30.791,30.856,30.686,246678,9406299.0,0.56,1.27,0.387,0.0
20171122,30.848,30.808,30.88,30.759,407653,15559196.0,0.39,0.06,0.017,0.0
20171124,30.719,30.735,30.791,30.703,70198,2671587.0,0.29,-0.24,-0.073,0.0
20171127,30.654,30.484,30.654,30.428,289237,10922321.0,0.74,-0.82,-0.251,0.0
20171128,30.622,30.686,30.719,30.501,402314,15270889.0,0.72,0.66,0.202,0.0
20171129,30.501,30.194,30.501,30.089,207107,7748702.0,1.34,-1.6,-0.492,0.0
20171130,30.129,30.048,30.129,30.0,412094,15336707.0,0.43,-0.48,-0.146,0.0
20171201,29.903,29.814,29.903,29.62,288989,10661516.0,0.94,-0.78,-0.234,0.0
20171204,30.113,29.854,30.113,29.814,169428,6281378.0,1.0,0.13,0.04,0.0
20171205,29.854,29.798,29.976,29.766,505725,18700999.0,0.7,-0.19,-0.056,0.0
20171206,29.402,29.483,29.499,29.281,256696,9346547.0,0.73,-1.06,-0.315,0.0
20171207,29.354,29.523,29.539,29.321,170339,6217379.0,0.74,0.14,0.04,0.0
20171208,29.814,29.806,29.822,29.685,490625,18088541.0,0.46,0.96,0.283,0.0
20171211,29.927,29.992,30.016,29.903,259860,9649987.0,0.38,0.62,0.186,0.0
20171212,29.725,29.806,29.838,29.661,545890,20107708.0,0.59,-0.62,-0.186,0.0
20171213,29.959,30.089,30.161,29.943,468233,17458144.0,0.73,0.95,0.283,0.0
20171214,30.008,29.911,30.056,29.903,815924,30259710.0,0.51,-0.59,-0.178,0.0
20171215,29.931,29.988,30.029,29.817,263498,9708763.0,0.71,0.26,0.077,0.0
20171218,30.241,30.273,30.387,30.216,1874896,69840327.0,0.57,0.95,0.285,0.0
20171219,30.371,30.159,30.371,30.151,195617,7263006.0,0.73,-0.38,-0.114,0.0
20171220,30.371,30.297,30.379,30.257,195062,7270029.0,0.4,0.46,0.138,0.0
20171221,30.477,30.558,30.647,30.444,346783,13033582.0,0.67,0.86,0.261,0.0
20171222,30.68,30.761,30.761,30.607,346426,13064905.0,0.5,0.66,0.203,0.0
20171226,30.745,30.778,30.778,30.566,187555,7074572.0,0.69,0.06,0.017,0.0
20171227,30.786,30.778,30.835,30.729,282130,10671428.0,0.34,0.0,0.0,0.0
20171228,30.997,30.94,31.014,30.892,245915,9354854.0,0.4,0.53,0.162,0.0
20171229,31.152,31.046,31.225,31.046,337962,12947866.0,0.58,0.34,0.106,0.0
20180102,31.583,31.738,31.746,31.518,381811,14861410.0,0.73,2.23,0.692,0.0
20180103,31.86,31.949,32.015,31.836,782600,30694882.0,0.56,0.66,0.211,0.0
20180104,32.112,32.153,32.202,32.088,505014,19946038.0,0.36,0.64,0.204,0.0
20180105,32.202,32.413,32.413,32.169,650331,30581613.0,0.76,0.81,0.26,0.0
20180108,32.324,32.438,32.462,32.308,247224,9848953.0,0.48,0.08,0.025,0.0
20180109,32.421,32.389,32.421,32.251,1106359,44022386.0,0.52,-0.15,-0.049,0.0
20180110,32.218,32.226,32.308,32.129,1159866,45925959.0,0.55,-0.5,-0.163,0.0
20180111,32.21,32.446,32.446,32.21,706648,28085403.0,0.73,0.68,0.22,0.0
20180112,32.495,32.747,32.747,32.446,573001,23008911.0,0.93,0.93,0.301,0.0
20180116,32.837,32.592,32.934,32.568,765378,30815975.0,1.12,-0.47,-0.155,0.0
20180117,32.926,33.089,33.17,32.861,676145,27501749.0,0.95,1.52,0.497,0.0
20180118,33.105,33.138,33.219,33.081,2009069,81809050.0,0.42,0.15,0.049,0.0
20180119,33.357,33.439,33.455,33.235,615392,25241834.0,0.66,0.91,0.301,0.0
20180122,33.512,33.707,33.715,33.447,415840,17170039.0,0.8,0.8,0.268,0.0
20180123,33.683,33.821,33.846,33.626,263161,10918561.0,0.65,0.34,0.114,0.0
20180124,34.033,34.163,34.204,33.919,650627,27285038.0,0.84,1.01,0.342,0.0
20180125,34.114,34.073,34.35,33.96,257577,10822756.0,1.14,-0.26,-0.09,0.0
20180126,34.326,34.545,34.562,34.228,311329,13175122.0,0.98,1.39,0.472,0.0
20180129,34.106,34.065,34.13,33.96,363652,15218615.0,0.49,-1.39,-0.48,0.0
20180130,33.683,33.561,33.699,33.439,308539,12727524.0,0.76,-1.48,-0.504,0.0
20180131,33.96,33.821,34.017,33.642,415940,17280673.0,1.12,0.77,0.26,0.0
20180201,33.577,33.536,33.764,33.488,493077,20360703.0,0.82,-0.84,-0.285,0.0
20180202,33.333,32.828,33.341,32.796,450930,18329084.0,1.63,-2.11,-0.708,0.0
20180205,32.78,31.827,33.064,31.779,555627,22197368.0,3.91,-3.05,-1.001,0.0
20180206,31.73,32.657,32.902,31.616,2213317,88193139.0,4.04,2.61,0.83,0.0
20180207,32.34,31.746,32.413,31.73,608733,23963505.0,2.09,-2.79,-0.911,0.0
20180208,31.884,30.647,31.884,30.647,345443,13184772.0,3.9,-3.46,-1.099,0.0
20180209,31.071,31.119,31.315,30.232,430803,16344035.0,3.53,1.54,0.472,0.0
20180212,31.469,31.575,31.762,31.307,268128,10405453.0,1.46,1.47,0.456,0.0
20180213,31.608,31.787,31.852,31.502,390707,15216230.0,1.11,0.67,0.212,0.0
20180214,31.657,32.495,32.568,31.657,287762,11441250.0,2.87,2.23,0.708,0.0
20180215,32.991,33.032,33.113,32.584,321342,12986537.0,1.63,1.65,0.537,0.0
20180216,32.788,32.926,33.162,32.788,519221,21018181.0,1.13,-0.32,-0.106,0.0
20180220,32.519,32.584,32.763,32.405,1838349,73737152.0,1.09,-1.04,-0.342,0.0
20180221,32.95,32.666,33.268,32.649,428970,17379870.0,1.9,0.25,0.082,0.0
20180222,32.739,32.714,32.967,32.666,398076,16045229.0,0.92,0.15,0.048,0.0
20180223,33.113,33.203,33.243,32.942,260488,10606436.0,0.92,1.49,0.489,0.0
20180226,33.325,33.512,33.52,33.146,226350,9286694.0,1.13,0.93,0.309,0.0
20180227,33.097,32.584,33.105,32.584,297590,11996552.0,1.55,-2.77,-0.928,0.0
20180228,32.666,32.226,32.674,32.226,256445,10232057.0,1.37,-1.1,-0.358,0.0
20180301,32.487,32.194,32.592,31.909,301226,11964526.0,2.12,-0.1,-0.032,0.0
20180302,31.852,32.242,32.308,31.657,207658,8170149.0,2.02,0.15,0.048,0.0
20180305,31.958,32.356,32.405,31.925,226169,8968879.0,1.49,0.35,0.114,0.0
20180306,32.666,32.511,32.755,32.405,203632,8137574.0,1.08,0.48,0.155,0.0
20180307,32.242,32.421,32.462,32.12,274211,10869229.0,1.05,-0.28,-0.09,0.0
20180308,32.47,32.421,32.552,32.308,235223,9371792.0,0.75,0.0,0.0,0.0
20180309,32.698,33.04,33.04,32.633,1227280,49686736.0,1.26,1.91,0.619,0.0
