trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20171215,36.067,36.067,36.067,36.067,0,0.0,0.0,0.0,0.0,0.0
20171218,36.3,36.375,36.428,36.3,3974,328048.0,0.35,0.85,0.308,0.0
20171219,36.375,36.278,36.375,36.278,602,49617.0,0.27,-0.27,-0.097,0.0
20171220,36.424,36.468,36.468,36.314,1987,164222.0,0.42,0.52,0.19,0.0
20171221,36.499,36.529,36.534,36.499,1339,111003.0,0.1,0.17,0.061,0.0
20171222,36.529,36.463,36.529,36.463,2096,173477.0,0.18,-0.18,-0.066,0.0
20171226,36.468,36.464,36.495,36.459,1922,158772.0,0.1,0.0,0.001,0.0
20171227,36.473,36.473,36.473,36.473,168,13876.0,0.0,0.02,0.009,0.0
20171228,36.45,36.495,36.495,36.45,1042,86053.0,0.12,0.06,0.022,0.0
20171229,36.565,36.402,36.565,36.402,1835,151680.0,0.45,-0.25,-0.093,0.0
20180102,36.539,36.526,36.539,36.517,979,80973.0,0.06,0.34,0.124,0.0
20180103,36.601,36.609,36.609,36.601,898,74439.0,0.02,0.23,0.083,0.0
20180104,36.649,36.817,36.843,36.649,1907,158854.0,0.53,0.57,0.208,0.0
20180105,37.029,37.113,37.113,36.945,2687,225047.0,0.46,0.8,0.296,0.0
20180108,37.108,37.091,37.108,37.091,670,56302.0,0.05,-0.06,-0.022,0.0
20180109,37.298,37.303,37.303,37.298,342,28889.0,0.01,0.57,0.212,0.0
20180110,37.223,37.219,37.228,37.197,1357,114375.0,0.08,-0.23,-0.084,0.0
20180111,37.223,37.532,37.532,37.223,588,49747.0,0.83,0.84,0.313,0.0
20180112,37.877,37.903,37.912,37.846,1122,96243.0,0.18,0.99,0.371,0.0
20180116,38.062,37.66,38.062,37.647,715,61369.0,1.09,-0.64,-0.243,0.0
20180117,37.753,37.81,37.81,37.731,921,78742.0,0.21,0.4,0.15,0.0
20180118,37.956,38.014,38.014,37.956,540,46442.0,0.15,0.54,0.204,0.0
20180119,38.071,38.128,38.133,38.071,893,77071.0,0.16,0.3,0.114,0.0
20180122,38.362,38.362,38.362,38.362,478,41527.0,0.0,0.61,0.234,0.0
20180123,38.367,38.464,38.486,38.362,1492,129820.0,0.32,0.27,0.102,0.0
20180124,38.486,38.486,38.486,38.486,321,27978.0,0.0,0.06,0.022,0.0
20180125,38.464,38.371,38.464,38.371,1142,99442.0,0.24,-0.3,-0.115,0.0
20180126,38.473,38.853,38.906,38.473,2237,196123.0,1.13,1.26,0.482,0.0
20180129,38.928,38.804,38.928,38.804,1937,170475.0,0.32,-0.13,-0.049,0.0
20180130,38.451,38.221,38.451,38.203,1932,167547.0,0.64,-1.5,-0.583,0.0
20180131,38.354,37.956,38.358,37.956,2901,250667.0,1.05,-0.69,-0.265,0.0
20180201,37.921,38.071,38.071,37.921,717,61688.0,0.4,0.3,0.115,0.0
20180202,37.515,37.241,37.515,37.241,743,62930.0,0.72,-2.18,-0.83,0.0
20180205,37.091,36.42,37.091,36.208,676,55990.0,2.37,-2.2,-0.821,0.0
20180206,35.7,36.322,36.455,34.927,11930,964768.0,4.2,-0.27,-0.098,0.0
20180207,36.707,36.715,36.764,36.707,1159,96415.0,0.16,1.08,0.393,0.0
20180208,36.459,35.81,36.609,35.81,3525,290170.0,2.18,-2.46,-0.905,0.0
20180209,35.611,35.254,35.611,35.099,2467,196839.0,1.43,-1.55,-0.556,0.0
20180212,35.916,35.925,36.093,35.788,2594,211215.0,0.87,1.9,0.671,0.0
20180213,35.872,36.124,36.124,35.872,2690,219053.0,0.7,0.55,0.199,0.0
20180214,36.084,36.671,36.671,36.075,7839,641248.0,1.65,1.51,0.547,0.0
20180215,36.698,36.945,36.945,35.634,4690,394366.0,3.58,0.75,0.274,0.0
20180216,36.852,37.033,37.219,36.852,825,69370.0,0.99,0.24,0.088,0.0
20180220,36.91,36.91,36.91,36.91,622,51992.0,0.0,-0.33,-0.123,0.0
20180221,36.742,36.813,37.122,36.742,1247,104345.0,1.03,-0.26,-0.097,0.0
20180222,36.654,36.848,36.879,36.654,1208,100647.0,0.61,0.1,0.035,0.0
20180223,36.654,36.848,36.879,36.654,129,0.0,0.61,0.0,0.0,0.0
20180226,37.042,37.206,37.206,37.038,1242,104282.0,0.46,0.97,0.358,0.0
20180227,37.1,36.945,37.1,36.945,7831,655796.0,0.42,-0.7,-0.261,0.0
20180228,36.879,36.879,36.879,36.777,703,58644.0,0.28,-0.18,-0.066,0.0
20180301,36.548,36.186,36.548,36.155,1218,100125.0,1.07,-1.88,-0.693,0.0
20180302,35.872,36.3,36.3,35.872,553,45106.0,1.18,0.32,0.114,0.0
20180305,36.124,36.428,36.446,36.124,1278,105279.0,0.89,0.35,0.128,0.0
