trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20190515,23.741,23.98,23.98,23.675,130389,3241434.0,1.28,1.01,0.239,0.0
20190516,24.066,24.028,24.162,23.971,23891,601044.0,0.8,0.2,0.048,0.0
20190517,23.894,23.837,23.999,23.827,13098,328254.0,0.72,-0.79,-0.191,0.0
20190520,23.761,23.847,23.942,23.722,26931,672356.0,0.92,0.04,0.01,0.0
20190521,23.999,24.076,24.105,23.961,24912,626882.0,0.6,0.96,0.229,0.0
20190522,24.105,23.789,24.105,23.761,28373,709707.0,1.43,-1.19,-0.287,0.0
20190523,23.636,23.197,23.636,23.168,33472,814602.0,1.97,-2.49,-0.592,0.0
20190524,23.436,23.407,23.474,23.311,9069,221901.0,0.7,0.91,0.21,0.0
20190528,23.589,23.283,23.589,23.273,9775,239722.0,1.35,-0.53,-0.124,0.0
20190529,23.254,23.082,23.254,22.891,8955,215742.0,1.56,-0.86,-0.201,0.0
20190530,23.149,22.91,23.235,22.843,6545,157556.0,1.7,-0.75,-0.172,0.0
20190531,22.757,22.365,22.757,22.365,14508,341724.0,1.71,-2.38,-0.545,0.0
20190603,22.48,22.833,22.862,22.48,13408,318286.0,1.71,2.09,0.468,0.0
20190604,23.187,23.416,23.416,23.187,2534,61803.0,1.0,2.55,0.583,0.0
20190605,23.541,23.311,23.541,23.178,5775,140514.0,1.55,-0.45,-0.105,0.0
20190606,23.474,23.483,23.55,23.311,21558,528102.0,1.03,0.74,0.172,0.0
20190607,23.579,23.483,23.579,23.474,5100,125563.0,0.45,0.0,0.0,0.0
20190610,23.665,23.589,23.732,23.589,7788,193071.0,0.61,0.45,0.106,0.0
20190611,23.827,23.665,23.837,23.627,11275,279454.0,0.89,0.32,0.076,0.0
20190612,23.512,23.321,23.512,23.321,4770,116764.0,0.81,-1.45,-0.344,0.0
20190613,23.321,23.378,23.378,23.378,238,0.0,0.0,0.24,0.057,0.0
20190614,23.464,23.455,23.464,23.292,1833,44766.0,0.74,0.33,0.077,0.0
20190617,23.531,23.216,23.531,23.216,9367,229212.0,1.34,-1.02,-0.239,0.0
20190618,23.35,23.627,23.713,23.35,2425,59842.0,1.56,1.77,0.411,0.0
20190619,23.761,23.761,23.808,23.761,1868,46493.0,0.2,0.57,0.134,0.0
20190620,23.942,23.961,23.961,23.78,1366,34137.0,0.76,0.84,0.2,0.0
20190621,23.933,23.827,23.942,23.827,582,14565.0,0.48,-0.56,-0.134,0.0
20190624,23.923,23.866,23.999,23.866,2816,70488.0,0.56,0.16,0.039,0.0
20190625,23.894,23.761,23.894,23.761,3414,85126.0,0.56,-0.44,-0.105,0.0
20190626,23.751,23.866,24.076,23.751,15233,380332.0,1.37,0.44,0.105,0.0
20190627,23.971,23.971,23.971,23.885,2183,54690.0,0.36,0.44,0.105,0.0
20190628,24.238,24.296,24.296,24.219,6620,168129.0,0.32,1.36,0.325,0.0
20190701,24.63,24.602,24.716,24.468,4025,103447.0,1.02,1.26,0.306,0.0
20190702,24.602,24.42,24.602,24.372,20294,521138.0,0.93,-0.74,-0.182,0.0
20190703,24.563,24.573,24.602,24.544,2284,58742.0,0.24,0.63,0.153,0.0
20190705,24.573,24.678,24.697,24.573,5431,140065.0,0.5,0.43,0.105,0.0
20190708,24.716,24.496,24.716,24.468,9038,232438.0,1.0,-0.74,-0.182,0.0
20190709,24.458,24.372,24.458,24.277,7517,191407.0,0.74,-0.51,-0.124,0.0
20190710,24.496,24.315,24.563,24.315,3876,99005.0,1.02,-0.23,-0.057,0.0
20190711,24.277,24.2,24.277,24.057,2499,63160.0,0.9,-0.47,-0.115,0.0
20190712,24.353,24.554,24.554,24.353,1829,46705.0,0.83,1.46,0.354,0.0
20190715,23.894,24.363,24.516,23.894,38973,989362.0,2.53,-0.78,-0.191,0.0
20190716,24.401,24.43,24.449,24.372,6704,171218.0,0.32,0.28,0.067,0.0
20190717,24.43,24.143,24.43,24.114,5671,143560.0,1.29,-1.17,-0.287,0.0
20190718,24.21,24.305,24.324,24.191,3321,84340.0,0.55,0.67,0.162,0.0
20190719,24.391,24.372,24.458,24.353,1872,47777.0,0.43,0.28,0.067,0.0
20190722,24.458,24.334,24.458,24.334,4691,119808.0,0.51,-0.16,-0.038,0.0
20190723,24.506,24.583,24.583,24.43,4249,109099.0,0.63,1.02,0.249,0.0
20190724,24.621,24.85,24.85,24.621,4593,118847.0,0.93,1.09,0.267,0.0
20190725,24.707,24.63,24.831,24.611,5144,133139.0,0.89,-0.89,-0.22,0.0
20190726,24.726,24.535,24.726,24.477,3874,99490.0,1.01,-0.39,-0.095,0.0
20190729,24.621,24.344,24.621,24.344,10802,277686.0,1.13,-0.78,-0.191,0.0
20190730,24.229,24.191,24.229,24.028,3750,94567.0,0.83,-0.63,-0.153,0.0
20190731,24.21,24.019,24.305,24.019,6440,162820.0,1.18,-0.71,-0.172,0.0
20190801,23.971,23.283,23.971,23.254,8793,218487.0,2.99,-3.06,-0.736,0.0
20190802,23.197,23.158,23.244,23.034,15649,378411.0,0.9,-0.54,-0.125,0.0
20190805,23.025,22.585,23.025,22.461,8423,200147.0,2.44,-2.47,-0.573,0.0
20190806,22.508,22.661,22.661,22.442,4877,114751.0,0.97,0.34,0.076,0.0
20190807,22.289,22.595,22.595,22.289,2213,51913.0,1.35,-0.29,-0.066,0.0
20190808,22.728,22.996,22.996,22.728,1034,24686.0,1.19,1.77,0.401,0.0
20190809,22.757,22.738,22.757,22.7,4775,113533.0,0.25,-1.12,-0.258,0.0
20190812,22.7,22.308,22.7,22.26,5369,125973.0,1.94,-1.89,-0.43,0.0
20190813,22.556,22.556,22.556,22.556,309,7292.0,0.0,1.11,0.248,0.0
20190814,22.375,21.868,22.375,21.859,4267,98310.0,2.29,-3.05,-0.688,0.0
20190815,21.887,21.773,21.887,21.744,1199,27324.0,0.65,-0.43,-0.095,0.0
20190816,21.906,22.327,22.327,21.906,2415,56089.0,1.93,2.54,0.554,0.0
20190819,22.614,22.518,22.709,22.48,1752,41379.0,1.03,0.86,0.191,0.0
20190820,22.528,22.145,22.528,22.145,1730,40333.0,1.7,-1.66,-0.373,0.0
20190821,22.365,22.289,22.365,22.289,1320,30850.0,0.34,0.65,0.144,0.0
20190822,22.27,22.384,22.394,22.27,2509,58733.0,0.56,0.43,0.095,0.0
20190823,21.983,21.61,22.002,21.61,1268,28991.0,1.75,-3.46,-0.774,0.0
20190826,21.811,21.849,21.878,21.811,650,14852.0,0.31,1.11,0.239,0.0
20190827,21.906,21.572,21.906,21.524,1756,39950.0,1.75,-1.27,-0.277,0.0
20190828,21.6,21.792,21.839,21.6,1316,29911.0,1.11,1.02,0.22,0.0
20190829,22.117,22.145,22.174,22.078,969,22434.0,0.44,1.62,0.353,0.0
20190830,22.27,22.289,22.298,22.27,340,7923.0,0.13,0.65,0.144,0.0
20190903,22.222,22.002,22.222,21.868,2274,52292.0,1.59,-1.29,-0.287,0.0
20190904,22.298,22.327,22.365,22.279,5553,129561.0,0.39,1.48,0.325,0.0
20190905,22.805,22.939,23.005,22.805,930,22312.0,0.9,2.74,0.612,0.0
20190906,22.996,22.843,22.996,22.843,4219,101430.0,0.67,-0.42,-0.096,0.0
20190909,23.292,23.388,23.388,23.254,607,14781.0,0.59,2.39,0.545,0.0
20190910,23.416,23.636,23.636,23.416,7994,196815.0,0.94,1.06,0.248,0.0
20190911,23.837,23.808,23.837,23.55,8554,212019.0,1.21,0.73,0.172,0.0
20190912,23.694,23.952,24.019,23.684,9852,247029.0,1.41,0.6,0.144,0.0
20190913,24.191,24.172,24.21,24.152,20456,517676.0,0.24,0.92,0.22,0.0
20190916,23.923,24.009,24.066,23.894,14408,361596.0,0.71,-0.67,-0.163,0.0
20190917,23.942,23.952,23.98,23.808,4320,107850.0,0.72,-0.24,-0.057,0.0
20190918,24.057,24.009,24.057,23.875,7844,196368.0,0.76,0.24,0.057,0.0
20190919,24.133,24.009,24.248,24.009,52693,1333251.0,1.0,0.0,0.0,0.0
20190920,24.057,24.038,24.248,24.038,4616,116794.0,0.87,0.12,0.029,0.0
20190923,23.999,23.961,24.047,23.894,22222,558014.0,0.64,-0.32,-0.077,0.0
20190924,24.143,23.732,24.143,23.694,11754,296252.0,1.87,-0.96,-0.229,0.0
20190925,23.847,23.961,23.999,23.751,17892,446212.0,1.05,0.96,0.229,0.0
20190926,23.78,23.655,23.78,23.655,839,20870.0,0.52,-1.28,-0.306,0.0
20190927,23.799,23.617,23.799,23.598,2253,56028.0,0.85,-0.16,-0.038,0.0
20190930,23.789,23.665,23.789,23.646,1754,43571.0,0.61,0.2,0.048,0.0
20191001,23.703,23.072,23.703,23.072,12399,302847.0,2.67,-2.51,-0.593,0.0
20191002,22.919,22.585,22.919,22.508,8421,200092.0,1.78,-2.11,-0.487,0.0
20191003,22.681,22.528,22.681,22.461,2919,68830.0,0.97,-0.25,-0.057,0.0
20191004,22.595,22.824,22.824,22.508,3267,77057.0,1.4,1.31,0.296,0.0
20191007,22.805,22.776,22.891,22.738,6598,157682.0,0.67,-0.21,-0.048,0.0
20191008,22.614,22.413,22.614,22.413,1802,42453.0,0.88,-1.59,-0.363,0.0
20191009,22.738,22.623,22.738,22.623,873,20766.0,0.51,0.94,0.21,0.0
20191010,22.891,22.919,23.005,22.891,2932,70390.0,0.5,1.31,0.296,0.0
20191011,23.455,23.292,23.512,23.283,4018,98604.0,1.0,1.63,0.373,0.0
20191014,23.35,23.34,23.35,23.264,1525,37193.0,0.37,0.21,0.048,0.0
20191015,23.713,23.646,23.761,23.646,2375,59016.0,0.49,1.31,0.306,0.0
20191016,23.722,23.541,23.722,23.541,7557,186610.0,0.77,-0.44,-0.105,0.0
20191017,23.493,23.589,23.665,23.493,3243,79977.0,0.73,0.2,0.048,0.0
20191018,23.694,23.694,23.78,23.665,5599,138954.0,0.49,0.45,0.105,0.0
20191021,23.751,24.009,24.066,23.751,3894,97702.0,1.33,1.33,0.315,0.0
20191022,24.286,24.315,24.43,24.229,13478,342970.0,0.84,1.27,0.306,0.0
20191023,24.124,24.229,24.229,24.124,5582,141357.0,0.43,-0.35,-0.086,0.0
20191024,24.277,24.305,24.324,24.219,4182,106132.0,0.43,0.31,0.076,0.0
20191025,24.372,24.344,24.391,24.296,1579,40215.0,0.39,0.16,0.039,0.0
20191028,24.468,24.516,24.525,24.42,2035,52153.0,0.43,0.71,0.172,0.0
20191029,24.583,24.764,24.764,24.583,1999,51530.0,0.74,1.01,0.248,0.0
20191030,24.64,24.64,24.64,24.525,1599,41175.0,0.46,-0.5,-0.124,0.0
20191031,24.716,24.391,24.716,24.267,3268,83473.0,1.82,-1.01,-0.249,0.0
20191101,24.659,24.707,24.707,24.659,313,8074.0,0.2,1.3,0.316,0.0
20191104,25.003,25.051,25.051,24.917,2565,67095.0,0.54,1.39,0.344,0.0
20191105,25.271,25.156,25.271,25.156,3443,90795.0,0.46,0.42,0.105,0.0
20191106,25.156,25.099,25.204,25.089,2730,71873.0,0.46,-0.23,-0.057,0.0
20191107,25.29,25.318,25.5,25.29,2917,77531.0,0.84,0.87,0.219,0.0
20191108,25.414,25.357,25.414,25.175,4499,119211.0,0.94,0.15,0.039,0.0
20191111,25.357,25.242,25.357,25.232,3640,96265.0,0.49,-0.45,-0.115,0.0
20191112,25.328,25.29,25.414,25.271,1445,38335.0,0.57,0.19,0.048,0.0
20191113,25.309,25.022,25.309,24.974,4945,129807.0,1.32,-1.06,-0.268,0.0
20191114,25.127,25.108,25.127,24.974,2724,71395.0,0.61,0.34,0.086,0.0
20191115,25.271,25.175,25.271,25.156,12538,330892.0,0.46,0.27,0.067,0.0
20191118,24.965,25.013,25.022,24.936,2992,78262.0,0.34,-0.64,-0.162,0.0
20191119,25.022,25.08,25.127,25.022,583,15300.0,0.42,0.27,0.067,0.0
20191120,24.86,24.841,24.869,24.831,1082,28132.0,0.15,-0.95,-0.239,0.0
20191121,24.783,24.755,24.802,24.659,24549,636712.0,0.58,-0.35,-0.086,0.0
20191122,24.783,24.831,24.936,24.783,9984,259657.0,0.62,0.31,0.076,0.0
20191125,24.927,25.213,25.213,24.927,1519,39687.0,1.15,1.54,0.382,0.0
20191126,25.185,25.213,25.223,25.127,4359,114843.0,0.38,0.0,0.0,0.0
20191127,25.538,25.71,25.749,25.538,22556,606318.0,0.84,1.97,0.497,0.0
20191129,25.691,25.5,25.691,25.5,4123,110414.0,0.74,-0.82,-0.21,0.0
20191202,25.691,25.318,25.691,25.318,6359,169454.0,1.46,-0.71,-0.182,0.0
20191203,24.831,24.917,24.946,24.831,5125,133244.0,0.45,-1.58,-0.401,0.0
20191204,25.232,25.166,25.252,25.166,4106,108413.0,0.35,1.0,0.249,0.0
20191205,25.28,25.318,25.357,25.166,7444,196328.0,0.76,0.6,0.152,0.0
20191206,25.643,25.643,25.672,25.605,7292,195532.0,0.26,1.28,0.325,0.0
20191209,25.653,25.672,25.701,25.615,1626,43633.0,0.34,0.11,0.029,0.0
20191210,25.624,25.663,25.72,25.624,7901,212061.0,0.37,-0.04,-0.009,0.0
20191211,25.72,25.682,25.729,25.615,9158,245777.0,0.44,0.07,0.019,0.0
20191212,25.825,26.217,26.217,25.825,4996,136230.0,1.53,2.08,0.535,0.0
20191213,26.332,26.054,26.332,26.007,2878,78791.0,1.24,-0.62,-0.163,0.0
20191216,26.293,26.293,26.408,26.293,6671,183869.0,0.44,0.92,0.239,0.0
20191217,26.312,26.446,26.485,26.303,5800,160388.0,0.69,0.58,0.153,0.0
20191218,26.561,26.255,26.561,26.236,6349,174705.0,1.23,-0.72,-0.191,0.0
20191219,26.265,26.274,26.274,26.188,3115,85475.0,0.33,0.07,0.019,0.0
20191220,26.494,26.332,26.494,26.332,13067,361358.0,0.62,0.22,0.058,0.0
20191223,26.408,26.255,26.408,26.236,3778,103944.0,0.65,-0.29,-0.077,0.0
20191224,26.379,26.236,26.379,26.236,3331,91559.0,0.54,-0.07,-0.019,0.0
20191226,26.322,26.255,26.322,26.217,3425,94082.0,0.4,0.07,0.019,0.0
