trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20190604,58.915,58.915,58.915,58.915,40,0.0,0.0,0.0,0.0,0.0
20190605,61.625,61.625,61.625,61.625,300,25050.0,0.0,4.6,2.71,0.0
20190606,60.625,60.625,60.625,60.625,120,9900.0,0.0,-1.62,-1.0,0.0
20190607,60.625,60.625,60.625,60.625,240,0.0,0.0,0.0,0.0,0.0
20190610,60.125,60.125,60.125,60.125,268,21976.0,0.0,-0.82,-0.5,0.0
20190611,60.125,61.125,62.125,60.125,2100,173340.0,3.33,1.66,1.0,0.0
20190612,61.875,61.875,61.875,61.875,200,16750.0,0.0,1.23,0.75,0.0
20190613,61.875,61.875,61.875,61.875,50,0.0,0.0,0.0,0.0,0.0
20190614,61.875,61.875,61.875,61.875,158,0.0,0.0,0.0,0.0,0.0
20190617,59.385,59.385,59.385,59.385,210,17064.0,0.0,-4.02,-2.49,0.0
20190618,62.115,61.125,62.115,61.125,250,20898.0,1.67,2.93,1.74,0.0
20190620,61.375,61.375,61.375,61.375,100,8325.0,0.0,0.41,0.25,0.0
20190624,61.375,61.375,61.375,61.375,25,0.0,0.0,0.0,0.0,0.0
20190625,61.375,61.375,61.375,61.375,306,0.0,0.0,0.0,0.0,0.0
20190626,59.935,60.625,60.625,59.935,585,48072.0,1.12,-1.22,-0.75,0.0
20190627,60.625,60.625,60.625,60.625,20,0.0,0.0,0.0,0.0,0.0
20190702,60.625,60.625,60.625,60.625,5,0.0,0.0,0.0,0.0,0.0
20190705,60.625,60.625,60.625,60.625,125,0.0,0.0,0.0,0.0,0.0
20190708,60.155,60.375,61.125,60.125,4389,361599.0,1.65,-0.41,-0.25,0.0
20190709,62.8,63.78,63.78,61.48,1491,124796.0,3.81,5.64,3.405,0.0
20190710,60.5,60.5,60.5,60.5,150,12224.0,0.0,-5.14,-3.28,0.0
20190711,62.57,62.57,62.57,62.57,106,8858.0,0.0,3.42,2.07,0.0
20190712,62.57,62.57,62.57,62.57,15,0.0,0.0,0.0,0.0,0.0
20190717,63.0,63.68,63.68,62.59,727,61107.0,1.74,1.77,1.11,0.0
20190718,61.3,61.88,62.0,61.3,850,70311.0,1.1,-2.83,-1.8,0.0
20190722,61.36,61.36,61.36,61.36,350,28826.0,0.0,-0.84,-0.52,0.0
20190723,62.25,62.25,62.25,62.25,404,33633.0,0.0,1.45,0.89,0.0
20190724,63.77,63.77,63.77,63.36,1538,130278.0,0.66,2.44,1.52,0.0
20190725,62.04,62.04,62.04,62.04,168,13950.0,0.0,-2.71,-1.73,0.0
20190726,62.04,62.04,62.04,62.04,81,0.0,0.0,0.0,0.0,0.0
20190801,61.78,64.82,64.82,61.78,461,39060.0,4.9,4.48,2.78,0.0
20190802,63.75,62.78,63.75,62.78,500,42180.0,1.5,-3.15,-2.04,0.0
20190805,61.81,61.81,61.81,61.81,111,9191.0,0.0,-1.55,-0.97,0.0
20190806,62.19,62.19,62.19,62.19,222,18469.0,0.0,0.61,0.38,0.0
20190807,63.75,63.75,63.75,63.75,184,15594.0,0.0,2.51,1.56,0.0
20190808,63.75,63.75,63.75,63.75,50,0.0,0.0,0.0,0.0,0.0
20190812,63.75,63.75,63.75,63.75,49,0.0,0.0,0.0,0.0,0.0
20190813,61.91,62.25,62.25,61.91,550,45704.0,0.53,-2.35,-1.5,0.0
20190814,62.99,63.1,63.1,62.99,380,31937.0,0.18,1.37,0.85,0.0
20190815,63.1,63.1,63.1,63.1,113,0.0,0.0,0.0,0.0,0.0
20190816,62.95,62.85,62.95,62.85,400,33555.0,0.16,-0.4,-0.25,0.0
20190819,62.85,62.85,62.85,62.85,100,0.0,0.0,0.0,0.0,0.0
20190821,62.85,62.85,62.85,62.85,60,0.0,0.0,0.0,0.0,0.0
20190822,62.08,62.08,62.08,62.08,875,72695.0,0.0,-1.23,-0.77,0.0
20190823,62.5,62.5,62.5,62.5,100,8350.0,0.0,0.68,0.42,0.0
20190826,62.29,62.29,62.29,62.29,110,9162.0,0.0,-0.34,-0.21,0.0
20190827,63.0,62.88,63.0,62.88,5807,487462.0,0.19,0.95,0.59,0.0
20190828,63.0,62.88,63.01,62.88,17036,1429994.0,0.21,0.0,0.0,0.0
20190830,62.88,62.88,62.88,62.88,12,0.0,0.0,0.0,0.0,0.0
20190903,63.25,63.25,63.25,63.25,315,26538.0,0.0,0.59,0.37,0.0
20190904,62.51,62.51,62.51,62.51,150,12526.0,0.0,-1.17,-0.74,0.0
20190905,63.0,63.0,63.0,63.0,364,30576.0,0.0,0.78,0.49,0.0
20190906,63.5,63.5,63.5,62.52,2342,197078.0,1.56,0.79,0.5,0.0
20190909,63.5,63.5,63.5,63.5,125,10562.0,0.0,0.0,0.0,0.0
20190910,63.0,63.0,63.0,63.0,301,25284.0,0.0,-0.79,-0.5,0.0
20190911,62.69,62.98,63.0,62.69,2123,178176.0,0.49,-0.03,-0.02,0.0
20190912,62.52,62.0,62.94,62.0,1633,136122.0,1.49,-1.56,-0.98,0.0
20190913,63.0,62.99,63.0,62.99,509,42754.0,0.02,1.6,0.99,0.0
20190916,63.0,62.0,63.0,62.0,852,70816.0,1.59,-1.57,-0.99,0.0
20190917,62.5,63.22,63.22,62.5,1052,87929.0,1.16,1.97,1.22,0.0
20190918,63.0,62.36,63.0,62.36,340,28435.0,1.01,-1.36,-0.86,0.0
20190919,62.36,62.36,62.36,62.36,491,0.0,0.0,0.0,0.0,0.0
20190920,63.59,63.59,63.59,63.59,102,8628.0,0.0,1.97,1.23,0.0
20190923,62.37,62.35,62.94,62.35,337,28188.0,0.93,-1.95,-1.24,0.0
20190924,63.0,62.85,63.0,62.85,612,51377.0,0.24,0.8,0.5,0.0
20190925,63.74,63.73,63.74,63.3,571,48309.0,0.7,1.4,0.88,0.0
20190926,64.0,63.0,64.0,62.42,1416,119392.0,2.48,-1.15,-0.73,0.0
20190927,62.51,62.51,62.51,62.51,100,8351.0,0.0,-0.78,-0.49,0.0
20190930,62.52,62.53,63.0,62.52,400,33473.0,0.77,0.03,0.02,0.0
20191001,63.49,64.0,64.0,63.49,2350,199598.0,0.82,2.35,1.47,0.0
20191002,62.6,63.25,63.25,62.6,280,23473.0,1.02,-1.17,-0.75,0.0
20191003,62.91,63.0,63.53,62.91,895,75258.0,0.98,-0.4,-0.25,0.0
20191004,63.0,63.0,63.0,63.0,51,0.0,0.0,0.0,0.0,0.0
20191007,63.0,63.0,63.0,63.0,673,56532.0,0.0,0.0,0.0,0.0
20191008,63.72,63.72,63.72,63.72,450,38124.0,0.0,1.14,0.72,0.0
20191009,64.375,64.375,64.375,64.205,441,37239.0,0.27,1.03,0.655,0.0
20191010,63.985,63.985,63.985,63.985,290,24391.0,0.0,-0.61,-0.39,0.0
20191011,64.325,64.325,64.325,64.325,100,8445.0,0.0,0.53,0.34,0.0
20191014,64.815,64.825,64.875,64.815,750,63721.0,0.09,0.78,0.5,0.0
20191015,64.875,64.875,64.875,64.875,350,29748.0,0.0,0.08,0.05,0.0
20191016,64.875,64.875,64.875,64.875,1575,133867.0,0.0,0.0,0.0,0.0
20191017,64.875,64.865,64.875,64.865,741,62981.0,0.02,-0.02,-0.01,0.0
20191018,64.865,64.865,64.865,64.865,171,14533.0,0.0,0.0,0.0,0.0
20191021,64.875,64.375,64.875,64.375,1076,91117.0,0.77,-0.76,-0.49,0.0
20191022,64.565,64.375,64.565,64.375,213,18018.0,0.3,0.0,0.0,0.0
20191023,64.435,64.535,64.695,64.435,305,25826.0,0.4,0.25,0.16,0.0
20191024,64.535,64.535,64.535,64.535,104,0.0,0.0,0.0,0.0,0.0
20191025,64.575,64.375,64.575,64.375,271,22926.0,0.31,-0.25,-0.16,0.0
20191028,64.875,64.875,64.875,64.875,1112,94520.0,0.0,0.78,0.5,0.0
20191029,64.805,64.805,64.805,64.805,101,8577.0,0.0,-0.11,-0.07,0.0
20191030,64.725,64.655,64.725,64.535,606,51350.0,0.29,-0.23,-0.15,0.0
20191101,64.695,64.695,64.695,64.695,200,16963.0,0.0,0.06,0.04,0.0
20191104,64.375,64.695,64.695,64.375,889,75262.0,0.49,0.0,0.0,0.0
20191105,64.695,64.695,64.695,64.695,135,0.0,0.0,0.0,0.0,0.0
20191106,64.875,64.875,64.875,64.875,367,31195.0,0.0,0.28,0.18,0.0
20191107,64.105,64.865,64.865,64.105,849,71858.0,1.17,-0.02,-0.01,0.0
20191108,64.875,65.305,65.305,64.625,4068,345785.0,1.05,0.68,0.44,0.0
20191111,65.175,65.125,65.175,65.125,926,78951.0,0.08,-0.28,-0.18,0.0
20191112,65.125,65.025,65.225,65.025,2501,213066.0,0.31,-0.15,-0.1,0.0
20191113,65.515,65.515,65.515,65.515,300,25693.0,0.0,0.75,0.49,0.0
20191118,65.875,65.875,65.875,65.875,450,38700.0,0.0,0.55,0.36,0.0
20191119,66.375,66.375,66.375,66.375,330,28545.0,0.0,0.76,0.5,0.0
20191120,66.375,66.375,66.375,66.375,2,0.0,0.0,0.0,0.0,0.0
20191121,66.125,65.675,66.125,65.675,253,21754.0,0.68,-1.05,-0.7,0.0
20191122,65.675,65.675,65.675,65.675,1,0.0,0.0,0.0,0.0,0.0
20191125,64.935,65.285,65.285,64.935,452,38499.0,0.53,-0.59,-0.39,0.0
20191126,65.075,65.075,65.075,65.075,1001,85289.0,0.0,-0.32,-0.21,0.0
20191127,65.075,65.075,65.075,65.075,4,0.0,0.0,0.0,0.0,0.0
20191202,65.075,65.075,65.075,65.075,40,0.0,0.0,0.0,0.0,0.0
20191205,65.225,65.225,65.225,65.225,150,12802.0,0.0,0.23,0.15,0.0
20191206,65.505,65.505,65.505,65.505,110,9419.0,0.0,0.43,0.28,0.0
20191209,65.505,65.505,65.505,65.505,50,0.0,0.0,0.0,0.0,0.0
20191212,66.125,66.125,66.125,66.125,100,8625.0,0.0,0.95,0.62,0.0
20191213,65.685,65.475,65.685,65.465,405,34694.0,0.33,-0.98,-0.65,0.0
20191216,64.875,64.955,64.955,64.875,1531,130178.0,0.12,-0.79,-0.52,0.0
20191217,64.955,64.955,64.955,64.955,70,0.0,0.0,0.0,0.0,0.0
20191218,64.955,64.955,64.955,64.955,140,0.0,0.0,0.0,0.0,0.0
20191219,65.015,65.015,65.015,65.015,270,22987.0,0.0,0.09,0.06,0.0
20191220,65.015,65.015,65.015,65.015,521,0.0,0.0,0.0,0.0,0.0
20191223,66.965,66.225,66.965,66.025,820,70938.0,1.45,1.86,1.21,0.0
20191224,65.615,66.065,66.845,65.455,1075,92576.0,2.1,-0.24,-0.16,0.0
20191226,66.625,66.625,66.625,66.625,120,10410.0,0.0,0.85,0.56,0.0
20191227,66.805,67.175,67.175,66.475,1426,124090.0,1.05,0.83,0.55,0.0
20191230,66.635,67.375,67.375,66.625,942,82119.0,1.12,0.3,0.2,0.0
20191231,67.375,67.375,67.375,67.375,154,0.0,0.0,0.0,0.0,0.0
20200102,67.875,68.515,68.775,67.875,1824,161328.0,1.34,1.69,1.14,0.0
20200103,68.235,68.235,68.235,68.235,602,53194.0,0.0,-0.41,-0.28,0.0
20200106,67.875,67.875,67.875,67.875,110,9680.0,0.0,-0.53,-0.36,0.0
20200107,67.875,67.875,67.875,67.875,200,0.0,0.0,0.0,0.0,0.0
20200108,68.105,68.545,68.545,68.105,206,18220.0,0.65,0.99,0.67,0.0
20200109,69.42,69.42,69.42,69.42,45,0.0,0.0,1.28,0.875,0.0
20200110,68.1,68.09,68.1,68.08,501,43757.0,0.03,-1.92,-1.33,0.0
20200113,68.07,68.07,68.07,68.07,217,18948.0,0.0,-0.03,-0.02,0.0
20200114,68.07,68.07,68.07,68.07,28,0.0,0.0,0.0,0.0,0.0
20200115,68.07,68.07,68.07,68.07,390,0.0,0.0,0.0,0.0,0.0
20200116,68.07,68.07,68.07,68.07,2,0.0,0.0,0.0,0.0,0.0
20200117,69.0,69.87,69.87,68.75,1215,107620.0,1.65,2.64,1.8,0.0
20200121,68.07,70.23,70.24,67.75,500,44276.0,3.56,0.52,0.36,0.0
20200122,68.1,67.75,68.1,67.75,570,49705.0,0.5,-3.53,-2.48,0.0
20200123,65.98,65.98,65.98,65.98,490,41761.0,0.0,-2.61,-1.77,0.0
20200124,65.98,65.98,65.98,65.98,89,0.0,0.0,0.0,0.0,0.0
20200127,67.25,67.25,67.25,67.25,459,39703.0,0.0,1.92,1.27,0.0
20200128,67.25,67.25,67.25,67.25,393,33994.0,0.0,0.0,0.0,0.0
20200129,67.25,67.25,67.25,67.25,99,0.0,0.0,0.0,0.0,0.0
20200130,66.75,67.25,67.25,66.75,876,75499.0,0.74,0.0,0.0,0.0
20200131,67.25,67.25,67.25,67.25,211,18251.0,0.0,0.0,0.0,0.0
20200203,67.2,67.2,67.2,67.2,150,12967.0,0.0,-0.07,-0.05,0.0
20200204,67.2,67.2,67.2,67.2,2,0.0,0.0,0.0,0.0,0.0
20200205,66.83,67.0,67.0,66.83,200,17233.0,0.25,-0.3,-0.2,0.0
20200206,67.0,67.0,67.0,67.0,465,40106.0,0.0,0.0,0.0,0.0
20200207,65.75,66.07,66.07,65.75,606,51565.0,0.48,-1.39,-0.93,0.0
20200210,67.75,67.75,67.75,67.75,250,21750.0,0.0,2.54,1.68,0.0
20200211,68.25,67.75,68.25,67.75,268,23392.0,0.74,0.0,0.0,0.0
20200212,68.25,67.75,68.25,67.75,152,0.0,0.74,0.0,0.0,0.0
20200213,66.55,66.98,66.98,66.55,212,18234.0,0.63,-1.14,-0.77,0.0
20200214,66.98,66.98,66.98,66.98,152,0.0,0.0,0.0,0.0,0.0
20200218,69.16,68.82,69.25,68.82,620,54727.0,0.64,2.75,1.84,0.0
