trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20180626,9.641,9.841,10.021,9.641,37645,855836.0,0.0,0.0,0.0,0.0
20180627,9.911,9.931,9.951,9.851,19882,454965.0,1.02,0.91,0.09,0.0
20180628,9.841,9.931,9.981,9.771,34127,779515.0,2.11,0.0,0.0,0.0
20180629,9.801,10.191,10.191,9.561,148010,3377439.0,6.34,2.62,0.26,0.0
20180702,10.141,10.041,10.191,9.941,90957,2094582.0,2.45,-1.47,-0.15,0.0
20180703,10.041,10.091,10.191,10.041,35021,807454.0,1.49,0.5,0.05,0.0
20180705,10.141,10.191,10.281,10.141,24363,564235.0,1.39,0.99,0.1,0.0
20180706,10.191,10.471,10.531,10.181,33061,768600.0,3.43,2.75,0.28,0.0
20180709,10.327,10.517,10.717,10.327,46826,1080350.0,3.72,0.44,0.046,0.0
20180710,10.587,10.477,10.657,10.247,139389,3210536.0,3.9,-0.38,-0.04,0.0
20180711,10.477,10.617,10.637,10.477,60390,1390766.0,1.53,1.34,0.14,0.0
20180712,10.667,10.687,10.687,10.477,38643,893734.0,1.98,0.66,0.07,0.0
20180713,10.687,10.717,10.777,10.657,11748,272620.0,1.12,0.28,0.03,0.0
20180716,10.717,10.657,10.747,10.607,29309,680150.0,1.31,-0.56,-0.06,0.0
20180717,10.507,10.587,10.657,10.507,20563,475021.0,1.41,-0.66,-0.07,0.0
20180718,10.487,10.507,10.587,10.437,35717,821922.0,1.42,-0.76,-0.08,0.0
20180719,10.537,10.617,10.647,10.497,58093,1338541.0,1.43,1.05,0.11,0.0
20180720,10.627,10.767,10.767,10.627,8177,189860.0,1.32,1.41,0.15,0.0
20180723,10.767,10.907,10.907,10.767,5245,122419.0,1.3,1.3,0.14,0.0
20180724,10.827,10.877,10.927,10.827,13476,315337.0,0.92,-0.28,-0.03,0.0
20180725,10.907,10.867,10.927,10.697,29114,680401.0,2.11,-0.09,-0.01,0.0
20180726,10.987,10.817,11.087,10.747,90097,2103897.0,3.13,-0.46,-0.05,0.0
20180727,10.767,10.947,10.947,10.757,32290,753282.0,1.76,1.2,0.13,0.0
20180730,10.987,10.907,10.987,10.857,11275,264248.0,1.19,-0.37,-0.04,0.0
20180731,10.837,10.817,10.857,10.697,15060,350406.0,1.47,-0.83,-0.09,0.0
20180801,10.717,10.867,10.867,10.717,7724,179662.0,1.39,0.46,0.05,0.0
20180802,10.887,10.817,10.977,10.817,34217,800503.0,1.47,-0.46,-0.05,0.0
20180803,11.327,10.917,11.327,10.847,10870,255939.0,4.44,0.92,0.1,0.0
20180806,11.037,11.077,11.217,10.937,32169,758903.0,2.56,1.47,0.16,0.0
20180807,11.117,11.007,11.117,10.927,36759,865347.0,1.72,-0.63,-0.07,0.0
20180808,11.077,10.997,11.077,10.957,2809,66029.0,1.09,-0.09,-0.01,0.0
20180809,11.107,10.977,11.107,10.977,17978,423558.0,1.18,-0.18,-0.02,0.0
20180810,10.987,11.017,11.057,10.967,7237,170255.0,0.82,0.36,0.04,0.0
20180813,11.047,11.017,11.057,10.967,31454,739980.0,0.82,0.0,0.0,0.0
20180814,10.997,10.987,10.997,10.987,11600,272679.0,0.09,-0.27,-0.03,0.0
20180815,10.997,11.157,11.477,10.977,40020,947732.0,4.55,1.55,0.17,0.0
20180816,11.387,11.087,11.387,10.987,10895,257658.0,3.59,-0.63,-0.07,0.0
20180817,11.277,11.097,11.277,10.997,5628,133305.0,2.53,0.09,0.01,0.0
20180820,11.227,11.037,11.227,11.007,15463,364937.0,1.98,-0.54,-0.06,0.0
20180821,11.187,11.057,11.187,11.047,12562,296932.0,1.27,0.18,0.02,0.0
20180822,11.187,11.067,11.187,11.007,25015,590167.0,1.63,0.09,0.01,0.0
20180823,11.067,11.007,11.077,10.937,12784,300632.0,1.27,-0.54,-0.06,0.0
20180824,11.067,11.097,11.107,11.037,9520,224615.0,0.64,0.82,0.09,0.0
20180827,11.097,11.127,11.187,11.087,28297,668781.0,0.9,0.27,0.03,0.0
20180828,11.187,11.237,11.287,11.117,47467,1124893.0,1.53,0.99,0.11,0.0
20180829,11.247,11.157,11.317,11.097,28491,676271.0,1.96,-0.71,-0.08,0.0
20180830,11.167,11.147,11.187,11.147,4375,103563.0,0.36,-0.09,-0.01,0.0
20180831,11.207,11.387,11.477,11.177,26417,627927.0,2.69,2.15,0.24,0.0
20180904,11.477,11.317,11.477,11.247,14537,346125.0,2.02,-0.61,-0.07,0.0
20180905,11.327,11.137,11.327,11.037,30687,726158.0,2.56,-1.59,-0.18,0.0
