trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20220118,21.389,21.369,21.459,21.309,170487,4218164.0,0.7,-0.65,-0.14,1.7
20220119,21.449,21.439,21.469,21.349,38753,958532.0,0.56,0.33,0.07,0.39
20220120,21.349,21.504,21.629,21.349,221012,5493708.0,1.31,0.3,0.065,2.21
20220121,21.507,21.669,21.689,21.419,204571,5105360.0,1.26,0.77,0.165,2.05
20220124,21.419,21.619,21.679,21.419,114157,2840663.0,1.2,-0.23,-0.05,1.14
20220125,21.619,21.559,21.689,21.489,97530,2429241.0,0.93,-0.28,-0.06,0.98
20220126,21.569,21.559,21.669,21.379,255674,6359136.0,1.35,0.0,0.0,2.56
20220127,21.588,21.289,21.588,21.079,695354,17153221.0,2.36,-1.25,-0.27,6.95
20220128,21.289,20.729,21.289,20.269,428322,10345289.0,4.79,-2.63,-0.56,4.28
20220131,20.829,20.869,21.019,20.679,1255280,30384620.0,1.64,0.68,0.14,12.55
20220201,20.869,20.739,20.869,20.569,179810,4320867.0,1.44,-0.62,-0.13,1.8
20220202,20.799,20.589,20.799,20.589,14755,354767.0,1.01,-0.72,-0.15,0.15
20220203,20.469,20.369,20.669,20.269,73284,1742704.0,1.94,-1.07,-0.22,0.73
20220204,20.369,19.949,20.369,19.769,44085,1026952.0,2.95,-2.06,-0.42,0.44
20220207,19.989,19.919,19.989,19.899,12890,300009.0,0.45,-0.15,-0.03,0.13
20220208,19.769,19.519,19.769,19.499,33027,758303.0,1.36,-2.01,-0.4,0.33
20220209,19.579,19.609,19.669,19.509,40469,927790.0,0.82,0.46,0.09,0.4
20220210,19.409,18.989,19.449,18.799,129735,2896712.0,3.31,-3.16,-0.62,1.3
20220211,18.919,18.859,18.979,18.729,32150,713430.0,1.32,-0.68,-0.13,0.32
20220214,19.029,18.019,19.029,17.929,128912,2784371.0,5.83,-4.45,-0.84,1.29
20220215,18.019,18.559,18.719,18.019,89891,1965628.0,3.88,3.0,0.54,0.9
20220216,18.616,18.569,18.662,18.169,54011,1170133.0,2.66,0.05,0.01,0.54
20220217,18.669,18.539,18.789,18.429,31942,701347.0,1.94,-0.16,-0.03,0.32
20220218,18.926,18.489,18.926,18.419,20446,445327.0,2.73,-0.27,-0.05,0.2
20220222,18.679,18.379,18.679,18.319,14086,307452.0,1.95,-0.59,-0.11,0.14
20220223,18.426,18.339,18.459,18.339,60747,1320879.0,0.65,-0.22,-0.04,0.61
20220224,18.249,17.879,18.249,17.809,216101,4600538.0,2.4,-2.51,-0.46,2.16
20220225,17.929,17.979,18.079,17.889,276002,5879626.0,1.06,0.56,0.1,2.76
20220228,17.909,17.889,18.199,17.859,67122,1430831.0,1.89,-0.5,-0.09,0.67
20220301,17.949,18.029,18.206,17.939,54497,1165658.0,1.49,0.78,0.14,0.54
20220302,17.929,18.069,18.079,17.929,96234,2058108.0,0.83,0.22,0.04,0.96
20220303,18.069,18.139,18.199,17.989,31207,667785.0,1.16,0.39,0.07,0.31
20220304,17.979,17.919,18.139,17.889,74187,1582769.0,1.38,-1.21,-0.22,0.74
20220307,17.86,17.649,17.86,17.649,16541,348015.0,1.18,-1.51,-0.27,0.17
20220308,17.639,17.549,17.66,17.509,28705,600070.0,0.86,-0.57,-0.1,0.29
20220309,17.679,17.569,17.869,17.569,27126,573464.0,1.71,0.11,0.02,0.27
20220310,17.409,17.419,17.509,17.369,10317,214262.0,0.8,-0.85,-0.15,0.1
20220311,17.474,17.269,17.609,17.269,20686,428348.0,1.95,-0.86,-0.15,0.21
20220314,17.179,16.719,17.244,16.649,58680,1183072.0,3.45,-3.18,-0.55,0.59
20220315,16.639,16.709,16.709,16.549,49684,990337.0,0.96,-0.06,-0.01,0.5
20220316,16.809,16.929,17.149,16.723,28783,580570.0,2.55,1.32,0.22,0.29
20220317,17.009,17.159,17.301,16.924,9946,203728.0,2.23,1.36,0.23,0.1
20220318,17.089,17.399,17.399,17.089,15646,322788.0,1.81,1.4,0.24,0.16
20220321,17.369,17.119,17.499,16.889,44789,917442.0,3.51,-1.61,-0.28,0.45
20220322,17.119,17.179,17.189,16.869,33479,683097.0,1.87,0.35,0.06,0.33
20220323,17.079,17.119,17.169,16.959,23971,488851.0,1.22,-0.35,-0.06,0.24
20220324,17.12,17.119,17.159,16.999,26003,530800.0,0.93,0.0,0.0,0.26
20220325,17.069,16.849,17.072,16.609,27892,562971.0,2.7,-1.58,-0.27,0.28
20220328,16.899,16.989,16.989,16.879,9344,189183.0,0.65,0.83,0.14,0.09
20220329,16.929,17.169,17.249,16.929,38584,790513.0,1.88,1.06,0.18,0.39
20220330,17.409,17.309,17.439,17.256,16264,335764.0,1.07,0.82,0.14,0.16
20220331,17.369,17.439,17.554,17.349,39775,824291.0,1.18,0.75,0.13,0.4
20220401,17.439,17.369,17.509,17.171,38244,791614.0,1.94,-0.4,-0.07,0.38
20220404,17.469,17.579,17.579,17.431,57715,1200668.0,0.85,1.21,0.21,0.58
20220405,17.519,17.199,17.519,17.199,42692,881254.0,1.82,-2.16,-0.38,0.43
