trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230821,18.875,21.375,21.375,18.805,1322,29559.0,13.62,13.25,2.5,0.0
20230822,19.625,20.815,20.815,19.375,1616,37424.0,6.74,-2.62,-0.56,0.0
20230823,20.845,20.955,20.955,20.525,8000,189895.0,2.07,0.67,0.14,0.0
20230824,21.055,20.855,21.115,20.385,5157,123556.0,3.48,-0.48,-0.1,0.0
20230825,20.775,21.055,21.125,20.625,5668,135815.0,2.4,0.96,0.2,0.0
20230828,20.495,21.255,21.985,20.495,10739,259228.0,7.08,0.95,0.2,0.0
20230829,20.895,21.665,21.715,20.715,7492,181425.0,4.7,1.93,0.41,0.0
20230830,20.915,21.535,21.535,20.875,14855,361962.0,3.05,-0.6,-0.13,0.0
20230831,21.405,20.735,21.745,20.735,49482,1193103.0,4.69,-3.71,-0.8,0.0
20230901,20.735,21.325,21.325,20.735,2801,67186.0,2.85,2.85,0.59,0.0
20230905,20.65,20.65,20.65,20.65,415,9866.0,0.0,-3.17,-0.675,0.0
20230906,20.48,20.466,20.48,20.466,1625,38346.0,0.07,-0.89,-0.184,0.0
20230907,20.31,20.375,20.375,20.31,16576,389070.0,0.32,-0.44,-0.091,0.0
20230908,20.355,20.535,20.535,20.355,550,12942.0,0.88,0.79,0.16,0.0
20230911,20.535,20.535,20.695,20.535,7804,184913.0,0.78,0.0,0.0,0.0
20230912,20.535,20.535,20.535,20.535,14,331.0,0.0,0.0,0.0,0.0
20230913,20.445,20.309,20.445,20.309,1180,27759.0,0.66,-1.1,-0.226,0.0
20230914,20.325,20.315,20.325,20.315,1073,25157.0,0.05,0.03,0.006,0.0
20230915,20.275,20.255,20.345,20.255,9628,225326.0,0.44,-0.3,-0.06,0.0
20230918,20.305,20.605,20.835,20.305,9727,228140.0,2.62,1.73,0.35,0.0
20230919,20.605,20.605,20.605,20.605,51,1210.0,0.0,0.0,0.0,0.0
20230920,20.725,20.655,20.775,20.646,12415,295269.0,0.63,0.24,0.05,0.0
20230921,20.41,20.365,20.575,20.295,5620,132376.0,1.36,-1.4,-0.29,0.0
20230922,20.225,20.465,20.945,20.215,5159,120767.0,3.58,0.49,0.1,0.0
20230925,20.475,20.265,20.475,20.265,2340,54823.0,1.03,-0.98,-0.2,0.0
20230926,20.275,20.235,20.395,20.205,6525,152735.0,0.94,-0.15,-0.03,0.0
20230927,20.235,20.235,20.395,20.205,17197,403927.0,0.94,0.0,0.0,0.0
20230928,20.155,20.155,20.16,20.155,2778,64679.0,0.02,-0.4,-0.08,0.0
20230929,20.425,21.375,21.745,20.425,87576,2141450.0,6.55,6.05,1.22,0.0
20231002,21.195,20.965,21.225,20.585,19668,474803.0,2.99,-1.92,-0.41,0.0
20231003,20.875,20.685,20.895,20.62,6977,167118.0,1.31,-1.34,-0.28,0.0
20231004,20.375,20.375,20.375,20.375,257,6039.0,0.0,-1.5,-0.31,0.0
20231005,20.875,20.585,20.875,20.585,1552,37074.0,1.42,1.03,0.21,0.0
20231006,20.675,20.625,20.775,20.605,1165,27730.0,0.83,0.19,0.04,0.0
20231009,20.635,20.485,20.64,20.385,4307,101657.0,1.24,-0.68,-0.14,0.0
20231010,20.475,20.485,20.485,20.475,5424,128058.0,0.05,0.0,0.0,0.0
20231011,20.485,20.485,20.485,20.485,137,3234.0,0.0,0.0,0.0,0.0
20231012,20.612,20.745,20.745,20.56,1259,29906.0,0.9,1.27,0.26,0.0
20231013,20.646,20.646,20.646,20.646,103,2408.0,0.0,-0.48,-0.099,0.0
20231016,20.586,20.586,20.586,20.586,500,11660.0,0.0,-0.29,-0.06,0.0
20231017,20.966,20.676,20.966,20.676,773,18242.0,1.41,0.44,0.09,0.0
20231018,20.666,20.366,20.666,20.186,3156,73564.0,2.32,-1.5,-0.31,0.0
20231019,20.366,20.366,20.366,20.366,58,1339.0,0.0,0.0,0.0,0.0
20231020,20.486,20.176,20.486,20.176,807,18691.0,1.52,-0.93,-0.19,0.0
20231023,20.176,20.176,20.176,20.176,217,4971.0,0.0,0.0,0.0,0.0
20231024,20.166,20.166,20.166,20.166,705,16144.0,0.0,-0.05,-0.01,0.0
20231025,20.066,20.066,20.066,20.066,615,14022.0,0.0,-0.5,-0.1,0.0
20231026,20.016,20.191,20.336,19.906,926,21117.0,2.14,0.62,0.125,0.0
20231027,20.496,20.496,20.496,20.496,873,20279.0,0.0,1.51,0.305,0.0
20231030,20.066,20.016,20.236,19.876,2630,59737.0,1.76,-2.34,-0.48,0.0
20231031,20.326,20.326,20.326,19.966,12492,287612.0,1.8,1.55,0.31,0.0
20231101,20.316,20.156,20.316,20.066,5447,125014.0,1.23,-0.84,-0.17,0.0
20231102,20.116,20.506,20.506,20.006,6041,138577.0,2.48,1.74,0.35,0.0
20231103,20.466,20.506,20.506,20.431,6983,162003.0,0.37,0.0,0.0,0.0
20231106,20.411,20.466,20.506,20.411,4373,101397.0,0.46,-0.2,-0.04,0.0
20231107,20.416,20.376,20.416,20.376,1481,34245.0,0.2,-0.44,-0.09,0.0
20231108,20.376,20.536,20.536,20.191,7973,184117.0,1.69,0.79,0.16,0.0
20231109,20.546,20.546,20.546,20.546,805,18740.0,0.0,0.05,0.01,0.0
