trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240229,22.192,22.002,22.252,21.982,653642,16419477.0,1.22,-0.32,-0.07,3.27
20240301,22.002,22.012,22.041,21.802,395343,9890530.0,1.09,0.05,0.01,1.98
20240304,22.012,22.032,22.122,21.952,257676,6468204.0,0.77,0.09,0.02,1.29
20240305,22.032,22.092,22.192,22.032,492405,12377316.0,0.73,0.27,0.06,2.46
20240306,22.152,22.172,22.252,22.032,294071,7413002.0,1.0,0.36,0.08,1.47
20240307,22.232,22.282,22.292,22.217,356049,9005139.0,0.34,0.5,0.11,1.78
20240308,22.302,22.252,22.342,22.232,309508,7837552.0,0.49,-0.13,-0.03,1.55
20240311,22.232,22.182,22.272,22.182,152273,3847498.0,0.4,-0.31,-0.07,0.76
20240312,22.202,22.242,22.252,22.152,550217,13900069.0,0.45,0.27,0.06,2.75
20240313,22.272,22.242,22.302,22.222,321283,8127618.0,0.36,0.0,0.0,1.61
20240314,22.222,22.142,22.252,22.092,257485,6495001.0,0.72,-0.45,-0.1,1.29
20240315,22.112,22.122,22.142,22.082,222827,5606643.0,0.27,-0.09,-0.02,1.11
20240318,22.162,22.132,22.182,22.052,774405,19480839.0,0.59,0.05,0.01,3.87
20240319,22.152,22.162,22.172,22.092,461261,11612726.0,0.36,0.14,0.03,2.31
20240320,22.172,22.202,22.222,22.082,369821,9318259.0,0.63,0.18,0.04,1.85
20240321,22.242,22.212,22.252,22.192,285649,7219552.0,0.27,0.05,0.01,1.43
20240322,22.232,22.202,22.232,22.152,176219,4445400.0,0.36,-0.05,-0.01,0.88
20240325,22.202,22.162,22.252,22.132,166981,4208388.0,0.54,-0.18,-0.04,0.83
20240326,22.162,22.072,22.162,22.062,442916,11142472.0,0.45,-0.41,-0.09,2.21
20240327,22.122,22.072,22.122,22.042,340065,8542829.0,0.36,0.0,0.0,1.7
20240328,22.092,21.962,22.182,21.902,3070683,76902468.0,1.27,-0.5,-0.11,15.35
20240401,22.002,21.822,22.032,21.752,393472,9798054.0,1.27,-0.64,-0.14,1.97
20240402,21.682,21.442,21.682,21.312,725771,17803552.0,1.7,-1.74,-0.38,3.63
20240403,21.322,21.452,21.602,21.227,742086,18166073.0,1.75,0.05,0.01,3.71
20240404,21.572,21.522,21.722,21.412,386380,9518016.0,1.45,0.33,0.07,1.93
20240405,21.502,21.502,21.682,21.477,153023,3766650.0,0.95,-0.09,-0.02,0.77
20240408,21.532,21.662,21.682,21.452,567563,13934607.0,1.07,0.74,0.16,2.84
20240409,21.692,21.832,21.931,21.672,253968,6314474.0,1.2,0.78,0.17,1.27
20240410,21.652,21.582,21.772,21.212,205010,5026568.0,2.57,-1.15,-0.25,1.03
20240411,21.602,21.642,21.692,21.272,222621,5473839.0,1.95,0.28,0.06,1.11
20240412,21.592,21.472,21.762,21.392,120897,2970659.0,1.71,-0.79,-0.17,0.6
20240415,21.502,21.252,21.532,21.152,111952,2727882.0,1.77,-1.02,-0.22,0.56
20240416,21.132,21.252,21.372,20.962,78989,1919557.0,1.93,0.0,0.0,0.39
20240417,21.382,21.402,21.552,21.362,68812,1685396.0,0.89,0.71,0.15,0.34
20240418,21.462,21.302,21.467,21.222,138833,3383712.0,1.14,-0.47,-0.1,0.69
20240419,21.292,21.312,21.422,21.272,110913,2705897.0,0.7,0.05,0.01,0.55
20240422,21.352,21.402,21.502,21.342,97471,2383889.0,0.75,0.42,0.09,0.49
20240423,21.402,21.672,21.672,21.402,59933,1476595.0,1.26,1.26,0.27,0.3
20240424,21.662,21.742,21.747,21.577,56242,1389922.0,0.78,0.32,0.07,0.28
20240425,21.592,21.772,21.792,21.502,174640,4324861.0,1.33,0.14,0.03,0.87
20240426,21.832,21.842,21.902,21.752,71580,1781543.0,0.69,0.32,0.07,0.36
20240429,21.852,21.932,21.992,21.802,82652,2062599.0,0.87,0.41,0.09,0.41
20240430,21.912,22.082,22.082,21.892,100711,2516678.0,0.87,0.68,0.15,0.5
20240501,21.922,22.072,22.092,21.922,53125,1332096.0,0.77,-0.05,-0.01,0.27
20240502,22.052,22.152,22.172,22.052,42311,1065097.0,0.54,0.36,0.08,0.21
20240503,22.272,22.612,22.612,22.247,564808,14139718.0,1.65,2.08,0.46,2.82
20240506,22.642,22.665,22.712,22.588,117383,2962486.0,0.55,0.23,0.053,0.59
20240507,22.722,22.672,22.752,22.622,472076,11919101.0,0.57,0.03,0.007,2.36
20240508,22.622,22.652,22.682,22.512,42121,1061336.0,0.75,-0.09,-0.02,0.21
20240509,22.712,22.712,22.712,22.592,259158,6535415.0,0.53,0.26,0.06,1.3
20240510,22.742,22.662,22.742,22.553,74926,1887478.0,0.83,-0.22,-0.05,0.37
20240513,22.672,22.647,22.712,22.532,62532,1577022.0,0.79,-0.07,-0.015,0.31
20240514,22.652,22.632,22.652,22.542,32744,824320.0,0.49,-0.07,-0.015,0.16
20240515,22.742,22.722,22.782,22.697,37991,962106.0,0.38,0.4,0.09,0.19
20240516,22.682,22.672,22.752,22.646,55530,1401971.0,0.47,-0.22,-0.05,0.28
20240517,22.672,22.642,22.672,22.602,76744,1935111.0,0.31,-0.13,-0.03,0.38
20240520,22.672,22.672,22.672,22.622,26822,677028.0,0.22,0.13,0.03,0.13
20240521,22.802,22.672,22.802,22.642,30373,767940.0,0.71,0.0,0.0,0.15
20240522,22.672,22.622,22.672,22.502,47060,1184331.0,0.75,-0.22,-0.05,0.24
20240523,22.622,22.462,22.622,22.422,52002,1301597.0,0.88,-0.71,-0.16,0.26
20240524,22.442,22.572,22.572,22.442,10480,263236.0,0.58,0.49,0.11,0.05
20240528,22.622,22.532,22.666,22.507,29058,730283.0,0.7,-0.18,-0.04,0.15
20240529,22.582,22.537,22.582,22.472,38088,955741.0,0.49,0.02,0.005,0.19
20240530,22.602,22.662,22.662,22.512,42626,1070889.0,0.67,0.55,0.125,0.21
20240531,22.822,22.722,22.842,22.582,345019,8727972.0,1.15,0.26,0.06,1.73
20240603,22.822,22.722,22.822,22.662,46663,1180082.0,0.7,0.0,0.0,0.23
20240604,22.802,22.852,22.892,22.752,43109,1094364.0,0.62,0.57,0.13,0.22
20240605,22.942,22.852,22.942,22.692,73032,1852987.0,1.09,0.0,0.0,0.37
20240606,22.872,22.732,22.872,22.712,89411,2264282.0,0.7,-0.53,-0.12,0.45
20240607,22.672,22.712,22.822,22.622,56978,1441829.0,0.88,-0.09,-0.02,0.28
20240610,22.712,22.722,22.751,22.712,260132,6581650.0,0.17,0.04,0.01,1.3
20240611,22.742,22.742,22.742,22.602,96669,2443949.0,0.62,0.09,0.02,0.48
20240612,22.762,22.822,22.922,22.742,58089,1475994.0,0.79,0.35,0.08,0.29
20240613,22.882,22.912,22.922,22.742,67786,1724498.0,0.79,0.39,0.09,0.34
20240614,22.962,22.782,22.962,22.777,22983,584456.0,0.81,-0.57,-0.13,0.11
20240617,22.852,22.817,22.892,22.732,34745,882394.0,0.7,0.15,0.035,0.17
20240618,22.872,22.832,22.992,22.74,114790,2923951.0,1.1,0.07,0.015,0.57
20240620,22.922,22.812,23.012,22.812,50910,1296350.0,0.88,-0.09,-0.02,0.25
20240621,22.862,22.852,22.992,22.822,44747,1138916.0,0.75,0.18,0.04,0.22
20240624,22.892,22.912,22.972,22.812,39658,1010151.0,0.7,0.26,0.06,0.2
20240625,22.922,22.922,23.012,22.842,91611,2335040.0,0.74,0.04,0.01,0.46
20240626,22.922,22.922,22.922,22.852,37849,964480.0,0.31,0.0,0.0,0.19
20240627,22.992,22.972,23.022,22.942,119202,3044727.0,0.35,0.22,0.05,0.6
20240628,22.842,22.932,23.222,22.842,696358,17784503.0,1.65,-0.17,-0.04,3.48
20240701,22.992,22.852,22.992,22.782,40561,1033348.0,0.92,-0.35,-0.08,0.2
20240702,22.902,22.812,22.902,22.752,102305,2596755.0,0.66,-0.18,-0.04,0.51
20240703,22.842,22.842,22.962,22.842,11254,286713.0,0.53,0.13,0.03,0.06
20240705,22.992,22.887,22.992,22.862,8809,224403.0,0.57,0.2,0.045,0.04
20240708,22.967,22.912,23.002,22.862,24605,627292.0,0.61,0.11,0.025,0.12
20240709,22.972,22.882,23.012,22.782,110343,2807016.0,1.0,-0.13,-0.03,0.55
20240710,22.852,23.022,23.042,22.852,13896,354880.0,0.83,0.61,0.14,0.07
20240711,23.082,23.062,23.132,22.932,40719,1043828.0,0.87,0.17,0.04,0.2
20240712,23.092,23.102,23.122,23.032,24693,633558.0,0.39,0.17,0.04,0.12
20240715,23.122,23.062,23.122,22.962,78906,2021144.0,0.69,-0.17,-0.04,0.39
20240716,23.122,23.092,23.152,22.972,230717,5900112.0,0.78,0.13,0.03,1.15
20240717,23.092,23.142,23.166,23.062,16272,418357.0,0.45,0.22,0.05,0.08
20240718,23.102,23.122,23.122,23.042,21297,546512.0,0.35,-0.09,-0.02,0.11
20240719,23.162,23.112,23.192,23.022,14765,378734.0,0.74,-0.04,-0.01,0.07
20240722,23.222,23.142,23.222,23.032,20860,535445.0,0.82,0.13,0.03,0.1
20240723,23.112,23.112,23.112,23.022,54425,1394352.0,0.39,-0.13,-0.03,0.27
20240724,23.172,22.872,23.172,22.872,42245,1079885.0,1.3,-1.04,-0.24,0.21
20240725,22.942,22.957,23.022,22.902,38469,982619.0,0.52,0.37,0.085,0.19
20240726,23.062,23.002,23.092,22.922,62092,1587650.0,0.74,0.2,0.045,0.31
20240729,22.937,23.002,23.082,22.682,38489,980685.0,1.74,0.0,0.0,0.19
20240730,23.042,23.082,23.102,22.832,180398,4617984.0,1.17,0.35,0.08,0.9
20240731,23.152,22.932,23.172,22.842,335253,8576437.0,1.43,-0.65,-0.15,1.68
20240801,22.992,23.072,23.152,22.992,449016,11512817.0,0.7,0.61,0.14,2.25
20240802,23.122,23.032,23.132,22.942,34073,874020.0,0.82,-0.17,-0.04,0.17
20240805,22.858,22.888,22.898,22.578,111052,2753555.0,1.39,-0.63,-0.144,0.56
20240806,22.938,23.118,23.118,22.898,27009,676395.0,0.96,1.0,0.23,0.14
