trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20190320,11.969,12.399,12.439,11.969,156215,3968728.0,3.93,3.59,0.43,4.53
20190321,12.359,12.219,12.359,12.019,85061,2162490.0,2.74,-1.45,-0.18,2.47
20190322,12.269,12.299,13.309,12.169,88554,2264658.0,9.33,0.65,0.08,2.57
20190325,12.349,12.319,12.469,12.269,55148,1412901.0,1.63,0.16,0.02,1.6
20190326,12.349,12.559,12.559,12.349,67093,1725886.0,1.7,1.95,0.24,1.94
20190327,12.559,12.769,12.779,12.469,101109,2621025.0,2.47,1.67,0.21,2.93
20190328,12.769,12.909,12.959,12.729,64763,1691436.0,1.8,1.1,0.14,1.88
20190329,12.929,12.669,12.969,12.529,64806,1689112.0,3.41,-1.86,-0.24,1.88
20190401,12.659,12.839,12.849,12.629,38708,1006765.0,1.74,1.34,0.17,1.12
20190402,12.839,12.769,12.839,12.719,30486,794008.0,0.93,-0.55,-0.07,0.88
20190403,12.809,13.009,13.009,12.669,31813,829623.0,2.66,1.88,0.24,0.92
20190404,12.999,13.259,13.269,12.889,40260,1061624.0,2.92,1.92,0.25,1.17
20190405,13.579,13.419,13.579,13.039,105114,2805970.0,4.07,1.21,0.16,3.05
20190408,13.469,13.119,13.469,13.099,31246,830950.0,2.76,-2.24,-0.3,0.91
20190409,13.399,13.179,13.399,12.989,6890,181745.0,3.13,0.46,0.06,0.2
20190410,13.349,12.969,13.349,12.929,24640,648053.0,3.19,-1.59,-0.21,0.71
20190411,12.979,13.069,13.169,12.899,15730,413978.0,2.08,0.77,0.1,0.46
20190412,13.229,13.019,13.229,12.969,22695,598156.0,1.99,-0.38,-0.05,0.66
20190415,13.019,13.089,13.109,12.969,11201,294989.0,1.08,0.54,0.07,0.32
20190416,13.209,13.289,13.459,13.099,46483,1235745.0,2.75,1.53,0.2,1.35
20190417,13.399,13.069,13.469,13.069,42895,1141829.0,3.01,-1.66,-0.22,1.24
20190418,13.369,13.359,13.469,13.089,36288,964234.0,2.91,2.22,0.29,1.05
20190422,13.379,13.339,13.469,13.179,7166,190980.0,2.17,-0.15,-0.02,0.21
20190423,13.229,13.039,13.319,13.039,35062,926380.0,2.1,-2.25,-0.3,1.02
20190424,13.119,13.069,13.259,13.039,16811,444161.0,1.69,0.23,0.03,0.49
20190425,13.299,12.969,13.299,12.969,17446,459711.0,2.53,-0.77,-0.1,0.51
20190426,13.139,13.069,13.219,13.069,17865,472239.0,1.16,0.77,0.1,0.52
20190429,13.219,13.269,13.269,13.139,6124,162263.0,0.99,1.53,0.2,0.18
20190430,13.369,13.419,13.459,13.369,17690,472245.0,0.68,1.13,0.15,0.51
20190501,13.419,13.439,13.469,13.219,13274,354109.0,1.86,0.15,0.02,0.38
20190502,13.469,13.419,13.469,13.389,8960,239477.0,0.6,-0.15,-0.02,0.26
20190503,13.519,13.489,13.599,13.399,9317,249524.0,1.49,0.52,0.07,0.27
20190506,13.519,13.439,13.599,13.369,11450,305642.0,1.71,-0.37,-0.05,0.33
20190507,13.399,13.269,13.469,13.259,21393,569699.0,1.56,-1.26,-0.17,0.62
20190508,13.319,13.219,13.379,13.109,35891,952393.0,2.03,-0.38,-0.05,1.04
20190509,13.509,13.009,13.509,13.009,13715,363037.0,3.78,-1.59,-0.21,0.4
20190510,13.029,13.069,13.419,13.029,16125,425444.0,3.0,0.46,0.06,0.47
20190513,13.199,12.979,13.409,12.979,21017,555339.0,3.29,-0.69,-0.09,0.61
20190514,13.099,13.019,13.309,12.989,8324,219084.0,2.47,0.31,0.04,0.24
20190515,13.049,13.239,13.469,13.049,12798,340235.0,3.23,1.69,0.22,0.37
20190516,13.449,13.299,13.459,13.119,13459,356911.0,2.57,0.45,0.06,0.39
20190517,13.309,13.099,13.319,13.099,30854,816893.0,1.65,-1.5,-0.2,0.89
20190520,13.239,13.119,13.239,13.049,10718,282919.0,1.45,0.15,0.02,0.31
20190521,13.169,13.189,13.209,13.089,9722,256848.0,0.91,0.53,0.07,0.28
20190522,13.179,13.139,13.199,13.129,2844,75212.0,0.53,-0.38,-0.05,0.08
20190523,13.179,12.819,13.219,12.719,37575,985993.0,3.81,-2.44,-0.32,1.09
20190524,12.929,12.869,13.159,12.869,5437,142497.0,2.26,0.39,0.05,0.16
20190528,12.929,13.019,13.089,12.929,9379,246260.0,1.24,1.17,0.15,0.27
20190529,13.079,12.989,13.109,12.969,6769,178479.0,1.08,-0.23,-0.03,0.2
20190530,13.039,13.029,13.059,13.009,7368,193973.0,0.38,0.31,0.04,0.21
20190531,13.049,12.919,13.059,12.919,8096,212691.0,1.07,-0.84,-0.11,0.23
20190603,12.899,12.949,13.149,12.899,5410,142480.0,1.94,0.23,0.03,0.16
20190604,13.069,13.169,13.169,13.009,17281,454924.0,1.24,1.7,0.22,0.5
20190605,13.54,13.61,13.68,13.47,24260,638684.0,1.59,3.35,0.441,0.7
