trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20180619,62.94,63.148,63.198,62.94,780,58959.0,0.0,0.0,0.0,0.0
20180620,63.399,63.732,63.732,63.399,336,25616.0,0.53,0.92,0.584,0.0
20180621,64.75,64.008,64.75,63.991,650849,49998278.0,1.19,0.43,0.276,0.0
20180622,65.317,64.683,65.317,64.55,998,77704.0,1.2,1.05,0.675,0.0
20180625,64.441,64.441,64.575,64.241,3313,255958.0,0.52,-0.37,-0.242,0.0
20180626,64.842,64.733,64.842,64.708,310,24066.0,0.21,0.45,0.292,0.0
20180627,64.917,64.558,64.917,64.558,300,23261.0,0.55,-0.27,-0.175,0.0
20180628,64.583,64.925,64.925,64.575,2601,201939.0,0.54,0.57,0.367,0.0
20180629,64.817,64.817,64.817,64.808,890,69151.0,0.01,-0.17,-0.108,0.0
20180702,66.151,64.466,66.151,64.233,301,23435.0,2.96,-0.54,-0.351,0.0
20180703,65.351,65.484,65.484,65.351,200,15684.0,0.21,1.58,1.018,0.0
20180705,65.526,65.526,65.526,65.526,300,23565.0,0.0,0.06,0.042,0.0
20180706,66.41,66.302,66.41,66.302,496,39455.0,0.16,1.18,0.776,0.0
20180709,66.402,66.176,66.402,66.176,215,17084.0,0.34,-0.19,-0.126,0.0
20180711,66.176,66.176,66.176,66.176,100,0.0,0.0,0.0,0.0,0.0
20180712,65.993,65.993,65.993,65.993,100,7911.0,0.0,-0.28,-0.183,0.0
20180713,65.993,65.993,65.993,65.993,88,0.0,0.0,0.0,0.0,0.0
20180716,65.993,65.993,65.993,65.993,100,0.0,0.0,0.0,0.0,0.0
20180718,64.783,64.6,64.783,64.6,526,40772.0,0.28,-2.11,-1.393,0.0
20180719,65.509,65.509,65.509,65.509,130,10209.0,0.0,1.41,0.909,0.0
20180720,65.059,65.059,65.059,65.059,142,11075.0,0.0,-0.69,-0.45,0.0
20180724,65.059,65.059,65.059,65.059,5,0.0,0.0,0.0,0.0,0.0
