trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20141023,236.8,285.0,285.0,232.2,174595,0.0,24.4,31.7,68.6,0.47
20141024,255.3,270.0,270.0,247.1,177993,0.0,8.04,-5.26,-15.0,0.48
20141027,250.5,265.1,267.7,250.0,252741,0.0,6.56,-1.81,-4.9,0.69
20141028,248.5,255.0,257.9,248.2,199360,0.0,3.66,-3.81,-10.1,0.54
20141029,247.7,249.9,253.7,245.3,320811,0.0,3.29,-2.0,-5.1,0.87
20141030,247.5,250.5,253.6,246.4,78634,0.0,2.88,0.24,0.6,0.21
20141031,241.9,250.9,254.6,240.1,233721,0.0,5.79,0.16,0.4,0.63
20141103,256.3,252.8,256.3,249.6,100550,0.0,2.67,0.76,1.9,0.27
20141104,247.4,250.0,251.9,246.7,71721,0.0,2.06,-1.11,-2.8,0.19
20141105,249.9,251.8,251.8,248.5,131653,0.0,1.32,0.72,1.8,0.36
20141106,248.9,243.1,249.7,241.0,38223,0.0,3.46,-3.46,-8.7,0.1
20141107,243.9,237.4,243.9,232.0,36696,0.0,4.9,-2.34,-5.7,0.1
20141110,237.3,237.1,249.1,232.9,35632,0.0,6.82,-0.13,-0.3,0.1
20141111,239.6,242.5,243.7,236.6,34826,0.0,2.99,2.28,5.4,0.09
20141112,237.6,235.3,240.7,234.0,86139,0.0,2.76,-2.97,-7.2,0.23
20141113,238.4,247.5,253.4,238.0,58139,0.0,6.54,5.18,12.2,0.16
20141114,245.7,241.7,245.7,238.9,15627,0.0,2.75,-2.34,-5.8,0.04
20141117,240.5,245.4,247.4,240.2,44831,0.0,2.98,1.53,3.7,0.12
20141118,245.1,249.9,249.9,244.9,25659,0.0,2.04,1.83,4.5,0.07
20141119,251.0,253.8,254.9,247.0,58306,0.0,3.16,1.56,3.9,0.16
20141120,251.0,255.8,256.0,248.8,21697,0.0,2.84,0.79,2.0,0.06
20141121,251.4,254.3,259.8,251.4,96738,0.0,3.28,-0.59,-1.5,0.26
20141124,253.2,256.0,258.0,250.7,22086,0.0,2.87,0.67,1.7,0.06
20141125,255.6,255.1,256.7,251.6,50309,0.0,1.99,-0.35,-0.9,0.14
20141126,252.9,255.5,255.5,249.7,31270,0.0,2.27,0.16,0.4,0.08
20141128,253.4,255.7,257.8,251.7,19646,0.0,2.39,0.08,0.2,0.05
20141201,253.9,254.2,256.7,252.0,79330,0.0,1.84,-0.59,-1.5,0.22
20141202,254.8,264.7,270.4,254.2,64906,0.0,6.37,4.13,10.5,0.18
20141203,265.0,261.6,267.3,261.2,36301,0.0,2.3,-1.17,-3.1,0.1
20141204,262.8,260.9,264.4,259.1,19297,0.0,2.03,-0.27,-0.7,0.05
20141205,260.9,259.9,261.0,255.8,39832,0.0,1.99,-0.38,-1.0,0.11
20141208,260.0,266.0,269.4,259.4,32947,0.0,3.85,2.35,6.1,0.09
20141209,257.8,261.8,261.9,251.6,123632,0.0,3.87,-1.58,-4.2,0.34
20141210,260.4,259.9,263.5,258.3,73297,0.0,1.99,-0.73,-1.9,0.2
20141211,256.3,267.5,272.0,254.8,81156,0.0,6.62,2.92,7.6,0.22
20141212,262.8,270.2,275.9,260.8,86696,0.0,5.64,1.01,2.7,0.24
20141215,267.5,263.4,271.9,260.3,117604,0.0,4.29,-2.52,-6.8,0.32
20141216,260.9,259.1,260.9,255.2,88404,0.0,2.16,-1.63,-4.3,0.24
20141217,262.3,263.1,265.7,261.4,29997,0.0,1.66,1.54,4.0,0.08
20141218,259.0,264.4,264.7,259.0,37266,0.0,2.17,0.49,1.3,0.1
20141219,268.8,271.3,272.7,263.9,37868,0.0,3.33,2.61,6.9,0.1
20141222,273.1,270.4,274.4,267.7,37835,0.0,2.47,-0.33,-0.9,0.1
20141223,274.4,261.5,274.4,261.3,65492,0.0,4.84,-3.29,-8.9,0.18
20141224,266.0,268.1,268.7,264.5,26014,0.0,1.61,2.52,6.6,0.07
20141226,268.6,271.1,271.6,267.2,35658,0.0,1.64,1.12,3.0,0.1
20141229,267.5,265.9,269.5,265.9,38381,0.0,1.33,-1.92,-5.2,0.1
20141230,264.9,268.1,269.7,263.6,23974,0.0,2.29,0.83,2.2,0.06
20141231,269.9,271.2,273.0,266.2,48572,0.0,2.54,1.16,3.1,0.13
20150102,271.3,282.0,284.0,271.3,92046,0.0,4.68,3.98,10.8,0.24
20150105,276.8,275.1,278.9,274.0,15978,0.0,1.74,-2.45,-6.9,0.04
20150106,268.7,267.7,272.0,266.7,23934,0.0,1.93,-2.69,-7.4,0.06
20150107,264.3,266.5,269.0,256.0,35965,0.0,4.86,-0.45,-1.2,0.09
20150108,266.1,270.6,272.5,266.0,28267,0.0,2.44,1.54,4.1,0.07
20150109,267.3,271.2,271.3,266.9,11912,0.0,1.63,0.22,0.6,0.03
20150112,274.3,268.7,274.3,267.4,67497,0.0,2.54,-0.92,-2.5,0.18
20150113,267.3,268.6,272.2,267.3,14168,0.0,1.82,-0.04,-0.1,0.04
20150114,267.5,274.5,275.1,266.2,51325,0.0,3.31,2.2,5.9,0.13
20150115,268.8,268.8,270.5,267.0,20765,0.0,1.28,-2.08,-5.7,0.05
20150116,264.7,268.1,270.7,263.7,137204,0.0,2.6,-0.26,-0.7,0.36
20150120,269.4,257.6,269.4,257.4,75052,0.0,4.48,-3.92,-10.5,0.2
20150121,251.5,251.6,263.0,248.9,41797,0.0,5.47,-2.33,-6.0,0.11
20150122,251.4,257.0,262.2,251.2,146967,0.0,4.37,2.15,5.4,0.38
20150123,252.4,254.3,254.9,251.4,57488,0.0,1.36,-1.05,-2.7,0.15
20150126,253.5,254.4,257.4,252.5,12093,0.0,1.93,0.04,0.1,0.03
20150127,254.5,259.4,259.4,254.5,28415,0.0,1.93,1.97,5.0,0.07
20150128,257.2,254.9,262.1,254.6,106537,0.0,2.89,-1.73,-4.5,0.28
20150129,246.4,249.0,251.1,243.7,84536,0.0,2.9,-2.31,-5.9,0.22
20150130,241.3,244.2,246.7,240.0,68329,0.0,2.69,-1.93,-4.8,0.18
20150202,234.6,236.1,260.0,231.6,233922,0.0,11.63,-3.32,-8.1,0.61
20150203,231.3,233.4,236.0,229.1,299193,0.0,2.92,-1.14,-2.7,0.78
20150204,229.9,230.1,233.2,228.8,73268,0.0,1.89,-1.41,-3.3,0.19
20150205,227.8,227.7,228.5,223.8,110529,0.0,2.04,-1.04,-2.4,0.29
20150206,221.9,218.6,223.5,215.0,300408,0.0,3.73,-4.0,-9.1,0.78
20150209,218.4,226.9,228.2,217.6,65706,0.0,4.85,3.8,8.3,0.17
20150210,225.3,229.3,231.8,225.3,97368,0.0,2.86,1.06,2.4,0.25
20150211,223.8,223.7,226.8,222.3,33137,0.0,1.96,-2.44,-5.6,0.09
20150212,223.8,226.8,226.8,222.4,27684,0.0,1.97,1.39,3.1,0.07
20150213,218.5,221.5,224.1,218.1,68380,0.0,2.65,-2.34,-5.3,0.18
20150217,228.3,230.3,232.1,227.9,29457,0.0,1.9,3.97,8.8,0.08
20150218,227.3,232.5,232.5,226.5,45210,0.0,2.61,0.96,2.2,0.12
20150219,227.3,232.5,232.5,227.3,42747,0.0,2.24,0.0,0.0,0.11
20150220,229.3,233.4,234.4,227.8,72693,0.0,2.84,0.39,0.9,0.19
20150223,231.4,236.2,239.6,230.5,250378,0.0,3.9,1.2,2.8,0.65
20150224,236.3,233.2,237.1,230.2,307708,0.0,2.92,-1.27,-3.0,0.8
20150225,225.6,224.5,228.0,222.4,222330,0.0,2.4,-3.73,-8.7,0.58
20150226,223.2,220.5,223.2,217.9,185538,0.0,2.36,-1.78,-4.0,0.48
20150227,219.4,216.7,221.1,215.8,169729,0.0,2.4,-1.72,-3.8,0.44
20150302,219.7,218.5,221.1,212.2,191108,0.0,4.11,0.83,1.8,0.5
20150303,217.0,214.2,217.0,211.7,96149,0.0,2.43,-1.97,-4.3,0.25
20150304,214.4,211.6,215.1,210.5,24593,0.0,2.15,-1.21,-2.6,0.06
20150305,212.9,211.9,214.7,211.2,39111,0.0,1.65,0.14,0.3,0.1
20150306,210.6,208.4,212.4,207.4,139963,0.0,2.36,-1.65,-3.5,0.37
20150309,209.6,212.3,212.7,209.5,177175,0.0,1.54,1.87,3.9,0.46
20150310,210.6,209.1,214.0,208.8,137377,0.0,2.45,-1.51,-3.2,0.36
20150311,207.1,208.0,211.5,206.5,405041,0.0,2.39,-0.53,-1.1,1.06
20150312,208.1,206.6,209.6,205.9,100089,0.0,1.78,-0.67,-1.4,0.26
20150313,205.3,206.2,207.3,202.6,494064,0.0,2.27,-0.19,-0.4,1.29
20150316,210.0,212.5,212.7,207.1,147003,0.0,2.72,3.06,6.3,0.38
20150317,210.7,212.5,214.3,210.5,243446,0.0,1.79,0.0,0.0,0.64
20150318,217.8,227.7,228.1,217.3,936364,0.0,5.08,7.15,15.2,2.44
20150319,221.7,225.9,226.7,220.7,201110,0.0,2.64,-0.79,-1.8,0.52
20150320,228.6,238.3,240.7,227.8,222382,0.0,5.71,5.49,12.4,0.58
20150323,235.4,236.3,237.8,230.5,162204,0.0,3.06,-0.84,-2.0,0.42
20150324,235.1,234.2,236.2,230.5,330231,0.0,2.41,-0.89,-2.1,0.85
20150325,234.0,237.2,237.9,231.5,424325,0.0,2.73,1.28,3.0,1.1
20150326,215.2,233.1,234.4,214.8,282015,0.0,8.26,-1.73,-4.1,0.73
20150327,235.8,231.1,235.8,226.0,138988,0.0,4.2,-0.86,-2.0,0.36
20150330,228.6,232.4,235.6,227.9,67102,0.0,3.33,0.56,1.3,0.17
20150331,228.8,233.6,234.6,227.4,143274,0.0,3.1,0.52,1.2,0.37
20150401,232.5,233.8,234.7,230.2,178387,0.0,1.93,0.09,0.2,0.46
20150402,232.5,246.9,249.1,232.2,277178,0.0,7.23,5.6,13.1,0.71
20150406,246.8,244.7,251.5,243.3,54177,0.0,3.32,-0.89,-2.2,0.14
20150407,240.4,243.4,244.7,239.0,101071,0.0,2.33,-0.53,-1.3,0.26
20150408,243.9,260.0,260.4,243.8,546003,0.0,6.82,6.82,16.6,1.4
20150409,268.0,274.4,279.9,264.0,325773,0.0,6.12,5.54,14.4,0.84
20150410,266.8,265.8,272.5,263.5,173236,0.0,3.28,-3.13,-8.6,0.45
20150413,260.1,253.2,260.3,251.0,1145776,0.0,3.5,-4.74,-12.6,2.95
20150414,252.6,254.2,259.6,252.6,117719,0.0,2.76,0.39,1.0,0.3
20150415,255.5,254.5,257.2,253.1,80102,0.0,1.61,0.12,0.3,0.21
20150416,255.9,254.7,257.0,253.5,29614,0.0,1.38,0.08,0.2,0.08
20150417,254.9,250.2,254.9,248.1,38085,0.0,2.67,-1.77,-4.5,0.1
