trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20130620,10500.0,10060.0,10500.0,10060.0,176,0.0,0.0,0.0,0.0,0.0
20130621,10500.0,10060.0,10060.0,10060.0,100,0.0,0.0,0.0,0.0,0.0
20130624,10500.0,10500.0,10500.0,10500.0,1000,0.0,0.0,4.37,440.0,0.02
20130625,10050.0,10350.0,10350.0,10050.0,300,0.0,2.86,-1.43,-150.0,0.0
20130626,10050.0,10350.0,10350.0,10050.0,300,0.0,2.9,0.0,0.0,0.0
20130627,10050.0,10350.0,10350.0,10050.0,300,0.0,2.9,0.0,0.0,0.0
20130628,10280.0,10280.0,10280.0,10280.0,5,0.0,0.0,-0.68,-70.0,0.0
20130701,10280.0,10280.0,10280.0,10280.0,5,0.0,0.0,0.0,0.0,0.0
20130702,10280.0,10280.0,10280.0,10280.0,5,0.0,0.0,0.0,0.0,0.0
20130703,10500.0,10500.0,10500.0,10500.0,300,0.0,0.0,2.14,220.0,0.0
20130705,10110.0,10390.0,10390.0,10110.0,500,0.0,2.67,-1.05,-110.0,0.01
20130708,9030.0,8310.0,9980.0,8200.0,4000,0.0,17.13,-20.02,-2080.0,0.06
20130709,9500.0,9830.0,9830.0,9500.0,800,0.0,3.97,18.29,1520.0,0.01
20130710,10100.0,10100.0,10100.0,10100.0,700,0.0,0.0,2.75,270.0,0.01
20130711,10100.0,10100.0,10100.0,10100.0,700,0.0,0.0,0.0,0.0,0.01
20130712,10000.0,9650.0,10000.0,9650.0,400,0.0,3.47,-4.46,-450.0,0.01
20130715,10200.0,10020.0,10290.0,10000.0,1900,0.0,3.01,3.83,370.0,0.03
20130716,8300.0,10000.0,10030.0,8300.0,700,0.0,17.27,-0.2,-20.0,0.01
20130717,8300.0,10000.0,10030.0,10000.0,607,0.0,0.3,0.0,0.0,0.01
20130718,8300.0,10000.0,10030.0,10000.0,607,0.0,0.3,0.0,0.0,0.01
20130719,8300.0,10000.0,10030.0,10000.0,607,0.0,0.3,0.0,0.0,0.01
20130722,9900.0,9900.0,9900.0,9900.0,100,0.0,0.0,-1.0,-100.0,0.0
20130723,9720.0,9720.0,9720.0,9720.0,725,0.0,0.0,-1.82,-180.0,0.01
20130724,9720.0,9720.0,9720.0,9720.0,725,0.0,0.0,0.0,0.0,0.01
20130725,9720.0,9720.0,9720.0,9720.0,725,0.0,0.0,0.0,0.0,0.01
20130726,9720.0,9720.0,9720.0,9720.0,725,0.0,0.0,0.0,0.0,0.01
20130729,9920.0,10090.0,10100.0,9830.0,900,0.0,2.78,3.81,370.0,0.01
20130730,10000.0,10020.0,10270.0,9820.0,900,0.0,4.46,-0.69,-70.0,0.01
20130731,10240.0,10240.0,10240.0,10240.0,700,0.0,0.0,2.2,220.0,0.01
20130801,10020.0,10500.0,10500.0,10020.0,2700,0.0,4.69,2.54,260.0,0.04
20130802,10680.0,10400.0,10680.0,10360.0,1328,0.0,3.05,-0.95,-100.0,0.02
20130805,10020.0,10210.0,10480.0,10020.0,300,0.0,4.42,-1.83,-190.0,0.0
20130806,10450.0,10370.0,10500.0,10100.0,1889,0.0,3.92,1.57,160.0,0.03
20130807,10370.0,10370.0,10370.0,10370.0,200,0.0,0.0,0.0,0.0,0.0
20130808,10330.0,10160.0,10330.0,10160.0,200,0.0,1.64,-2.03,-210.0,0.0
20130809,10330.0,10160.0,10330.0,10160.0,200,0.0,1.67,0.0,0.0,0.0
20130812,10400.0,10500.0,10500.0,10160.0,9699,0.0,3.35,3.35,340.0,0.16
20130813,10500.0,10500.0,10500.0,10500.0,5700,0.0,0.0,0.0,0.0,0.09
20130814,10500.0,10500.0,10500.0,10480.0,1000,0.0,0.19,0.0,0.0,0.02
20130815,10420.0,10450.0,10480.0,10120.0,1200,0.0,3.43,-0.48,-50.0,0.02
20130816,9900.0,10010.0,10460.0,9810.0,1900,0.0,6.22,-4.21,-440.0,0.03
20130819,10310.0,10500.0,10500.0,10300.0,1100,0.0,2.0,4.9,490.0,0.02
20130820,10500.0,10490.0,10530.0,10200.0,33003,0.0,3.14,-0.1,-10.0,0.53
20130821,10500.0,10590.0,11250.0,10380.0,19400,0.0,8.29,0.95,100.0,0.31
20130822,10690.0,10550.0,10690.0,10430.0,3833,0.0,2.46,-0.38,-40.0,0.06
20130823,10680.0,10400.0,10680.0,10000.0,11100,0.0,6.45,-1.42,-150.0,0.18
20130826,10200.0,10390.0,10390.0,9990.0,5481,0.0,3.85,-0.1,-10.0,0.09
20130827,9800.0,10000.0,10580.0,9800.0,1134,0.0,7.51,-3.75,-390.0,0.02
20130828,10060.0,9850.0,10060.0,9800.0,1200,0.0,2.6,-1.5,-150.0,0.02
20130829,10000.0,10000.0,10000.0,10000.0,100,0.0,0.0,1.52,150.0,0.0
20130830,10490.0,10490.0,10490.0,10490.0,100,0.0,0.0,4.9,490.0,0.0
20130903,10280.0,10480.0,10480.0,9900.0,800,0.0,5.53,-0.1,-10.0,0.01
20130904,10470.0,9900.0,10470.0,9800.0,2720,0.0,6.39,-5.53,-580.0,0.04
20130905,9770.0,9890.0,9890.0,9510.0,1500,0.0,3.84,-0.1,-10.0,0.02
20130906,9560.0,9990.0,9990.0,9560.0,1100,0.0,4.35,1.01,100.0,0.02
20130910,10070.0,10100.0,10100.0,10070.0,1500,0.0,0.3,1.1,110.0,0.02
20130911,9900.0,10060.0,10060.0,9720.0,1578,0.0,3.37,-0.4,-40.0,0.03
20130912,9720.0,9730.0,9750.0,9720.0,1300,0.0,0.3,-3.28,-330.0,0.02
20130913,9760.0,9900.0,9900.0,9600.0,700,0.0,3.08,1.75,170.0,0.01
20130916,9550.0,9850.0,9850.0,9550.0,200,0.0,3.03,-0.51,-50.0,0.0
20130917,9770.0,9800.0,9800.0,9750.0,1008,0.0,0.51,-0.51,-50.0,0.02
20130918,9890.0,9800.0,9900.0,9800.0,4972,0.0,1.02,0.0,0.0,0.08
20130919,9700.0,10200.0,10390.0,9580.0,4700,0.0,8.27,4.08,400.0,0.08
20130920,9900.0,9810.0,9910.0,9700.0,1050,0.0,2.06,-3.82,-390.0,0.02
20130923,9600.0,9990.0,10000.0,9600.0,1000,0.0,4.08,1.83,180.0,0.02
20130924,9600.0,10200.0,10200.0,9600.0,1000,0.0,6.01,2.1,210.0,0.02
20130925,10200.0,10200.0,10200.0,10200.0,0,0.0,0.0,0.0,0.0,0.0
20130926,10200.0,10300.0,10500.0,10200.0,2500,0.0,2.94,0.98,100.0,0.04
20130927,10310.0,10700.0,10700.0,10310.0,530,0.0,3.79,3.88,400.0,0.01
20130930,11000.0,10730.0,11000.0,10650.0,1155,0.0,3.27,0.28,30.0,0.02
20131001,10770.0,10770.0,10770.0,10010.0,300,0.0,7.08,0.37,40.0,0.0
20131002,11490.0,11150.0,11490.0,10800.0,11764,0.0,6.41,3.53,380.0,0.19
20131003,10300.0,10920.0,11000.0,10300.0,991,0.0,6.28,-2.06,-230.0,0.02
20131004,10650.0,10650.0,10650.0,10650.0,500,0.0,0.0,-2.47,-270.0,0.01
20131007,10540.0,10750.0,10750.0,10540.0,500,0.0,1.97,0.94,100.0,0.01
20131008,10600.0,9800.0,10630.0,9800.0,4270,0.0,7.72,-8.84,-950.0,0.07
20131009,10200.0,10000.0,10200.0,10000.0,700,0.0,2.04,2.04,200.0,0.01
20131010,9860.0,10000.0,10030.0,9650.0,1710,0.0,3.8,0.0,0.0,0.03
20131011,9900.0,9800.0,10000.0,9750.0,1942,0.0,2.5,-2.0,-200.0,0.03
20131014,10300.0,10000.0,10300.0,9690.0,700,0.0,6.22,2.04,200.0,0.01
20131015,10200.0,10050.0,10240.0,10050.0,5300,0.0,1.9,0.5,50.0,0.09
20131016,9510.0,9800.0,10000.0,9510.0,4230,0.0,4.88,-2.49,-250.0,0.07
20131017,9910.0,9800.0,9910.0,9800.0,2009,0.0,1.12,0.0,0.0,0.03
20131018,9910.0,9910.0,9910.0,9910.0,100,0.0,0.0,1.12,110.0,0.0
20131021,10020.0,10550.0,10750.0,9990.0,9115,0.0,7.67,6.46,640.0,0.15
20131022,10730.0,10920.0,10920.0,10670.0,12550,0.0,2.37,3.51,370.0,0.2
20131023,10680.0,10670.0,10760.0,10580.0,5850,0.0,1.65,-2.29,-250.0,0.09
20131024,10670.0,10740.0,10920.0,10450.0,12200,0.0,4.4,0.66,70.0,0.2
20131025,10620.0,10340.0,10740.0,10340.0,4000,0.0,3.72,-3.72,-400.0,0.06
20131028,10500.0,10790.0,10790.0,10500.0,5900,0.0,2.8,4.35,450.0,0.1
20131029,10650.0,10700.0,10750.0,10650.0,6560,0.0,0.93,-0.83,-90.0,0.11
20131030,10720.0,10740.0,10740.0,10620.0,2400,0.0,1.12,0.37,40.0,0.04
20131031,10630.0,10990.0,12540.0,10630.0,6975,0.0,17.78,2.33,250.0,0.11
20131101,11170.0,10970.0,11170.0,10620.0,7000,0.0,5.0,-0.18,-20.0,0.11
20131104,10830.0,10780.0,10850.0,10780.0,3500,0.0,0.64,-1.73,-190.0,0.06
20131105,10690.0,10510.0,10730.0,10100.0,3300,0.0,5.84,-2.5,-270.0,0.05
20131106,10460.0,10380.0,10460.0,10380.0,800,0.0,0.76,-1.24,-130.0,0.01
20131107,10340.0,10360.0,10390.0,10250.0,2480,0.0,1.35,-0.19,-20.0,0.04
20131108,10500.0,10500.0,10500.0,10500.0,100,0.0,0.0,1.35,140.0,0.0
20131111,10190.0,10180.0,10190.0,10050.0,2501,0.0,1.33,-3.05,-320.0,0.04
20131112,10170.0,10060.0,10180.0,10060.0,500,0.0,1.18,-1.18,-120.0,0.01
20131113,10000.0,10000.0,10000.0,10000.0,500,0.0,0.0,-0.6,-60.0,0.01
20131115,9510.0,9940.0,10000.0,9010.0,3537,0.0,9.9,-0.6,-60.0,0.06
20131118,9300.0,9990.0,9990.0,9210.0,8150,0.0,7.85,0.5,50.0,0.13
20131120,9800.0,9510.0,9800.0,9510.0,7050,0.0,2.9,-4.8,-480.0,0.11
20131121,9900.0,10050.0,10050.0,9880.0,12970,0.0,1.79,5.68,540.0,0.21
20131122,10050.0,10500.0,10570.0,10050.0,600,0.0,5.17,4.48,450.0,0.01
20131125,10600.0,10620.0,10620.0,10600.0,1225,0.0,0.19,1.14,120.0,0.02
20131126,10510.0,10620.0,10620.0,10500.0,4680,0.0,1.13,0.0,0.0,0.08
20131127,10650.0,10700.0,10960.0,10100.0,2219,0.0,8.1,0.75,80.0,0.04
20131129,11000.0,10520.0,11000.0,10520.0,4400,0.0,4.49,-1.68,-180.0,0.07
20131202,10490.0,10600.0,10800.0,10490.0,1850,0.0,2.95,0.76,80.0,0.03
20131203,10540.0,10560.0,10560.0,10490.0,700,0.0,0.66,-0.38,-40.0,0.01
20131204,10450.0,10080.0,10450.0,9650.0,2150,0.0,7.58,-4.55,-480.0,0.03
20131205,10190.0,10190.0,10190.0,10190.0,100,0.0,0.0,1.09,110.0,0.0
20131206,10190.0,10190.0,10190.0,10190.0,500,0.0,0.0,0.0,0.0,0.01
20131209,9800.0,10390.0,10390.0,9800.0,350,0.0,5.79,1.96,200.0,0.01
20131211,10000.0,10000.0,10200.0,9750.0,4150,0.0,4.33,-3.75,-390.0,0.07
20131212,9990.0,10160.0,10160.0,9750.0,1300,0.0,4.1,1.6,160.0,0.02
20131213,9750.0,9760.0,9760.0,9750.0,800,0.0,0.1,-3.94,-400.0,0.01
20131216,9980.0,9940.0,10730.0,9940.0,4300,0.0,8.09,1.84,180.0,0.07
20131217,10020.0,10210.0,10210.0,10020.0,2700,0.0,1.91,2.72,270.0,0.04
20131218,10020.0,9970.0,10020.0,9960.0,4900,0.0,0.59,-2.35,-240.0,0.08
20131219,9730.0,9750.0,9850.0,9680.0,9175,0.0,1.71,-2.21,-220.0,0.15
20131220,9730.0,9880.0,9900.0,9730.0,2001,0.0,1.74,1.33,130.0,0.03
20131223,10250.0,10250.0,10500.0,10100.0,11008,0.0,4.05,3.74,370.0,0.18
20131224,10300.0,10300.0,10300.0,10300.0,140,0.0,0.0,0.49,50.0,0.0
20131226,10450.0,11250.0,11450.0,10430.0,25445,0.0,9.9,9.22,950.0,0.41
20131227,11190.0,11170.0,12100.0,10860.0,12580,0.0,11.02,-0.71,-80.0,0.2
20131230,10990.0,10900.0,10990.0,10900.0,6725,0.0,0.81,-2.42,-270.0,0.11
20131231,10890.0,11800.0,12000.0,10700.0,6429,0.0,11.93,8.26,900.0,0.1
20140102,11800.0,12380.0,12550.0,11800.0,9034,0.0,6.36,4.92,580.0,0.14
20140103,12470.0,12430.0,12470.0,12380.0,6004,0.0,0.73,0.4,50.0,0.09
20140106,12400.0,13490.0,13640.0,12400.0,15120,0.0,9.98,8.53,1060.0,0.23
20140107,13380.0,13090.0,13380.0,13000.0,3400,0.0,2.82,-2.97,-400.0,0.05
20140108,13450.0,13210.0,13450.0,13030.0,8985,0.0,3.21,0.92,120.0,0.14
