trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240920,10.0,10.0,10.02,10.0,1344833,13455683.0,0.2,0.0,0.0,21.59
20240923,10.0,10.01,10.01,10.0,231206,2314367.0,0.1,0.1,0.01,3.71
20240924,10.04,10.05,10.05,10.04,12528,125904.0,0.1,0.4,0.04,0.2
20240925,10.0,10.002,10.05,10.0,29202,292775.0,0.5,-0.48,-0.048,0.47
20240926,10.04,10.02,10.04,10.01,102103,1023056.0,0.3,0.18,0.018,1.64
20240927,10.01,10.01,10.01,10.01,50707,507577.0,0.0,-0.1,-0.01,0.81
20240930,10.02,10.02,10.02,10.02,1570,15731.0,0.0,0.1,0.01,0.03
20241001,10.01,10.02,10.02,10.01,73744,738427.0,0.1,0.0,0.0,1.18
20241002,10.01,10.012,10.02,10.01,151234,1515354.0,0.1,-0.08,-0.008,2.43
20241003,10.02,10.02,10.02,10.02,2000,20040.0,0.0,0.08,0.008,0.03
20241007,10.02,10.02,10.02,10.02,9,90.0,0.0,0.0,0.0,0.0
20241008,10.023,10.023,10.023,10.023,500,5011.0,0.0,0.03,0.003,0.01
20241009,10.04,10.04,10.04,10.02,101803,1022068.0,0.2,0.17,0.017,1.63
20241010,10.022,10.04,10.04,10.015,25639,256902.0,0.25,0.0,0.0,0.41
20241011,10.03,10.03,10.03,10.015,11206,112294.0,0.15,-0.1,-0.01,0.18
20241014,10.03,10.03,10.03,10.03,14,140.0,0.0,0.0,0.0,0.0
20241015,10.03,10.03,10.03,10.02,6722,67360.0,0.1,0.0,0.0,0.11
20241016,10.03,10.03,10.038,10.03,906,9089.0,0.08,0.0,0.0,0.01
20241017,10.03,10.03,10.03,10.03,500,5015.0,0.0,0.0,0.0,0.01
20241018,10.03,10.03,10.03,10.03,513,5145.0,0.0,0.0,0.0,0.01
20241022,10.04,10.05,10.05,10.04,40302,405032.0,0.1,0.2,0.02,0.65
20241023,10.05,10.06,10.07,10.05,20815,209444.0,0.2,0.1,0.01,0.33
20241028,10.15,10.098,10.15,10.098,700,7099.0,0.52,0.38,0.038,0.01
20241029,10.06,10.07,10.07,10.06,202600,2038404.0,0.1,-0.28,-0.028,3.25
20241030,10.06,10.065,10.065,10.06,1692,17022.0,0.05,-0.05,-0.005,0.03
20241031,10.12,10.08,10.12,10.07,16592,167256.0,0.5,0.15,0.015,0.27
20241101,10.07,10.07,10.07,10.07,20000,201400.0,0.0,-0.1,-0.01,0.32
20241106,10.07,10.07,10.07,10.07,17,171.0,0.0,0.0,0.0,0.0
20241107,10.08,10.08,10.08,10.08,101,1018.0,0.0,0.1,0.01,0.0
20241111,10.12,10.08,10.12,10.08,10101,102218.0,0.4,0.0,0.0,0.16
20241114,10.09,10.09,10.09,10.09,102,1029.0,0.0,0.1,0.01,0.0
20241118,10.09,10.09,10.09,10.09,63,635.0,0.0,0.0,0.0,0.0
20241119,10.09,10.09,10.09,10.09,49,494.0,0.0,0.0,0.0,0.0
20241121,10.09,10.09,10.09,10.09,44,443.0,0.0,0.0,0.0,0.0
20241226,10.12,10.12,10.12,10.12,101,1022.0,0.0,0.3,0.03,0.0
20241227,10.15,10.12,10.25,10.12,3200,32495.0,1.28,0.0,0.0,0.05
20241230,10.12,10.12,10.12,10.12,2,20.0,0.0,0.0,0.0,0.0
20250108,10.12,10.12,10.12,10.12,5,50.0,0.0,0.0,0.0,0.0
20250123,10.35,10.35,10.35,10.35,600,6210.0,0.0,2.27,0.23,0.01
20250127,10.35,10.19,10.6,10.19,5630,58464.0,3.96,-1.55,-0.16,0.09
20250128,10.2,10.2,10.2,10.2,574,5854.0,0.0,0.1,0.01,0.01
20250129,10.32,10.35,10.35,10.32,600,6207.0,0.29,1.47,0.15,0.01
20250204,10.53,10.53,10.53,10.53,1901,20017.0,0.0,1.74,0.18,0.03
20250205,10.206,10.23,10.23,10.206,200,2043.0,0.23,-2.85,-0.3,0.0
20250210,10.279,10.279,10.279,10.279,100,1027.0,0.0,0.48,0.049,0.0
20250211,10.23,10.23,10.23,10.23,102,1043.0,0.0,-0.48,-0.049,0.0
20250213,10.2,10.2,10.2,10.2,100,1019.0,0.0,-0.29,-0.03,0.0
20250226,10.23,10.23,10.23,10.23,100,1023.0,0.0,0.29,0.03,0.0
20250331,10.49,10.5,10.5,10.49,404,4239.0,0.1,2.64,0.27,0.01
20250507,10.49,11.31,11.31,10.49,1370,14863.0,7.81,7.71,0.81,0.02
20250520,11.31,11.31,11.31,11.31,2,22.0,0.0,0.0,0.0,0.0
20250603,10.37,10.374,10.374,10.37,204,2115.0,0.04,-8.28,-0.936,0.0
20250714,10.45,10.45,10.45,10.45,200,2103.0,0.0,0.73,0.076,0.0
