trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250502,10.07,10.01,10.07,10.01,13570798,136339328.0,0.6,0.1,0.01,56.54
20250505,10.02,10.01,10.04,10.01,391173,3922644.0,0.3,0.0,0.0,1.42
20250506,10.02,10.015,10.04,10.01,231203,2317760.0,0.3,0.05,0.005,0.84
20250507,10.02,10.02,10.04,10.015,589549,5912524.0,0.25,0.05,0.005,2.14
20250508,10.03,10.01,10.03,10.01,127474,1276573.0,0.2,-0.1,-0.01,0.46
20250509,10.02,10.01,10.02,10.01,57551,576168.0,0.1,0.0,0.0,0.21
20250512,10.01,10.01,10.02,10.01,11060,110716.0,0.1,0.0,0.0,0.04
20250513,10.02,10.02,10.025,10.02,356889,3576071.0,0.05,0.1,0.01,1.29
20250514,10.03,10.02,10.03,10.01,372484,3732643.0,0.2,0.0,0.0,1.35
20250515,10.02,10.01,10.025,10.01,158221,1585340.0,0.15,-0.1,-0.01,0.57
20250516,10.03,10.02,10.03,10.02,151029,1513584.0,0.1,0.1,0.01,0.55
20250519,10.0,10.02,10.04,10.0,15044,150743.0,0.4,0.0,0.0,0.05
20250520,10.03,10.01,10.03,10.01,103782,1039895.0,0.2,-0.1,-0.01,0.38
20250521,10.01,10.02,10.025,10.01,12343,123699.0,0.15,0.1,0.01,0.04
20250522,10.02,10.02,10.04,10.02,824448,8264320.0,0.2,0.0,0.0,2.99
20250523,10.03,10.03,10.03,10.02,107029,1072541.0,0.1,0.1,0.01,0.39
20250527,10.03,10.03,10.034,10.02,304133,3049451.0,0.14,0.0,0.0,1.1
20250528,10.027,10.03,10.03,10.027,3269,32780.0,0.03,0.0,0.0,0.01
20250529,10.029,10.025,10.03,10.02,58467,585973.0,0.1,-0.05,-0.005,0.21
20250530,10.02,10.025,10.025,10.02,2563,25682.0,0.05,0.0,0.0,0.01
20250602,10.015,10.04,10.04,10.015,28469,285445.0,0.25,0.15,0.015,0.1
20250603,10.04,10.04,10.05,10.03,195432,1962177.0,0.2,0.0,0.0,0.71
20250605,10.02,10.05,10.055,10.02,381696,3835946.0,0.35,0.1,0.01,1.38
20250606,10.06,10.055,10.06,10.05,40270,404986.0,0.1,0.05,0.005,0.15
20250609,10.05,10.07,10.08,10.05,132726,1335343.0,0.3,0.15,0.015,0.48
20250610,10.07,10.07,10.08,10.06,97917,986095.0,0.2,0.0,0.0,0.35
20250611,10.08,10.07,10.12,10.07,118827,1196696.0,0.5,0.0,0.0,0.43
20250612,10.07,10.09,10.105,10.07,76972,776656.0,0.35,0.2,0.02,0.28
20250613,10.1,10.07,10.1,10.07,1669,16845.0,0.3,-0.2,-0.02,0.01
20250616,10.09,10.09,10.1,10.08,84717,854812.0,0.2,0.2,0.02,0.31
20250617,10.09,10.1,10.11,10.09,333681,3370323.0,0.2,0.1,0.01,1.21
20250618,10.09,10.12,10.12,10.09,137369,1387334.0,0.3,0.2,0.02,0.5
20250620,10.1,10.11,10.11,10.1,26251,265392.0,0.1,-0.1,-0.01,0.1
20250623,10.065,10.12,10.12,10.065,63143,638275.0,0.54,0.1,0.01,0.23
20250624,10.12,10.16,10.215,10.12,394128,4000488.0,0.94,0.4,0.04,1.43
20250625,11.16,10.14,11.16,10.12,53329,541240.0,10.24,-0.2,-0.02,0.19
20250626,10.14,10.14,10.16,10.135,13720,139142.0,0.25,0.0,0.0,0.05
20250627,10.14,10.14,10.14,10.14,31775,322151.0,0.0,0.0,0.0,0.12
20250630,10.13,10.13,10.14,10.13,46055,466550.0,0.1,-0.1,-0.01,0.17
20250701,10.13,10.13,10.13,10.13,148,1500.0,0.0,0.0,0.0,0.0
20250702,10.13,10.13,10.13,10.13,106,1074.0,0.0,0.0,0.0,0.0
20250703,10.13,10.13,10.13,10.13,1461,14800.0,0.0,0.0,0.0,0.01
20250707,10.15,10.14,10.15,10.13,101680,1032033.0,0.2,0.1,0.01,0.37
20250708,10.14,10.14,10.14,10.14,50000,507000.0,0.0,0.0,0.0,0.18
20250709,10.16,10.16,10.16,10.16,284,2885.0,0.0,0.2,0.02,0.0
20250710,10.16,10.16,10.16,10.16,16187,164460.0,0.0,0.0,0.0,0.06
20250715,10.16,10.16,10.16,10.16,6,61.0,0.0,0.0,0.0,0.0
20250716,10.17,10.17,10.17,10.17,50000,508500.0,0.0,0.1,0.01,0.18
20250721,10.16,10.16,10.16,10.16,501,5090.0,0.0,-0.1,-0.01,0.0
20250729,10.35,10.48,10.48,10.35,1500,15664.0,1.28,3.15,0.32,0.01
20250730,10.27,10.27,10.27,10.27,100,1027.0,0.0,-2.0,-0.21,0.0
20250731,10.27,10.27,10.27,10.27,1000,10270.0,0.0,0.0,0.0,0.0
20250801,10.3,10.3,10.3,10.3,100,1030.0,0.0,0.29,0.03,0.0
20250804,10.3,10.2,10.3,10.2,1789,18410.0,0.97,-0.97,-0.1,0.01
20250805,10.2,10.2,10.2,10.2,8,82.0,0.0,0.0,0.0,0.0
20250806,10.21,10.15,10.21,10.1,8280,84308.0,1.08,-0.49,-0.05,0.03
20250807,10.15,10.15,10.15,10.15,33,336.0,0.0,0.0,0.0,0.0
20250811,10.17,10.17,10.17,10.17,1000,10170.0,0.0,0.2,0.02,0.0
20250818,10.17,10.17,10.17,10.17,100000,1017000.0,0.0,0.0,0.0,0.36
20250825,10.15,10.15,10.15,10.15,500,5075.0,0.0,-0.2,-0.02,0.0
