trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240916,0.2,0.056,0.2,0.055,399370,22848.0,72.5,-72.0,-0.144,0.0
20240917,0.05,0.051,0.051,0.05,3800,192.0,1.79,-8.93,-0.005,0.0
20240918,0.03,0.05,0.06,0.03,464600,16617.0,58.82,-1.96,-0.001,0.0
20240920,0.05,0.05,0.05,0.05,100011,5000.0,0.0,0.0,0.0,0.0
20240923,0.05,0.059,0.065,0.045,417234,20620.0,40.0,18.0,0.009,0.0
20240924,0.059,0.059,0.059,0.059,100,5.0,0.0,0.0,0.0,0.0
20240925,0.053,0.05,0.06,0.05,110702,5544.0,16.95,-15.25,-0.009,0.0
20240926,0.05,0.05,0.05,0.05,73598,3680.0,0.0,0.0,0.0,0.0
20240927,0.05,0.057,0.057,0.045,23090,1159.0,24.0,14.0,0.007,0.0
20240930,0.057,0.06,0.06,0.05,253640,12689.0,17.54,5.26,0.003,0.0
20241002,0.06,0.06,0.06,0.06,15023,901.0,0.0,0.0,0.0,0.0
20241010,0.06,0.06,0.06,0.06,250092,15005.0,0.0,0.0,0.0,0.0
20241011,0.056,0.055,0.056,0.055,80001,4409.0,1.67,-8.33,-0.005,0.0
20241014,0.056,0.05,0.056,0.05,30000,1650.0,10.91,-9.09,-0.005,0.0
20241015,0.05,0.05,0.05,0.05,255,12.0,0.0,0.0,0.0,0.0
20241016,0.05,0.05,0.05,0.05,65000,3250.0,0.0,0.0,0.0,0.0
20241017,0.055,0.055,0.055,0.055,126091,6935.0,0.0,10.0,0.005,0.0
20241018,0.055,0.055,0.055,0.055,1000,54.0,0.0,0.0,0.0,0.0
20241021,0.055,0.05,0.055,0.05,5803,304.0,9.09,-9.09,-0.005,0.0
20241022,0.055,0.055,0.055,0.055,4500,247.0,0.0,10.0,0.005,0.0
20241023,0.06,0.06,0.06,0.06,4531,271.0,0.0,9.09,0.005,0.0
20241028,0.06,0.06,0.06,0.06,3,0.0,0.0,0.0,0.0,0.0
20241029,0.06,0.06,0.06,0.06,85,5.0,0.0,0.0,0.0,0.0
20241101,0.06,0.055,0.06,0.055,12005,710.0,8.33,-8.33,-0.005,0.0
20241104,0.055,0.055,0.057,0.055,5700,318.0,3.64,0.0,0.0,0.0
20241107,0.055,0.055,0.055,0.055,120,6.0,0.0,0.0,0.0,0.0
20241111,0.055,0.055,0.055,0.055,85,4.0,0.0,0.0,0.0,0.0
20241113,0.06,0.06,0.06,0.06,489,29.0,0.0,9.09,0.005,0.0
20241114,0.06,0.06,0.06,0.06,19,1.0,0.0,0.0,0.0,0.0
20241118,0.056,0.055,0.056,0.055,3680,202.0,1.67,-8.33,-0.005,0.0
20241119,0.055,0.055,0.055,0.055,850,46.0,0.0,0.0,0.0,0.0
20241120,0.06,0.056,0.06,0.056,794,46.0,7.27,1.82,0.001,0.0
