trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20200908,1.0,0.94,1.0,0.94,1700,1634.0,6.0,-6.0,-0.06,0.0
20200909,0.9,0.9,0.9,0.9,5622,5059.0,0.0,-4.26,-0.04,0.0
20200910,0.95,0.92,0.95,0.92,10500,9960.0,3.33,2.22,0.02,0.0
20200911,0.8,0.83,0.83,0.75,5400,4075.0,8.7,-9.78,-0.09,0.0
20200914,0.8,0.86,0.86,0.8,45900,37537.0,7.23,3.61,0.03,0.0
20200915,0.85,0.89,1.0,0.85,68300,58708.0,17.44,3.49,0.03,0.0
20200916,0.88,0.98,0.99,0.88,24122,22349.0,12.36,10.11,0.09,0.0
20200917,0.95,0.91,0.95,0.8,16250,14351.0,15.31,-7.14,-0.07,0.0
20200918,0.96,0.98,0.98,0.86,5500,5155.0,13.19,7.69,0.07,0.0
20200921,1.0,0.91,1.0,0.91,856,794.0,9.18,-7.14,-0.07,0.0
20200922,0.88,0.8,0.88,0.8,8418,7179.0,8.79,-12.09,-0.11,0.0
20200923,0.8,0.8,0.8,0.8,1000,800.0,0.0,0.0,0.0,0.0
20200924,0.7,0.78,0.78,0.7,2750,1942.0,10.0,-2.5,-0.02,0.0
20200925,0.85,0.88,0.88,0.83,190329,161420.0,6.41,12.82,0.1,0.0
20200928,0.85,0.89,0.91,0.75,24143,21581.0,18.18,1.14,0.01,0.0
20200930,0.9,0.9,0.9,0.9,9277,8349.0,0.0,1.12,0.01,0.0
20201001,0.85,0.87,0.9,0.85,5037,4358.0,5.56,-3.33,-0.03,0.0
20201002,0.87,0.87,0.87,0.87,790,687.0,0.0,0.0,0.0,0.0
20201005,0.71,0.76,0.78,0.7,2350,1753.0,9.2,-12.64,-0.11,0.0
20201006,0.7,0.7,0.7,0.7,34250,23989.0,0.0,-7.89,-0.06,0.0
20201007,0.7,0.82,0.82,0.7,2537,2057.0,17.14,17.14,0.12,0.0
20201008,0.86,0.85,0.86,0.85,795,677.0,1.22,3.66,0.03,0.0
20201009,0.82,0.8,0.82,0.8,450,364.0,2.35,-5.88,-0.05,0.0
20201012,0.83,0.82,0.85,0.82,9743,8266.0,3.75,2.5,0.02,0.0
20201013,0.8,0.77,0.81,0.77,5050,4005.0,4.88,-6.1,-0.05,0.0
20201014,0.75,0.72,0.75,0.72,50117,37584.0,3.9,-6.49,-0.05,0.0
20201015,0.7,0.75,0.75,0.7,41800,31289.0,6.94,4.17,0.03,0.0
20201016,0.75,0.75,0.75,0.75,300,225.0,0.0,0.0,0.0,0.0
20201019,0.79,0.78,0.79,0.78,600,467.0,1.33,4.0,0.03,0.0
20201020,0.85,0.82,0.85,0.82,348,292.0,3.85,5.13,0.04,0.0
20201021,0.78,0.83,0.85,0.78,2234,1844.0,8.54,1.22,0.01,0.0
20201022,0.78,0.78,0.78,0.78,350,271.0,0.0,-6.02,-0.05,0.0
20201023,0.78,0.78,0.78,0.78,2,1.0,0.0,0.0,0.0,0.0
20201026,0.75,0.7,0.75,0.7,34795,26075.0,6.41,-10.26,-0.08,0.0
20201027,0.75,0.7,0.75,0.7,3730,2784.0,7.14,0.0,0.0,0.0
20201028,0.68,0.82,0.85,0.68,1045,799.0,24.29,17.14,0.12,0.0
20201029,0.8,0.8,0.8,0.8,100,80.0,0.0,-2.44,-0.02,0.0
20201030,0.75,0.75,0.75,0.75,345,258.0,0.0,-6.25,-0.05,0.0
20201102,0.8,0.76,0.8,0.76,854,671.0,5.33,1.33,0.01,0.0
20201104,0.72,0.72,0.72,0.72,100,72.0,0.0,-5.26,-0.04,0.0
20201106,0.85,0.85,0.85,0.85,1000,850.0,0.0,18.06,0.13,0.0
20201109,0.81,0.8,0.81,0.79,29129,23271.0,2.35,-5.88,-0.05,0.0
20201111,0.8,0.8,0.8,0.8,100,80.0,0.0,0.0,0.0,0.0
20201117,0.8,0.8,0.8,0.8,20,16.0,0.0,0.0,0.0,0.0
20201118,0.8,0.78,0.8,0.78,5900,4712.0,2.5,-2.5,-0.02,0.0
20201119,0.81,0.77,0.81,0.77,1251,988.0,5.13,-1.28,-0.01,0.0
20201124,0.88,0.65,0.89,0.64,182272,125748.0,32.47,-15.58,-0.12,0.0
20201125,0.65,0.7,0.8,0.64,238355,162328.0,24.62,7.69,0.05,0.0
20201127,0.7,0.74,0.74,0.7,7307,5126.0,5.71,5.71,0.04,0.0
20201130,0.76,0.74,0.76,0.65,53327,37424.0,14.86,0.0,0.0,0.0
20201201,0.76,0.75,0.8,0.75,6664,5027.0,6.76,1.35,0.01,0.0
20201202,0.74,0.78,0.78,0.7,233603,164710.0,10.67,4.0,0.03,0.0
20201203,0.72,0.86,0.88,0.71,6323,5077.0,21.79,10.26,0.08,0.0
20201204,0.83,0.86,0.9,0.83,121293,103605.0,8.14,0.0,0.0,0.0
20201207,0.85,0.8,0.89,0.8,110140,93438.0,10.47,-6.98,-0.06,0.0
20201208,0.85,0.89,0.89,0.84,12728,10981.0,6.25,11.25,0.09,0.0
