trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20211029,0.71,1.29,1.3,0.71,428376,431219.0,5900.0,12800.0,1.28,0.0
20211101,1.42,1.18,1.42,1.073,98264,123137.0,26.9,-8.53,-0.11,0.0
20211102,1.15,1.03,1.15,0.901,115459,115075.0,21.1,-12.71,-0.15,0.0
20211103,1.0,1.07,1.08,0.96,22371,23116.0,11.65,3.88,0.04,0.0
20211104,1.45,1.1,1.63,0.91,104613,120295.0,67.29,2.8,0.03,0.0
20211105,1.01,0.934,1.055,0.93,7480,7200.0,11.36,-15.09,-0.166,0.0
20211108,0.93,0.95,0.951,0.901,7969,7316.0,5.35,1.71,0.016,0.0
20211109,0.912,0.938,0.95,0.85,41933,37757.0,10.53,-1.26,-0.012,0.0
20211110,0.93,0.9,0.935,0.9,17656,16172.0,3.73,-4.05,-0.038,0.0
20211111,0.855,1.02,1.14,0.76,52457,45503.0,42.22,13.33,0.12,0.0
20211112,1.16,0.971,1.25,0.86,67849,69787.0,38.24,-4.8,-0.049,0.0
20211115,0.97,0.95,1.0,0.95,8359,8050.0,5.15,-2.16,-0.021,0.0
20211116,0.91,0.89,0.936,0.89,10340,9363.0,4.84,-6.32,-0.06,0.0
20211117,0.88,0.81,0.926,0.775,11838,10186.0,16.97,-8.99,-0.08,0.0
20211118,0.82,0.81,0.82,0.81,1894,1550.0,1.23,0.0,0.0,0.0
20211119,0.743,0.75,0.82,0.743,6289,4863.0,9.51,-7.41,-0.06,0.0
20211122,0.721,0.712,0.799,0.712,2193,1602.0,11.6,-5.07,-0.038,0.0
20211123,0.8,0.71,0.8,0.7,5980,4252.0,14.04,-0.28,-0.002,0.0
20211124,1.4,1.18,1.82,1.01,3125671,4342722.0,114.08,66.2,0.47,0.0
20211126,1.95,3.09,4.18,1.81,2451330,6760338.0,200.85,161.86,1.91,0.0
20211129,3.19,2.81,4.93,2.21,1538752,5143444.0,88.03,-9.06,-0.28,0.0
20211130,2.5,1.92,2.88,1.53,326567,622453.0,48.04,-31.67,-0.89,0.0
20211201,2.18,1.431,2.18,1.31,75230,122278.0,45.31,-25.47,-0.489,0.0
20211202,1.41,1.59,2.49,1.39,1008703,1998599.0,76.87,11.11,0.159,0.0
20211203,1.45,1.2,1.48,1.01,120874,155646.0,29.56,-24.53,-0.39,0.0
20211206,1.07,1.19,1.31,1.01,387275,458943.0,25.0,-0.83,-0.01,0.0
20211207,1.17,1.155,1.28,1.02,33139,39527.0,21.85,-2.94,-0.035,0.0
20211208,1.19,1.29,1.63,1.189,259827,349863.0,38.18,11.69,0.135,0.0
20211209,1.48,1.29,1.57,1.12,193143,265644.0,34.88,0.0,0.0,0.0
20211210,1.53,1.469,1.95,1.42,311455,532439.0,41.09,13.88,0.179,0.0
20211213,2.11,2.44,3.269,1.75,999783,2487437.0,103.4,66.1,0.971,0.0
20211214,2.05,1.77,3.2,1.64,428277,1088264.0,63.93,-27.46,-0.67,0.0
20211215,2.43,2.5,3.08,2.07,813508,2176695.0,57.06,41.24,0.73,0.0
20211216,2.65,2.55,2.94,2.41,158166,415926.0,21.2,2.0,0.05,0.0
20211217,2.46,2.6,3.74,2.17,449749,1350914.0,61.57,1.96,0.05,0.0
20211220,2.74,2.85,3.7,2.64,322093,1018155.0,40.77,9.62,0.25,0.0
20211221,5.0,6.45,9.18,4.5,1543414,10614953.0,164.21,126.32,3.6,0.0
20211222,6.34,5.86,6.99,4.984,298207,1655111.0,31.1,-9.15,-0.59,0.0
20211223,5.89,8.0,9.085,5.12,518403,3778537.0,67.66,36.52,2.14,0.0
20211227,8.28,6.93,8.87,6.431,204305,1475290.0,30.49,-13.38,-1.07,0.0
20211228,7.13,4.5,7.13,4.18,182855,934078.0,42.57,-35.06,-2.43,0.0
20211229,5.0,4.56,5.49,4.3,197334,973754.0,26.44,1.33,0.06,0.0
20211230,4.95,3.69,5.01,3.5,148942,604399.0,33.11,-19.08,-0.87,0.0
20211231,4.15,3.6,4.35,3.27,130000,487123.0,29.27,-2.44,-0.09,0.0
20220103,3.12,3.051,3.46,2.71,214593,651468.0,20.83,-15.25,-0.549,0.0
20220104,2.929,2.95,2.99,2.7,17122,49356.0,9.51,-3.31,-0.101,0.0
20220105,2.76,2.47,3.32,2.34,134687,365778.0,33.22,-16.27,-0.48,0.0
20220106,2.5,2.0,2.5,1.81,181359,375935.0,27.94,-19.03,-0.47,0.0
20220107,2.03,1.79,2.12,1.52,371105,701225.0,30.0,-10.5,-0.21,0.0
20220110,1.67,2.06,2.49,1.54,211928,412649.0,53.07,15.08,0.27,0.0
20220111,2.18,1.93,2.33,1.8,217645,455724.0,25.73,-6.31,-0.13,0.0
20220112,2.17,1.86,2.17,1.85,97158,190949.0,16.58,-3.63,-0.07,0.0
20220113,1.82,1.661,2.21,1.63,118955,229173.0,31.18,-10.7,-0.199,0.0
20220114,1.68,1.57,1.93,1.5,280969,458312.0,25.89,-5.48,-0.091,0.0
20220118,1.55,1.52,1.63,1.51,46720,72003.0,7.64,-3.18,-0.05,0.0
20220119,1.52,1.44,1.55,1.35,33150,46771.0,13.16,-5.26,-0.08,0.0
20220120,1.41,1.42,1.57,1.41,34204,51404.0,11.11,-1.39,-0.02,0.0
20220121,1.36,1.33,1.36,1.27,25418,33667.0,6.34,-6.34,-0.09,0.0
20220124,1.25,1.275,1.36,1.25,56114,73054.0,8.27,-4.14,-0.055,0.0
20220125,1.28,1.332,1.42,1.2,64555,83865.0,17.25,4.47,0.057,0.0
20220126,1.34,1.28,1.4,1.26,31740,42154.0,10.51,-3.9,-0.052,0.0
20220127,1.3,1.3,1.356,1.3,13246,17338.0,4.38,1.56,0.02,0.0
20220128,1.37,1.23,1.37,1.22,21925,28383.0,11.54,-5.38,-0.07,0.0
20220131,1.36,1.2,1.36,1.2,10530,13803.0,13.01,-2.44,-0.03,0.0
20220201,1.36,1.51,1.65,1.34,138841,210159.0,25.83,25.83,0.31,0.0
20220202,1.36,1.4,1.44,1.36,13926,19538.0,5.3,-7.28,-0.11,0.0
20220203,1.377,1.36,1.429,1.36,13008,18028.0,4.93,-2.86,-0.04,0.0
20220204,1.53,1.41,1.586,1.41,7066,10231.0,12.94,3.68,0.05,0.0
20220207,1.4,1.41,1.515,1.4,9524,13817.0,8.16,0.0,0.0,0.0
20220208,1.48,1.4,1.48,1.3,17406,24072.0,12.77,-0.71,-0.01,0.0
20220209,1.29,1.315,1.36,1.26,9020,11588.0,7.14,-6.07,-0.085,0.0
20220210,1.38,1.24,1.38,1.24,3301,4315.0,10.65,-5.7,-0.075,0.0
20220211,1.25,1.16,1.25,1.15,5350,6315.0,8.06,-6.45,-0.08,0.0
