trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240802,0.155,0.192,0.325,0.15,11774,2329.0,0.0,0.0,0.0,0.0
20240805,0.189,0.19,0.249,0.189,43721,9182.0,31.25,-1.04,-0.002,0.0
20240806,0.196,0.25,0.25,0.192,11287,2218.0,30.53,31.58,0.06,0.0
20240807,0.229,0.16,0.23,0.15,71566,14645.0,32.0,-36.0,-0.09,0.0
20240808,0.2,0.2,0.2,0.2,3414,682.0,0.0,25.0,0.04,0.0
20240809,0.215,0.2,0.23,0.2,65613,14039.0,15.0,0.0,0.0,0.0
20240812,0.2,0.21,0.22,0.2,15761,3284.0,10.0,5.0,0.01,0.0
20240813,0.21,0.2,0.22,0.2,15386,3236.0,9.52,-4.76,-0.01,0.0
20240814,0.19,0.19,0.205,0.189,14571,2775.0,8.0,-5.0,-0.01,0.0
20240815,0.2,0.2,0.228,0.183,34854,7070.0,23.68,5.26,0.01,0.0
20240816,0.19,0.191,0.2,0.19,4401,838.0,5.0,-4.5,-0.009,0.0
20240819,0.195,0.181,0.23,0.181,53338,11392.0,25.65,-5.24,-0.01,0.0
20240820,0.201,0.185,0.201,0.185,3588,712.0,8.84,2.21,0.004,0.0
20240821,0.2,0.195,0.208,0.195,28903,5835.0,7.03,5.41,0.01,0.0
20240822,0.193,0.19,0.193,0.185,26746,5061.0,4.1,-2.56,-0.005,0.0
20240823,0.23,0.185,0.23,0.185,12253,2620.0,23.68,-2.63,-0.005,0.0
20240826,0.2,0.191,0.229,0.186,64504,12280.0,23.24,3.24,0.006,0.0
20240827,0.19,0.22,0.23,0.186,41870,7968.0,23.04,15.18,0.029,0.0
20240829,0.22,0.2,0.22,0.2,23668,4861.0,9.09,-9.09,-0.02,0.0
20240830,0.23,0.23,0.23,0.201,104691,24026.0,14.5,15.0,0.03,0.0
20240903,0.225,0.23,0.23,0.225,5687,1287.0,2.17,0.0,0.0,0.0
20240904,0.23,0.185,0.23,0.185,79698,17094.0,19.57,-19.57,-0.045,0.0
20240906,0.218,0.19,0.218,0.185,12507,2457.0,17.84,2.7,0.005,0.0
20240910,0.185,0.161,0.19,0.16,159112,28417.0,15.79,-15.26,-0.029,0.0
20240911,0.162,0.161,0.164,0.161,20839,3358.0,1.86,0.0,0.0,0.0
20240912,0.175,0.175,0.175,0.175,1250,218.0,0.0,8.7,0.014,0.0
20240913,0.248,0.248,0.248,0.248,2193,543.0,0.0,41.71,0.073,0.0
20240916,0.24,0.247,0.247,0.24,2045,494.0,2.82,-0.4,-0.001,0.0
20240917,0.248,0.2,0.248,0.2,18548,4045.0,19.43,-19.03,-0.047,0.0
20240918,0.248,0.21,0.248,0.2,72495,16696.0,24.0,5.0,0.01,0.0
20240919,0.22,0.195,0.22,0.19,173509,36704.0,14.29,-7.14,-0.015,0.0
20240920,0.2,0.195,0.2,0.195,5171,1032.0,2.56,0.0,0.0,0.0
20240923,0.19,0.19,0.19,0.19,100,19.0,0.0,-2.56,-0.005,0.0
20240924,0.2,0.2,0.2,0.19,11553,2274.0,5.26,5.26,0.01,0.0
20240925,0.2,0.2,0.2,0.2,2005,400.0,0.0,0.0,0.0,0.0
20240926,0.2,0.191,0.2,0.191,11731,2344.0,4.5,-4.5,-0.009,0.0
20240927,0.2,0.2,0.2,0.2,1036,207.0,0.0,4.71,0.009,0.0
20240930,0.2,0.2,0.2,0.198,33600,6714.0,1.0,0.0,0.0,0.0
20241004,0.2,0.195,0.2,0.195,30620,6121.0,2.5,-2.5,-0.005,0.0
20241007,0.195,0.195,0.195,0.195,124,24.0,0.0,0.0,0.0,0.0
20241008,0.195,0.195,0.195,0.195,400,78.0,0.0,0.0,0.0,0.0
20241009,0.195,0.12,0.195,0.091,160794,21528.0,53.33,-38.46,-0.075,0.0
20241010,0.125,0.052,0.13,0.04,88987,7967.0,75.0,-56.67,-0.068,0.0
20241011,0.079,0.116,0.146,0.079,30353,3209.0,128.85,123.08,0.064,0.0
20241014,0.12,0.12,0.18,0.12,20361,2562.0,51.72,3.45,0.004,0.0
20241015,0.127,0.14,0.144,0.127,1900,268.0,14.17,16.67,0.02,0.0
20241016,0.15,0.16,0.173,0.15,11383,1849.0,16.43,14.29,0.02,0.0
20241017,0.18,0.17,0.18,0.16,6153,1035.0,12.5,6.25,0.01,0.0
20241018,0.17,0.17,0.17,0.17,1060,180.0,0.0,0.0,0.0,0.0
20241021,0.17,0.17,0.17,0.17,11334,1926.0,0.0,0.0,0.0,0.0
20241023,0.164,0.163,0.166,0.163,2100,345.0,1.76,-4.12,-0.007,0.0
20241024,0.17,0.166,0.17,0.165,11941,1995.0,3.07,1.84,0.003,0.0
20241025,0.18,0.17,0.18,0.163,32005,5697.0,10.24,2.41,0.004,0.0
