trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20201127,1.0,0.9,1.0,0.89,30800,29153.0,11.0,-10.0,-0.1,0.0
20201130,1.15,1.02,1.2,0.95,47422,45844.0,27.78,13.33,0.12,0.0
20201201,1.05,0.98,1.05,0.98,4966,5015.0,6.86,-3.92,-0.04,0.0
20201202,1.0,1.0,1.0,1.0,401,401.0,0.0,2.04,0.02,0.0
20201203,0.98,0.97,0.99,0.97,29433,28609.0,2.0,-3.0,-0.03,0.0
20201204,0.99,0.96,1.05,0.95,9264,9107.0,10.31,-1.03,-0.01,0.0
20201207,1.1,1.0,1.1,1.0,37066,38299.0,10.42,4.17,0.04,0.0
20201208,1.07,1.01,1.07,0.95,16163,16662.0,12.0,1.0,0.01,0.0
20201209,1.08,1.1,1.1,1.05,14500,15801.0,4.95,8.91,0.09,0.0
20201210,1.18,1.05,1.23,0.95,16073,16429.0,25.45,-4.55,-0.05,0.0
20201211,1.0,1.06,1.12,0.98,73433,75416.0,13.33,0.95,0.01,0.0
20201214,1.08,1.0,1.08,0.95,45456,45378.0,12.26,-5.66,-0.06,0.0
20201215,1.0,1.05,1.16,0.95,17619,18493.0,21.0,5.0,0.05,0.0
20201216,1.1,1.05,1.1,0.91,30223,31566.0,18.1,0.0,0.0,0.0
20201217,1.1,1.05,1.1,1.04,28324,29729.0,5.71,0.0,0.0,0.0
20201218,1.08,1.01,1.08,1.01,18980,20412.0,6.67,-3.81,-0.04,0.0
20201221,1.01,1.06,1.09,1.0,14108,14592.0,8.91,4.95,0.05,0.0
20201222,1.14,1.2,1.26,1.14,7361,8791.0,11.32,13.21,0.14,0.0
20201223,1.28,1.21,1.28,1.2,10670,12904.0,6.67,0.83,0.01,0.0
20201224,1.29,1.18,1.34,1.06,48878,60166.0,23.14,-2.48,-0.03,0.0
20201228,1.24,1.08,1.25,1.07,27691,33335.0,15.25,-8.47,-0.1,0.0
20201229,1.2,1.06,1.25,1.06,55394,66587.0,17.59,-1.85,-0.02,0.0
20201230,1.25,1.13,1.35,1.11,47082,58329.0,22.64,6.6,0.07,0.0
20201231,1.49,1.15,1.49,1.13,19198,22719.0,31.86,1.77,0.02,0.0
20210104,1.25,1.15,1.29,1.15,6184,7415.0,12.17,0.0,0.0,0.0
20210105,1.18,1.18,1.2,1.14,71023,84487.0,5.22,2.61,0.03,0.0
20210106,1.17,1.25,1.25,1.17,11453,13827.0,6.78,5.93,0.07,0.0
20210107,1.25,1.24,1.25,1.13,2921,3560.0,9.6,-0.8,-0.01,0.0
20210108,1.25,1.24,1.32,1.19,48768,61263.0,10.48,0.0,0.0,0.0
20210111,1.25,1.25,1.25,1.2,37249,46346.0,4.03,0.81,0.01,0.0
20210112,1.29,1.3,1.35,1.2,128177,166529.0,12.0,4.0,0.05,0.0
20210113,1.34,1.33,1.41,1.17,62858,80118.0,18.46,2.31,0.03,0.0
20210114,1.35,1.3,1.48,1.3,100953,142533.0,13.53,-2.26,-0.03,0.0
20210115,1.45,1.4,1.48,1.3,98841,139347.0,13.85,7.69,0.1,0.0
20210119,1.37,1.37,1.37,1.25,78891,103168.0,8.57,-2.14,-0.03,0.0
20210120,1.33,1.29,1.4,1.27,38283,51557.0,9.49,-5.84,-0.08,0.0
20210121,1.34,1.29,1.4,1.28,41741,54510.0,9.3,0.0,0.0,0.0
20210122,1.33,1.28,1.35,1.27,42829,56933.0,6.2,-0.78,-0.01,0.0
20210125,1.33,1.32,1.45,1.31,104276,140999.0,10.94,3.13,0.04,0.0
20210126,1.32,1.32,1.4,1.32,28895,39799.0,6.06,0.0,0.0,0.0
20210127,1.27,1.15,1.3,1.15,99325,124936.0,11.36,-12.88,-0.17,0.0
20210128,1.18,1.2,1.31,1.15,43399,53496.0,13.91,4.35,0.05,0.0
20210129,1.26,1.25,1.3,1.2,22132,27804.0,8.33,4.17,0.05,0.0
20210201,1.27,1.3,1.31,1.21,44529,57666.0,8.0,4.0,0.05,0.0
20210202,1.31,1.3,1.36,1.2,63226,82028.0,12.31,0.0,0.0,0.0
20210203,1.24,1.26,1.48,1.22,29088,40162.0,20.0,-3.08,-0.04,0.0
20210204,1.49,1.42,1.5,1.3,38381,53970.0,15.87,12.7,0.16,0.0
20210205,1.385,1.45,1.45,1.38,78517,110272.0,4.93,2.11,0.03,0.0
20210208,1.68,1.35,1.68,1.3,201717,300054.0,26.21,-6.9,-0.1,0.0
20210209,1.5,1.5,1.5,1.36,134257,200227.0,10.37,11.11,0.15,0.0
20210210,1.494,1.46,1.5,1.4,43544,63517.0,6.67,-2.67,-0.04,0.0
20210211,1.43,1.41,1.48,1.38,29396,41831.0,6.85,-3.42,-0.05,0.0
20210212,1.45,1.52,1.69,1.45,55755,89246.0,17.02,7.8,0.11,0.0
20210216,1.56,1.6,1.6,1.46,36138,55951.0,9.21,5.26,0.08,0.0
20210217,1.62,1.54,1.62,1.47,17985,27809.0,9.38,-3.75,-0.06,0.0
20210218,1.62,1.52,1.62,1.5,24602,37955.0,7.79,-1.3,-0.02,0.0
20210219,1.57,1.58,1.58,1.45,130602,199429.0,8.55,3.95,0.06,0.0
20210222,1.58,1.67,1.75,1.58,73943,125187.0,10.76,5.7,0.09,0.0
20210223,1.55,1.54,1.62,1.47,32588,49716.0,8.98,-7.78,-0.13,0.0
20210224,1.53,1.53,1.55,1.5,29662,45544.0,3.25,-0.65,-0.01,0.0
20210225,1.64,1.3,1.64,1.21,89606,121030.0,28.1,-15.03,-0.23,0.0
20210226,1.35,1.28,1.38,1.28,68002,88568.0,7.69,-1.54,-0.02,0.0
20210301,1.2,1.25,1.33,1.2,20662,27051.0,10.16,-2.34,-0.03,0.0
20210302,1.24,1.15,1.25,1.11,38975,46791.0,11.2,-8.0,-0.1,0.0
20210303,1.1,1.07,1.2,1.0,59136,65020.0,17.39,-6.96,-0.08,0.0
20210304,1.08,0.81,1.08,0.71,105759,90525.0,34.58,-24.3,-0.26,0.0
20210305,0.94,1.0,1.0,0.84,44033,39865.0,19.75,23.46,0.19,0.0
20210308,1.05,0.905,1.09,0.905,12206,11717.0,18.5,-9.5,-0.095,0.0
20210309,0.91,0.946,0.947,0.9,12085,10920.0,5.19,4.53,0.041,0.0
20210310,1.0,1.02,1.08,1.0,66035,68275.0,8.46,7.82,0.074,0.0
20210311,1.0,1.39,1.85,1.0,176527,212875.0,83.33,36.27,0.37,0.0
20210312,1.32,1.22,1.35,1.07,1071603,1256487.0,20.14,-12.23,-0.17,0.0
20210315,1.2,1.24,1.33,1.19,350325,442011.0,11.48,1.64,0.02,0.0
20210316,1.11,1.21,1.23,1.11,71255,83968.0,9.68,-2.42,-0.03,0.0
20210317,1.21,1.26,1.3,1.15,170404,211714.0,12.4,4.13,0.05,0.0
20210318,1.35,1.25,1.35,1.11,74948,89212.0,19.05,-0.79,-0.01,0.0
20210319,1.18,1.2,1.22,1.15,30720,36644.0,5.6,-4.0,-0.05,0.0
20210322,1.26,1.23,1.26,1.2,87490,107663.0,5.0,2.5,0.03,0.0
20210323,1.2,1.19,1.27,1.12,145566,174263.0,12.2,-3.25,-0.04,0.0
20210324,1.11,1.03,1.15,1.02,82700,89265.0,10.92,-13.45,-0.16,0.0
20210325,1.13,1.09,1.15,1.0,37811,40665.0,14.56,5.83,0.06,0.0
20210326,1.0,1.22,1.25,1.0,266488,311471.0,22.94,11.93,0.13,0.0
20210329,1.24,1.15,1.24,1.07,97359,112707.0,13.93,-5.74,-0.07,0.0
20210330,1.136,1.15,1.19,1.1,132688,152661.0,7.83,0.0,0.0,0.0
20210331,1.1,1.18,1.18,1.1,51832,59016.0,6.96,2.61,0.03,0.0
20210401,1.1,1.24,1.24,1.1,21589,25089.0,11.86,5.08,0.06,0.0
20210405,1.23,1.16,1.23,1.15,56359,65380.0,6.45,-6.45,-0.08,0.0
20210406,1.16,1.2,1.2,1.16,29125,34754.0,3.45,3.45,0.04,0.0
20210407,1.2,1.215,1.228,1.2,60222,72303.0,2.33,1.25,0.015,0.0
20210408,1.2,1.2,1.215,1.185,37916,45505.0,2.47,-1.23,-0.015,0.0
20210409,1.2,1.23,1.27,1.2,63887,77610.0,5.83,2.5,0.03,0.0
20210412,1.2,1.2,1.235,1.2,40418,48505.0,2.85,-2.44,-0.03,0.0
20210413,1.13,1.21,1.22,1.13,3131,3782.0,7.5,0.83,0.01,0.0
20210414,1.2,1.2,1.22,1.2,669,804.0,1.65,-0.83,-0.01,0.0
20210415,1.12,1.28,1.3,1.12,32617,40304.0,15.0,6.67,0.08,0.0
20210416,1.301,1.29,1.301,1.28,11550,14891.0,1.64,0.78,0.01,0.0
20210419,1.3,1.28,1.3,1.28,77782,100588.0,1.55,-0.78,-0.01,0.0
20210420,1.28,1.19,1.28,1.19,27500,35128.0,7.03,-7.03,-0.09,0.0
20210421,1.11,1.2,1.2,1.11,36242,43123.0,7.56,0.84,0.01,0.0
20210422,1.29,1.2,1.29,1.2,37118,44645.0,7.5,0.0,0.0,0.0
20210423,1.26,1.2,1.26,1.2,53101,63783.0,5.0,0.0,0.0,0.0
20210426,1.21,1.07,1.24,1.07,69253,84084.0,14.17,-10.83,-0.13,0.0
20210427,1.24,1.25,1.28,1.18,38638,47276.0,9.35,16.82,0.18,0.0
20210428,1.19,1.16,1.25,1.16,11910,14465.0,7.2,-7.2,-0.09,0.0
20210429,1.28,1.25,1.28,1.25,42083,52985.0,2.59,7.76,0.09,0.0
20210430,1.27,1.25,1.3,1.25,28100,35285.0,4.0,0.0,0.0,0.0
20210503,1.27,1.3,1.33,1.25,9572,12252.0,6.4,4.0,0.05,0.0
