trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230628,21.79,21.79,21.79,21.79,2,43.0,0.0,0.0,0.0,0.0
20230629,21.85,22.5,22.5,21.85,697,15504.0,2.98,3.26,0.71,0.0
20230630,22.5,24.965,24.965,22.5,1370,32136.0,10.96,10.96,2.465,0.0
20230703,23.97,22.6,24.3,22.6,722,17046.0,6.81,-9.47,-2.365,0.0
20230705,22.6,26.18,26.18,22.6,1904,46955.0,15.84,15.84,3.58,0.0
20230706,26.08,26.08,26.14,26.02,1144,29833.0,0.46,-0.38,-0.1,0.0
20230707,26.14,28.26,28.27,26.14,1109,29650.0,8.17,8.36,2.18,0.0
20230710,28.2,28.43,28.43,28.2,880,24944.0,0.81,0.6,0.17,0.0
20230711,29.73,29.64,29.73,29.64,1131,33572.0,0.32,4.26,1.21,0.0
20230712,29.68,29.68,29.68,29.68,413,12257.0,0.0,0.13,0.04,0.0
20230713,30.83,30.59,30.83,30.59,683,20979.0,0.81,3.07,0.91,0.0
20230714,30.59,30.59,30.59,30.59,174,5322.0,0.0,0.0,0.0,0.0
20230717,30.06,31.073,31.15,30.06,711,21962.0,3.56,1.58,0.483,0.0
20230718,30.08,33.0,33.31,30.08,23752,780657.0,10.39,6.2,1.927,0.0
20230719,31.911,31.44,31.911,31.44,484,15315.0,1.43,-4.73,-1.56,0.0
20230720,31.96,30.27,31.96,28.31,17646,549450.0,11.61,-3.72,-1.17,0.0
20230721,30.45,30.3,30.45,30.3,370,11238.0,0.5,0.1,0.03,0.0
20230724,30.3,30.3,30.3,30.3,166,5029.0,0.0,0.0,0.0,0.0
20230725,23.58,23.58,23.58,23.58,204,4810.0,0.0,-22.18,-6.72,0.0
20230726,23.58,23.58,23.58,23.58,341,8040.0,0.0,0.0,0.0,0.0
20230727,28.28,29.45,29.45,28.28,657,18884.0,4.96,24.89,5.87,0.0
20230728,28.78,29.43,29.43,28.78,1178,34074.0,2.21,-0.07,-0.02,0.0
20230731,29.43,29.43,29.43,29.43,12,353.0,0.0,0.0,0.0,0.0
20230801,29.75,29.85,29.85,29.75,349,10406.0,0.34,1.43,0.42,0.0
20230802,28.56,29.55,29.55,28.56,2780,80536.0,3.32,-1.01,-0.3,0.0
20230803,28.64,28.64,28.64,28.64,561,16067.0,0.0,-3.08,-0.91,0.0
20230804,30.0,30.48,30.48,30.0,4671,141009.0,1.68,6.42,1.84,0.0
20230807,29.74,28.3,29.74,28.3,423,12376.0,4.72,-7.15,-2.18,0.0
20230808,28.16,28.16,28.16,28.16,338,9518.0,0.0,-0.49,-0.14,0.0
20230809,28.16,28.16,28.16,28.16,47,1323.0,0.0,0.0,0.0,0.0
20230810,29.7,29.7,29.7,29.7,149,4425.0,0.0,5.47,1.54,0.0
20230811,30.13,30.06,30.13,29.92,3022,90608.0,0.71,1.21,0.36,0.0
20230814,30.06,30.06,30.06,30.06,100,3006.0,0.0,0.0,0.0,0.0
20230815,30.06,30.06,30.06,30.06,191,5741.0,0.0,0.0,0.0,0.0
20230816,29.0,28.98,29.0,28.98,910,26387.0,0.07,-3.59,-1.08,0.0
20230817,27.0,29.0,29.0,27.0,454,12560.0,6.9,0.07,0.02,0.0
20230818,29.0,29.0,29.0,29.0,88,2552.0,0.0,0.0,0.0,0.0
20230821,28.63,28.63,28.63,28.63,592,16948.0,0.0,-1.28,-0.37,0.0
20230822,28.61,28.11,28.61,28.11,762,21606.0,1.75,-1.82,-0.52,0.0
20230823,27.07,27.0,27.07,27.0,3380,91274.0,0.25,-3.95,-1.11,0.0
