trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210512,0.015,0.015,0.015,0.015,1,0.0,0.0,0.0,0.0,0.0
20210513,0.02,0.75,0.75,0.02,6624,1505.0,4866.67,4900.0,0.735,0.0
20210517,1.0,1.0,1.0,1.0,1105,1105.0,0.0,33.33,0.25,0.0
20210518,1.0,1.15,1.15,1.0,1637,1726.0,15.0,15.0,0.15,0.0
20210519,0.955,1.0,1.05,0.955,3504,3533.0,8.26,-13.04,-0.15,0.0
20210521,1.01,1.0,1.0,1.0,430,432.0,0.0,0.0,0.0,0.0
20210525,1.0,0.912,1.0,0.912,1200,1113.0,8.8,-8.8,-0.088,0.0
20210526,1.0,0.89,1.0,0.89,3442,3156.0,12.06,-2.41,-0.022,0.0
20210527,1.0,1.0,1.75,0.99,12198,13995.0,85.39,12.36,0.11,0.0
20210528,1.0,1.0,1.0,1.0,2,1.0,0.0,0.0,0.0,0.0
20210602,1.0,1.0,1.0,1.0,50,49.0,0.0,0.0,0.0,0.0
20210603,0.97,0.99,0.99,0.97,600,591.0,2.0,-1.0,-0.01,0.0
20210608,1.0,0.913,1.0,0.8,400,362.0,20.2,-7.78,-0.077,0.0
20210614,0.7,0.9,0.9,0.7,267,206.0,21.91,-1.42,-0.013,0.0
20210615,0.89,0.89,0.89,0.89,33341,29673.0,0.0,-1.11,-0.01,0.0
20210617,0.936,0.936,0.936,0.936,224,209.0,0.0,5.17,0.046,0.0
20210618,0.936,0.936,0.936,0.936,58,54.0,0.0,0.0,0.0,0.0
20210622,0.936,0.936,0.936,0.936,56,52.0,0.0,0.0,0.0,0.0
20210623,0.79,0.86,0.9,0.77,9804,8274.0,13.89,-8.12,-0.076,0.0
20210624,0.89,0.89,0.89,0.89,10000,8900.0,0.0,3.49,0.03,0.0
20210625,0.89,0.866,0.903,0.836,21697,19018.0,7.53,-2.7,-0.024,0.0
20210628,0.851,0.851,0.851,0.851,864,735.0,0.0,-1.73,-0.015,0.0
20210630,0.941,0.949,0.949,0.94,1251,1178.0,1.06,11.52,0.098,0.0
20210701,0.962,1.0,1.0,0.961,1380,1336.0,4.11,5.37,0.051,0.0
20210706,1.0,1.0,1.0,1.0,17,17.0,0.0,0.0,0.0,0.0
20210707,1.01,1.03,1.03,1.01,10001,10111.0,2.0,3.0,0.03,0.0
20210709,1.01,1.03,1.03,1.01,858,869.0,1.94,0.0,0.0,0.0
20210714,0.91,0.95,0.979,0.9,25750,24018.0,7.67,-7.77,-0.08,0.0
20210715,0.92,0.913,0.952,0.901,23463,21450.0,5.37,-3.89,-0.037,0.0
20210716,0.901,0.967,0.978,0.87,24613,22118.0,11.83,5.91,0.054,0.0
20210719,0.92,0.922,0.922,0.92,821,756.0,0.21,-4.65,-0.045,0.0
20210720,0.921,0.918,0.922,0.907,3244,2979.0,1.63,-0.43,-0.004,0.0
20210721,0.9,0.903,0.92,0.9,1800,1634.0,2.18,-1.63,-0.015,0.0
20210722,0.96,0.96,0.96,0.96,300,288.0,0.0,6.31,0.057,0.0
20210723,0.96,0.96,0.96,0.96,745,715.0,0.0,0.0,0.0,0.0
20210727,0.96,0.96,0.96,0.96,125,120.0,0.0,0.0,0.0,0.0
20210728,0.95,0.95,0.95,0.95,225,213.0,0.0,-1.04,-0.01,0.0
20210729,0.97,0.97,0.97,0.97,135,130.0,0.0,2.11,0.02,0.0
20210730,0.9,0.88,0.9,0.871,2777,2436.0,2.99,-9.28,-0.09,0.0
20210802,0.88,0.88,0.88,0.88,9,7.0,0.0,0.0,0.0,0.0
20210804,0.916,0.87,0.916,0.87,6055,5299.0,5.23,-1.14,-0.01,0.0
20210805,0.851,0.76,0.851,0.596,31494,22916.0,29.31,-12.64,-0.11,0.0
20210806,0.76,0.8,0.8,0.738,15490,12125.0,8.16,5.26,0.04,0.0
20210809,0.76,0.8,0.8,0.76,2580,1981.0,5.0,0.0,0.0,0.0
20210810,0.8,0.722,0.84,0.712,73719,57929.0,16.0,-9.75,-0.078,0.0
20210811,0.722,0.73,0.75,0.722,2506,1831.0,3.88,1.11,0.008,0.0
20210812,0.77,0.78,0.8,0.73,11847,9322.0,9.59,6.85,0.05,0.0
20210813,0.78,0.78,0.78,0.78,699,545.0,0.0,0.0,0.0,0.0
20210817,0.8,0.8,0.8,0.8,1907,1525.0,0.0,2.56,0.02,0.0
20210818,0.8,0.8,0.8,0.8,500,400.0,0.0,0.0,0.0,0.0
20210819,0.73,0.868,0.868,0.72,990,739.0,18.5,8.5,0.068,0.0
20210824,0.748,0.83,0.83,0.731,851,654.0,11.41,-4.38,-0.038,0.0
20210825,0.83,0.83,0.83,0.83,75,62.0,0.0,0.0,0.0,0.0
20210826,0.75,0.75,0.75,0.75,310,232.0,0.0,-9.64,-0.08,0.0
20210827,0.72,0.67,0.72,0.67,6518,4410.0,6.67,-10.67,-0.08,0.0
20210830,0.67,0.67,0.67,0.67,30,20.0,0.0,0.0,0.0,0.0
20210831,0.61,0.59,0.61,0.59,535,319.0,2.99,-11.94,-0.08,0.0
20210901,0.669,0.669,0.669,0.669,100,66.0,0.0,13.39,0.079,0.0
20210902,0.66,0.66,0.66,0.66,600,396.0,0.0,-1.35,-0.009,0.0
20210907,0.62,0.62,0.62,0.62,755,467.0,0.0,-6.06,-0.04,0.0
20210909,0.67,0.67,0.67,0.67,245,164.0,0.0,8.06,0.05,0.0
20210910,0.67,0.67,0.67,0.67,300,200.0,0.0,0.0,0.0,0.0
20210913,0.67,0.67,0.67,0.67,200,134.0,0.0,0.0,0.0,0.0
20210914,0.67,0.67,0.67,0.67,91,60.0,0.0,0.0,0.0,0.0
20210915,0.67,0.67,0.67,0.67,118,79.0,0.0,0.0,0.0,0.0
20210916,0.634,0.634,0.634,0.634,140,88.0,0.0,-5.37,-0.036,0.0
20210920,0.59,0.64,0.64,0.59,2916,1725.0,7.89,0.95,0.006,0.0
20210921,0.64,0.67,0.67,0.61,500,317.0,9.38,4.69,0.03,0.0
20210922,0.67,0.67,0.67,0.67,2,1.0,0.0,0.0,0.0,0.0
20210923,0.65,0.65,0.65,0.65,101,65.0,0.0,-2.99,-0.02,0.0
20210924,0.6,0.576,0.601,0.56,17633,10492.0,6.31,-11.38,-0.074,0.0
20210927,0.576,0.606,0.606,0.56,85560,48489.0,7.99,5.21,0.03,0.0
20210928,0.6,0.605,0.605,0.57,3240,1857.0,5.78,-0.17,-0.001,0.0
20210929,0.57,0.69,0.69,0.56,2563,1459.0,21.49,14.05,0.085,0.0
20210930,0.68,0.62,0.68,0.62,356,226.0,8.7,-10.14,-0.07,0.0
20211001,0.561,0.618,0.618,0.561,208,122.0,9.19,-0.32,-0.002,0.0
20211004,0.618,0.618,0.618,0.618,11,6.0,0.0,0.0,0.0,0.0
20211005,0.561,0.551,0.561,0.55,7784,4356.0,1.78,-10.84,-0.067,0.0
20211006,0.56,0.56,0.56,0.55,6668,3719.0,1.81,1.63,0.009,0.0
20211007,0.55,0.585,0.585,0.55,11320,6234.0,6.25,4.46,0.025,0.0
20211008,0.56,0.56,0.56,0.555,2995,1676.0,0.85,-4.27,-0.025,0.0
20211011,0.558,0.559,0.56,0.55,3395,1894.0,1.79,-0.18,-0.001,0.0
20211012,0.59,0.59,0.59,0.59,200,118.0,0.0,5.55,0.031,0.0
20211013,0.58,0.58,0.58,0.58,200,115.0,0.0,-1.69,-0.01,0.0
20211015,0.58,0.54,0.58,0.54,600,342.0,6.9,-6.9,-0.04,0.0
20211018,0.58,0.552,0.6,0.54,38595,21498.0,11.11,2.22,0.012,0.0
20211019,0.551,0.55,0.551,0.52,4938,2632.0,5.62,-0.36,-0.002,0.0
20211020,0.52,0.52,0.52,0.52,5352,2784.0,0.0,-5.45,-0.03,0.0
20211021,0.56,0.55,0.57,0.55,4086,2321.0,3.85,5.77,0.03,0.0
20211022,0.55,0.58,0.585,0.521,3156,1754.0,11.64,5.45,0.03,0.0
20211025,0.56,0.58,0.6,0.55,20075,11304.0,8.62,0.0,0.0,0.0
20211026,0.62,0.62,0.62,0.62,811,502.0,0.0,6.9,0.04,0.0
20211027,0.59,0.62,0.62,0.59,200,121.0,4.84,0.0,0.0,0.0
20211028,0.59,0.62,0.64,0.59,600,376.0,8.06,0.0,0.0,0.0
20211029,0.62,0.62,0.62,0.62,515,319.0,0.0,0.0,0.0,0.0
20211101,0.64,0.62,0.64,0.62,1610,1005.0,3.23,0.0,0.0,0.0
20211102,0.62,0.62,0.62,0.62,371,230.0,0.0,0.0,0.0,0.0
20211103,0.649,0.68,0.68,0.649,4168,2714.0,5.0,9.68,0.06,0.0
20211104,0.71,0.71,0.71,0.69,1488,1034.0,2.94,4.41,0.03,0.0
20211105,0.99,0.8,0.99,0.755,3300,2673.0,33.1,12.68,0.09,0.0
20211108,0.671,0.79,0.79,0.671,821,590.0,14.88,-1.25,-0.01,0.0
20211109,0.71,0.697,0.71,0.651,3137,2146.0,7.47,-11.77,-0.093,0.0
20211110,0.68,0.805,0.805,0.68,1401,1073.0,17.93,15.49,0.108,0.0
20211111,0.78,0.78,0.78,0.78,230,179.0,0.0,-3.11,-0.025,0.0
20211112,0.845,0.845,0.845,0.845,200,169.0,0.0,8.33,0.065,0.0
20211116,0.705,0.72,0.78,0.705,17595,12948.0,8.88,-14.79,-0.125,0.0
20211117,0.66,0.67,0.697,0.62,75757,48279.0,10.69,-6.94,-0.05,0.0
20211118,0.65,0.65,0.74,0.65,11048,7302.0,13.43,-2.99,-0.02,0.0
20211119,0.65,0.66,0.751,0.65,2005,1318.0,15.54,1.54,0.01,0.0
20211122,0.895,0.71,0.9,0.65,18613,12519.0,37.88,7.58,0.05,0.0
20211123,0.62,0.63,0.717,0.62,971,627.0,13.66,-11.27,-0.08,0.0
20211124,0.63,0.65,0.69,0.63,861,557.0,9.52,3.17,0.02,0.0
20211126,0.63,0.68,0.69,0.63,3245,2062.0,9.23,4.62,0.03,0.0
20211129,0.68,0.68,0.68,0.68,100,68.0,0.0,0.0,0.0,0.0
20211130,0.68,0.63,0.68,0.63,300,194.0,7.35,-7.35,-0.05,0.0
20211201,0.63,0.69,0.69,0.63,2000,1272.0,9.52,9.52,0.06,0.0
20211202,0.68,0.68,0.68,0.68,200,136.0,0.0,-1.45,-0.01,0.0
