trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210624,0.43,0.5,0.53,0.43,1340403,643179.0,23.26,16.28,0.07,0.0
20210625,0.5,0.496,0.51,0.49,267718,132598.0,4.0,-0.8,-0.004,0.0
20210628,0.49,0.505,0.6,0.475,336327,169972.0,25.2,1.81,0.009,0.0
20210629,0.49,0.499,0.51,0.47,558331,272628.0,7.92,-1.19,-0.006,0.0
20210630,0.49,0.487,0.51,0.455,437121,209396.0,11.02,-2.4,-0.012,0.0
20210701,0.47,0.509,0.509,0.47,187400,91653.0,8.01,4.52,0.022,0.0
20210702,0.49,0.495,0.5,0.486,425708,208177.0,2.75,-2.75,-0.014,0.0
20210706,0.49,0.49,0.508,0.48,212473,103770.0,5.66,-1.01,-0.005,0.0
20210707,0.49,0.49,0.49,0.471,22611,10975.0,3.88,0.0,0.0,0.0
20210708,0.48,0.5,0.62,0.48,355513,180952.0,28.57,2.04,0.01,0.0
20210709,0.49,0.51,0.513,0.485,294700,146641.0,5.6,2.0,0.01,0.0
20210712,0.51,0.505,0.51,0.495,98224,49557.0,2.94,-0.98,-0.005,0.0
20210713,0.5,0.5,0.53,0.49,423047,211747.0,7.92,-0.99,-0.005,0.0
20210714,0.502,0.502,0.51,0.502,101636,51514.0,1.6,0.4,0.002,0.0
20210715,0.51,0.51,0.511,0.509,52280,26659.0,0.4,1.59,0.008,0.0
20210716,0.51,0.505,0.51,0.499,168735,84726.0,2.16,-0.98,-0.005,0.0
20210719,0.5,0.515,0.515,0.49,209716,106283.0,4.95,1.98,0.01,0.0
20210720,0.51,0.53,0.54,0.502,268245,140102.0,7.38,2.91,0.015,0.0
20210721,0.51,0.55,0.58,0.51,173575,92676.0,13.21,3.77,0.02,0.0
20210722,0.522,0.573,0.578,0.522,122942,66611.0,10.18,4.18,0.023,0.0
20210723,0.58,0.59,0.606,0.541,84025,48149.0,11.34,2.97,0.017,0.0
20210726,0.58,0.6,0.6,0.552,39051,22719.0,8.14,1.69,0.01,0.0
20210727,0.58,0.578,0.583,0.552,42370,24407.0,5.17,-3.67,-0.022,0.0
20210728,0.585,0.6,0.6,0.57,93440,55560.0,5.19,3.81,0.022,0.0
20210729,0.599,0.571,0.599,0.571,17209,10018.0,4.67,-4.83,-0.029,0.0
20210730,0.6,0.58,0.6,0.57,35601,20364.0,5.25,1.58,0.009,0.0
20210802,0.561,0.565,0.57,0.56,15090,8507.0,1.72,-2.59,-0.015,0.0
20210803,0.55,0.55,0.6,0.55,50242,27856.0,8.85,-2.65,-0.015,0.0
20210804,0.55,0.54,0.56,0.54,31700,17368.0,3.64,-1.82,-0.01,0.0
20210805,0.54,0.56,0.56,0.51,81000,42700.0,9.26,3.7,0.02,0.0
20210806,0.549,0.547,0.56,0.506,76600,40077.0,9.64,-2.32,-0.013,0.0
20210809,0.52,0.529,0.53,0.511,82996,43060.0,3.47,-3.29,-0.018,0.0
20210810,0.52,0.52,0.52,0.52,14908,7753.0,0.0,-1.7,-0.009,0.0
20210811,0.53,0.52,0.53,0.51,33100,17216.0,3.85,0.0,0.0,0.0
20210812,0.51,0.52,0.52,0.51,23101,11901.0,1.92,0.0,0.0,0.0
20210813,0.513,0.54,0.54,0.513,24200,12837.0,5.19,3.85,0.02,0.0
20210816,0.51,0.52,0.57,0.51,12000,6170.0,11.11,-3.7,-0.02,0.0
20210817,0.52,0.49,0.52,0.49,107701,53931.0,5.77,-5.77,-0.03,0.0
20210818,0.495,0.51,0.51,0.49,8746,4344.0,4.08,4.08,0.02,0.0
20210819,0.5,0.49,0.523,0.481,38072,18816.0,8.24,-3.92,-0.02,0.0
20210820,0.485,0.47,0.485,0.465,99750,47597.0,4.08,-4.08,-0.02,0.0
20210823,0.44,0.47,0.47,0.42,53010,23838.0,10.64,0.0,0.0,0.0
20210824,0.432,0.434,0.46,0.411,387123,165242.0,10.43,-7.66,-0.036,0.0
20210825,0.465,0.459,0.465,0.44,22200,10193.0,5.76,5.76,0.025,0.0
20210826,0.44,0.45,0.45,0.44,4800,2157.0,2.18,-1.96,-0.009,0.0
20210827,0.44,0.459,0.459,0.44,21500,9492.0,4.22,2.0,0.009,0.0
20210830,0.45,0.444,0.453,0.444,25000,11246.0,1.96,-3.27,-0.015,0.0
20210831,0.436,0.45,0.45,0.423,35200,15127.0,6.08,1.35,0.006,0.0
20210902,0.459,0.459,0.459,0.422,26411,11479.0,8.22,2.0,0.009,0.0
20210903,0.458,0.459,0.459,0.458,7325,3360.0,0.22,0.0,0.0,0.0
20210907,0.437,0.46,0.46,0.437,1480,669.0,5.01,0.22,0.001,0.0
20210909,0.45,0.45,0.45,0.439,9266,4159.0,2.39,-2.17,-0.01,0.0
20210910,0.449,0.44,0.449,0.44,5470,2427.0,2.0,-2.22,-0.01,0.0
20210913,0.45,0.447,0.45,0.44,12265,5416.0,2.27,1.59,0.007,0.0
20210914,0.443,0.44,0.443,0.44,10737,4727.0,0.67,-1.57,-0.007,0.0
20210915,0.46,0.46,0.46,0.46,158,72.0,0.0,4.55,0.02,0.0
20210916,0.44,0.44,0.46,0.43,12700,5536.0,6.52,-4.35,-0.02,0.0
20210917,0.44,0.439,0.44,0.439,2846,1251.0,0.23,-0.23,-0.001,0.0
20210920,0.44,0.44,0.451,0.436,54150,23860.0,3.42,0.23,0.001,0.0
20210921,0.46,0.434,0.46,0.433,67447,30080.0,6.14,-1.36,-0.006,0.0
20210922,0.44,0.467,0.467,0.431,14649,6382.0,8.29,7.6,0.033,0.0
20210923,0.431,0.47,0.47,0.431,27304,12555.0,8.35,0.64,0.003,0.0
20210924,0.45,0.45,0.45,0.432,38591,17197.0,3.83,-4.26,-0.02,0.0
20210927,0.442,0.43,0.46,0.42,317514,136846.0,8.89,-4.44,-0.02,0.0
20210928,0.43,0.45,0.45,0.4,112110,46486.0,11.63,4.65,0.02,0.0
20210929,0.417,0.42,0.445,0.4,112538,47002.0,10.0,-6.67,-0.03,0.0
20210930,0.408,0.39,0.428,0.39,228951,90211.0,9.05,-7.14,-0.03,0.0
20211001,0.39,0.4,0.4,0.382,191566,74784.0,4.62,2.56,0.01,0.0
20211004,0.4,0.4,0.4,0.38,35900,13692.0,5.0,0.0,0.0,0.0
20211005,0.415,0.415,0.415,0.415,500,207.0,0.0,3.75,0.015,0.0
20211006,0.4,0.39,0.4,0.39,307508,120195.0,2.41,-6.02,-0.025,0.0
20211007,0.4,0.4,0.4,0.4,3402,1360.0,0.0,2.56,0.01,0.0
20211008,0.401,0.4,0.401,0.39,5230,2072.0,2.75,0.0,0.0,0.0
20211011,0.38,0.4,0.4,0.38,135940,51776.0,5.0,0.0,0.0,0.0
20211012,0.388,0.388,0.388,0.388,28559,11079.0,0.0,-3.0,-0.012,0.0
20211013,0.39,0.39,0.39,0.38,16631,6436.0,2.58,0.52,0.002,0.0
20211014,0.39,0.39,0.425,0.378,86347,34397.0,12.05,0.0,0.0,0.0
20211015,0.4,0.4,0.401,0.4,14760,5910.0,0.26,2.56,0.01,0.0
20211018,0.381,0.39,0.409,0.38,4300,1699.0,7.25,-2.5,-0.01,0.0
20211019,0.38,0.39,0.39,0.38,47594,18094.0,2.56,0.0,0.0,0.0
20211020,0.4,0.4,0.41,0.4,3000,1209.0,2.56,2.56,0.01,0.0
20211021,0.4,0.44,0.445,0.4,296516,129242.0,11.25,10.0,0.04,0.0
20211022,0.445,0.453,0.491,0.425,243838,113405.0,15.0,2.95,0.013,0.0
20211025,0.5,0.49,0.501,0.44,30458,14454.0,13.47,8.17,0.037,0.0
20211026,0.497,0.482,0.497,0.482,35400,17349.0,3.06,-1.63,-0.008,0.0
20211027,0.48,0.5,0.51,0.45,10420,5072.0,12.45,3.73,0.018,0.0
20211028,0.49,0.51,0.51,0.46,26317,12942.0,10.0,2.0,0.01,0.0
20211029,0.505,0.51,0.52,0.491,16828,8516.0,5.69,0.0,0.0,0.0
20211102,0.45,0.5,0.519,0.45,39342,19799.0,13.53,-1.96,-0.01,0.0
20211103,0.51,0.501,0.51,0.501,3400,1715.0,1.8,0.2,0.001,0.0
20211104,0.481,0.52,0.52,0.481,320128,157066.0,7.78,3.79,0.019,0.0
20211105,0.54,0.49,0.54,0.46,18300,9036.0,15.38,-5.77,-0.03,0.0
20211108,0.481,0.482,0.49,0.481,14435,7061.0,1.84,-1.63,-0.008,0.0
20211109,0.48,0.51,0.51,0.48,61015,29554.0,6.22,5.81,0.028,0.0
20211110,0.51,0.505,0.51,0.48,26574,13068.0,5.88,-0.98,-0.005,0.0
20211111,0.473,0.5,0.5,0.473,29110,14354.0,5.35,-0.99,-0.005,0.0
20211112,0.507,0.47,0.507,0.47,73638,35407.0,7.4,-6.0,-0.03,0.0
20211115,0.481,0.487,0.49,0.48,8620,4149.0,2.13,3.62,0.017,0.0
20211116,0.48,0.498,0.5,0.47,7812,3825.0,6.16,2.26,0.011,0.0
20211117,0.498,0.49,0.5,0.489,14722,7291.0,2.21,-1.61,-0.008,0.0
20211118,0.48,0.485,0.498,0.48,12356,5947.0,3.67,-1.02,-0.005,0.0
20211119,0.488,0.497,0.497,0.47,68201,32459.0,5.57,2.47,0.012,0.0
20211123,0.48,0.498,0.498,0.47,29898,14431.0,5.63,0.2,0.001,0.0
20211124,0.476,0.464,0.508,0.46,56315,26763.0,9.64,-6.83,-0.034,0.0
20211126,0.47,0.5,0.5,0.46,9300,4322.0,8.62,7.76,0.036,0.0
20211129,0.47,0.47,0.488,0.47,8785,4207.0,3.6,-6.0,-0.03,0.0
20211130,0.49,0.47,0.49,0.461,24400,11645.0,6.17,0.0,0.0,0.0
20211201,0.47,0.485,0.49,0.452,7980,3762.0,8.09,3.19,0.015,0.0
20211202,0.47,0.48,0.48,0.46,8100,3765.0,4.12,-1.03,-0.005,0.0
20211203,0.46,0.45,0.49,0.45,36336,16726.0,8.33,-6.25,-0.03,0.0
20211206,0.47,0.455,0.47,0.45,40783,18416.0,4.44,1.11,0.005,0.0
20211207,0.455,0.429,0.455,0.425,112801,49217.0,6.59,-5.71,-0.026,0.0
20211208,0.43,0.43,0.44,0.429,8903,3832.0,2.56,0.23,0.001,0.0
20211209,0.431,0.43,0.431,0.423,12531,5365.0,1.86,0.0,0.0,0.0
20211210,0.43,0.42,0.43,0.42,12038,5087.0,2.33,-2.33,-0.01,0.0
20211213,0.41,0.41,0.416,0.4,23842,9631.0,3.81,-2.38,-0.01,0.0
20211214,0.393,0.405,0.41,0.39,43200,17003.0,4.88,-1.22,-0.005,0.0
20211215,0.43,0.43,0.43,0.43,201,86.0,0.0,6.17,0.025,0.0
20211216,0.392,0.38,0.425,0.37,140760,53859.0,12.79,-11.63,-0.05,0.0
20211217,0.38,0.396,0.42,0.373,24190,9193.0,12.37,4.21,0.016,0.0
20211220,0.418,0.418,0.418,0.418,400,167.0,0.0,5.56,0.022,0.0
20211221,0.407,0.415,0.415,0.407,5100,2081.0,1.91,-0.72,-0.003,0.0
20211223,0.418,0.418,0.42,0.418,7900,3304.0,0.48,0.72,0.003,0.0
20211227,0.4,0.4,0.41,0.39,1500,590.0,4.78,-4.31,-0.018,0.0
20211228,0.39,0.39,0.39,0.389,6750,2631.0,0.25,-2.5,-0.01,0.0
20211229,0.39,0.4,0.4,0.38,37375,14485.0,5.13,2.56,0.01,0.0
20211230,0.4,0.4,0.4,0.4,100,39.0,0.0,0.0,0.0,0.0
20211231,0.42,0.4,0.42,0.38,3500,1414.0,10.0,0.0,0.0,0.0
20220103,0.4,0.4,0.4,0.38,4000,1585.0,5.0,0.0,0.0,0.0
20220104,0.38,0.38,0.38,0.38,1500,570.0,0.0,-5.0,-0.02,0.0
20220105,0.38,0.36,0.39,0.36,144880,52701.0,7.89,-5.26,-0.02,0.0
20220106,0.36,0.36,0.36,0.36,7149,2574.0,0.0,0.0,0.0,0.0
20220107,0.4,0.37,0.4,0.37,2908,1077.0,8.33,2.78,0.01,0.0
20220110,0.375,0.375,0.375,0.36,9598,3569.0,4.05,1.35,0.005,0.0
20220111,0.375,0.375,0.383,0.375,6507,2441.0,2.13,0.0,0.0,0.0
20220112,0.373,0.367,0.393,0.367,27819,10432.0,6.93,-2.13,-0.008,0.0
20220113,0.35,0.37,0.385,0.35,41751,14678.0,9.54,0.82,0.003,0.0
20220114,0.39,0.359,0.39,0.348,10676,3811.0,11.35,-2.97,-0.011,0.0
20220118,0.355,0.305,0.355,0.3,60321,19399.0,15.32,-15.04,-0.054,0.0
20220119,0.301,0.33,0.33,0.3,10700,3224.0,9.84,8.2,0.025,0.0
20220120,0.313,0.33,0.33,0.31,7110,2280.0,6.06,0.0,0.0,0.0
20220121,0.31,0.31,0.315,0.3,93938,29275.0,4.55,-6.06,-0.02,0.0
20220124,0.27,0.31,0.31,0.27,11800,3396.0,12.9,0.0,0.0,0.0
20220125,0.27,0.3,0.3,0.27,4000,1140.0,9.68,-3.23,-0.01,0.0
20220126,0.31,0.31,0.31,0.279,1780,509.0,10.33,3.33,0.01,0.0
20220127,0.288,0.31,0.31,0.274,21163,5928.0,11.61,0.0,0.0,0.0
20220128,0.274,0.299,0.299,0.274,39056,10755.0,8.06,-3.55,-0.011,0.0
20220131,0.28,0.3,0.3,0.26,57977,15932.0,13.38,0.33,0.001,0.0
20220201,0.28,0.29,0.29,0.258,7653,2116.0,10.67,-3.33,-0.01,0.0
20220202,0.29,0.29,0.29,0.29,10000,2899.0,0.0,0.0,0.0,0.0
20220204,0.29,0.286,0.29,0.285,4400,1266.0,1.72,-1.38,-0.004,0.0
20220207,0.24,0.24,0.27,0.24,60377,14759.0,10.49,-16.08,-0.046,0.0
20220208,0.26,0.245,0.26,0.245,32808,8198.0,6.25,2.08,0.005,0.0
20220209,0.23,0.25,0.25,0.229,26108,6006.0,8.57,2.04,0.005,0.0
20220210,0.27,0.27,0.27,0.27,200,54.0,0.0,8.0,0.02,0.0
20220211,0.26,0.26,0.26,0.26,703,182.0,0.0,-3.7,-0.01,0.0
20220214,0.235,0.23,0.27,0.211,5700,1389.0,22.69,-11.54,-0.03,0.0
20220216,0.2,0.25,0.25,0.2,2798,661.0,21.74,8.7,0.02,0.0
20220217,0.215,0.207,0.224,0.177,130834,24557.0,18.8,-17.2,-0.043,0.0
20220218,0.222,0.222,0.222,0.222,300,66.0,0.0,7.25,0.015,0.0
20220223,0.215,0.22,0.22,0.173,7000,1481.0,21.17,-0.9,-0.002,0.0
20220224,0.15,0.21,0.21,0.15,3000,570.0,27.27,-4.55,-0.01,0.0
20220225,0.22,0.22,0.22,0.22,200,43.0,0.0,4.76,0.01,0.0
20220228,0.22,0.22,0.22,0.22,400,87.0,0.0,0.0,0.0,0.0
20220301,0.215,0.215,0.215,0.215,400,85.0,0.0,-2.27,-0.005,0.0
20220302,0.21,0.205,0.215,0.2,26241,5481.0,6.98,-4.65,-0.01,0.0
20220303,0.2,0.215,0.215,0.2,2247,452.0,7.32,4.88,0.01,0.0
