trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240816,0.15,0.09,0.15,0.09,52647,7768.0,0.0,0.0,0.0,0.0
20240819,0.109,0.09,0.13,0.09,14896,1785.0,44.44,0.0,0.0,0.0
20240820,0.09,0.06,0.121,0.05,17180,1028.0,78.89,-33.33,-0.03,0.0
20240821,0.066,0.07,0.084,0.066,1376,111.0,30.0,16.67,0.01,0.0
20240822,0.07,0.07,0.07,0.07,1005,70.0,0.0,0.0,0.0,0.0
20240823,0.063,0.096,0.12,0.063,4500,420.0,81.43,37.14,0.026,0.0
20240826,0.086,0.069,0.119,0.068,4935,381.0,53.13,-28.13,-0.027,0.0
20240827,0.095,0.095,0.095,0.095,132,12.0,0.0,37.68,0.026,0.0
20240828,0.1,0.095,0.102,0.095,14559,1452.0,7.37,0.0,0.0,0.0
20240829,0.085,0.085,0.085,0.085,249,21.0,0.0,-10.53,-0.01,0.0
20240903,0.085,0.08,0.1,0.055,8215,513.0,52.94,-5.88,-0.005,0.0
20240904,0.08,0.08,0.08,0.08,1331,106.0,0.0,0.0,0.0,0.0
20240905,0.054,0.043,0.054,0.039,80182,3604.0,18.75,-46.25,-0.037,0.0
20240906,0.045,0.045,0.045,0.038,4623,199.0,16.28,4.65,0.002,0.0
20240909,0.038,0.038,0.05,0.038,1996,83.0,26.67,-15.56,-0.007,0.0
20240910,0.045,0.04,0.05,0.038,22935,1061.0,31.58,5.26,0.002,0.0
20240911,0.05,0.04,0.05,0.036,13852,647.0,35.0,0.0,0.0,0.0
20240912,0.039,0.044,0.044,0.038,4256,172.0,15.0,10.0,0.004,0.0
20240913,0.04,0.042,0.045,0.04,1477,60.0,11.36,-4.55,-0.002,0.0
20240916,0.045,0.036,0.045,0.036,1794,69.0,21.43,-14.29,-0.006,0.0
20240918,0.036,0.036,0.037,0.036,3307,119.0,2.78,0.0,0.0,0.0
20240919,0.036,0.036,0.036,0.036,100,3.0,0.0,0.0,0.0,0.0
20240920,0.033,0.031,0.036,0.031,2945,99.0,13.89,-13.89,-0.005,0.0
20240924,0.05,0.032,0.05,0.031,31051,1431.0,61.29,3.23,0.001,0.0
20240925,0.032,0.032,0.032,0.032,5043,159.0,0.0,0.0,0.0,0.0
20240926,0.032,0.032,0.032,0.032,3166,100.0,0.0,0.0,0.0,0.0
20240927,0.032,0.032,0.032,0.032,44,1.0,0.0,0.0,0.0,0.0
20241001,0.05,0.046,0.07,0.046,58361,3267.0,75.0,43.75,0.014,0.0
20241002,0.05,0.064,0.064,0.05,20473,1123.0,30.43,39.13,0.018,0.0
20241003,0.064,0.06,0.064,0.06,2391,143.0,6.25,-6.25,-0.004,0.0
20241004,0.067,0.07,0.07,0.067,1631,112.0,5.0,16.67,0.01,0.0
20241007,0.074,0.074,0.074,0.074,1261,93.0,0.0,5.71,0.004,0.0
20241009,0.05,0.04,0.05,0.04,16420,819.0,13.51,-45.95,-0.034,0.0
20241010,0.04,0.04,0.04,0.04,11,0.0,0.0,0.0,0.0,0.0
20241014,0.04,0.07,0.07,0.04,1113,59.0,75.0,75.0,0.03,0.0
20241015,0.07,0.07,0.07,0.07,138,9.0,0.0,0.0,0.0,0.0
20241016,0.055,0.055,0.055,0.055,132,7.0,0.0,-21.43,-0.015,0.0
20241017,0.055,0.055,0.055,0.055,60,3.0,0.0,0.0,0.0,0.0
20241018,0.04,0.04,0.04,0.036,1629,64.0,7.27,-27.27,-0.015,0.0
20241022,0.047,0.064,0.065,0.045,4396,259.0,50.0,60.0,0.024,0.0
20241023,0.061,0.061,0.061,0.061,143,8.0,0.0,-4.69,-0.003,0.0
20241024,0.07,0.07,0.073,0.069,23265,1627.0,6.56,14.75,0.009,0.0
20241025,0.074,0.04,0.075,0.04,4025,281.0,50.0,-42.86,-0.03,0.0
20241029,0.075,0.075,0.075,0.075,101,7.0,0.0,87.5,0.035,0.0
20241030,0.074,0.069,0.085,0.06,18653,1466.0,33.33,-8.0,-0.006,0.0
20241101,0.08,0.08,0.098,0.079,1001,83.0,27.54,15.94,0.011,0.0
20241105,0.065,0.064,0.075,0.05,2898,195.0,31.25,-20.0,-0.016,0.0
20241107,0.064,0.064,0.064,0.064,18,1.0,0.0,0.0,0.0,0.0
20241111,0.07,0.05,0.07,0.05,5206,362.0,31.25,-21.88,-0.014,0.0
20241112,0.05,0.074,0.074,0.05,1600,108.0,48.0,48.0,0.024,0.0
20241113,0.074,0.074,0.074,0.074,12,0.0,0.0,0.0,0.0,0.0
20241114,0.073,0.03,0.073,0.025,44928,1346.0,64.86,-59.46,-0.044,0.0
20241115,0.026,0.021,0.06,0.02,82417,2723.0,133.33,-30.0,-0.009,0.0
20241118,0.021,0.028,0.03,0.021,3843,95.0,42.86,33.33,0.007,0.0
20241119,0.036,0.05,0.05,0.036,943,40.0,50.0,78.57,0.022,0.0
20241120,0.05,0.03,0.06,0.026,75388,2767.0,68.0,-40.0,-0.02,0.0
20241121,0.025,0.025,0.048,0.025,11239,371.0,76.67,-16.67,-0.005,0.0
20241122,0.025,0.025,0.025,0.025,47,1.0,0.0,0.0,0.0,0.0
20241125,0.025,0.017,0.033,0.015,117093,2463.0,72.0,-32.0,-0.008,0.0
