trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20211213,0.5,0.5,0.5,0.499,1115321,557659.0,0.2,0.0,0.0,0.0
20211214,0.5,0.538,0.55,0.49,52537,26624.0,12.0,7.6,0.038,0.0
20211215,0.65,0.5,0.65,0.461,12474,6166.0,35.13,-7.06,-0.038,0.0
20211216,0.5,0.49,0.52,0.471,20590,10494.0,9.8,-2.0,-0.01,0.0
20211217,0.488,0.49,0.49,0.48,57350,27721.0,2.04,0.0,0.0,0.0
20211220,0.55,0.53,0.55,0.53,2750,1466.0,4.08,8.16,0.04,0.0
20211222,0.5,0.5,0.5,0.5,100,50.0,0.0,-5.66,-0.03,0.0
20211223,0.5,0.489,0.5,0.488,5125,2508.0,2.4,-2.2,-0.011,0.0
20211227,0.5,0.5,0.5,0.5,210500,105250.0,0.0,2.25,0.011,0.0
20211228,0.5,0.5,0.5,0.5,1900,949.0,0.0,0.0,0.0,0.0
20211229,0.5,0.5,0.5,0.5,1300,649.0,0.0,0.0,0.0,0.0
20211230,0.5,0.5,0.5,0.5,100,49.0,0.0,0.0,0.0,0.0
20211231,0.5,0.5,0.5,0.5,1450,724.0,0.0,0.0,0.0,0.0
20220103,0.5,0.49,0.5,0.49,59800,29444.0,2.0,-2.0,-0.01,0.0
20220104,0.49,0.489,0.49,0.45,7801,3792.0,8.16,-0.2,-0.001,0.0
20220105,0.489,0.476,0.489,0.46,78699,36891.0,5.93,-2.66,-0.013,0.0
20220106,0.476,0.469,0.476,0.45,84704,39786.0,5.46,-1.47,-0.007,0.0
20220107,0.48,0.468,0.48,0.467,5551,2611.0,2.77,-0.21,-0.001,0.0
20220110,0.47,0.467,0.47,0.45,7398,3431.0,4.27,-0.21,-0.001,0.0
20220111,0.47,0.47,0.47,0.467,69900,32837.0,0.64,0.64,0.003,0.0
20220112,0.48,0.48,0.48,0.48,998,479.0,0.0,2.13,0.01,0.0
20220113,0.48,0.48,0.48,0.48,1,0.0,0.0,0.0,0.0,0.0
20220114,0.467,0.45,0.467,0.45,39121,18128.0,3.54,-6.25,-0.03,0.0
20220119,0.46,0.42,0.46,0.42,245751,107421.0,8.89,-6.67,-0.03,0.0
20220120,0.43,0.43,0.43,0.43,500,214.0,0.0,2.38,0.01,0.0
